Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-PL,"0.039 [0.033,0.044]",2.033e-36,***,Phospholipids in Medium LDL
S-VLDL-CE,"0.039 [0.033,0.044]",4.722e-38,***,Cholesteryl Esters in Small VLDL
S-LDL-CE,"0.038 [0.033,0.044]",6.521e-35,***,Cholesteryl Esters in Small LDL
Ile,"0.038 [0.032,0.044]",5.091e-33,***,Isoleucine
M-LDL-C,"0.038 [0.032,0.043]",1.031e-33,***,Cholesterol in Medium LDL
Sc-ala,"0.036 [0.030,0.041]",2.369e-30,***,Spectrometer-corrected alanine
PC,"0.036 [0.030,0.042]",1.514e-25,***,Phosphatidylcholines
S-VLDL-C,"0.036 [0.030,0.041]",1.621e-31,***,Cholesterol in Small VLDL
L-LDL-CE%,"0.034 [0.029,0.040]",4.941e-28,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Total-PL,"0.033 [0.027,0.040]",4.908e-22,***,Total-Phospholipids in Lipoprotein Particles
Omega-6,"0.033 [0.027,0.039]",1.781e-22,***,Omega-6 Fatty Acids
M-LDL-P,"0.032 [0.027,0.038]",3.466e-24,***,Concentration of Medium LDL Particles
S-LDL-L,"0.032 [0.027,0.038]",1.127e-23,***,Total-Lipids in Small LDL
Cholines,"0.032 [0.026,0.038]",3.701e-19,***,Total-Cholines
Lactate,"0.031 [0.025,0.036]",3.648e-22,***,Lactate
M-VLDL-FC,"0.031 [0.025,0.036]",5.117e-22,***,Free Cholesterol in Medium VLDL
S-LDL-P,"0.030 [0.025,0.036]",9.089e-21,***,Concentration of Small LDL Particles
LDL-CE,"0.030 [0.024,0.036]",1.681e-19,***,Cholesteryl Esters in LDL
S-VLDL-FC,"0.030 [0.024,0.035]",1.304e-20,***,Free Cholesterol in Small VLDL
Glu,"0.029 [0.023,0.035]",6.255e-17,***,Glucose
S-LDL-C,"0.029 [0.023,0.034]",1.781e-18,***,Cholesterol in Small LDL
VLDL-CE,"0.029 [0.023,0.034]",1.083e-18,***,Cholesteryl Esters in VLDL
L-HDL-TG,"0.028 [0.023,0.034]",1.495e-18,***,Triglycerides in Large HDL
XL-HDL-C%,"0.028 [0.022,0.035]",1.909e-11,***,Cholesterol to Total-Lipids in Very Large HDL percentage
XXL-VLDL-PL%,"0.028 [0.023,0.033]",4.550e-23,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LDL-L,"0.027 [0.021,0.033]",9.770e-15,***,Total-Lipids in LDL
M-HDL-PL,"0.026 [0.020,0.032]",6.869e-13,***,Phospholipids in Medium HDL
Total-P,"0.025 [0.019,0.031]",4.206e-12,***,Total-Concentration of Lipoprotein Particles
L-VLDL-TG%,"0.025 [0.020,0.030]",1.496e-15,***,Triglycerides to Total-Lipids in Large VLDL percentage
XS-VLDL-PL,"0.025 [0.019,0.030]",8.332e-13,***,Phospholipids in Very Small VLDL
Ala,"0.024 [0.018,0.030]",4.556e-11,***,Alanine
XS-VLDL-L,"0.023 [0.017,0.028]",6.655e-10,***,Total-Lipids in Very Small VLDL
LDL-C,"0.023 [0.017,0.028]",2.884e-09,***,LDL Cholesterol
LDL-PL,"0.022 [0.017,0.028]",1.065e-09,***,Phospholipids in LDL
LDL-P,"0.022 [0.017,0.028]",1.067e-09,***,Concentration of LDL Particles
HDL-P,"0.022 [0.016,0.028]",1.165e-08,***,Concentration of HDL Particles
LA,"0.022 [0.016,0.028]",2.461e-08,***,Linoleic Acid
Creatinine,"0.022 [0.015,0.029]",3.231e-04,***,Creatinine
L-LDL-CE,"0.022 [0.016,0.028]",1.823e-08,***,Cholesteryl Esters in Large LDL
Tyr,"0.022 [0.016,0.027]",6.079e-09,***,Tyrosine
