Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
VLDL-C,0.86 [0.84-0.88],6.890e-29,***,VLDL Cholesterol
XS-VLDL-FC,0.86 [0.83-0.88],1.872e-25,***,Free Cholesterol in Very Small VLDL
M-VLDL-FC%,0.86 [0.84-0.87],1.471e-37,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
S-HDL-PL,0.86 [0.83-0.88],2.668e-28,***,Phospholipids in Small HDL
M-HDL-PL,0.85 [0.83-0.88],1.273e-24,***,Phospholipids in Medium HDL
M-VLDL-PL%,0.85 [0.83-0.87],2.087e-40,***,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-P,0.85 [0.83-0.87],3.819e-29,***,Concentration of Medium VLDL Particles
S-HDL-L,0.85 [0.83-0.87],1.045e-32,***,Total-Lipids in Small HDL
M-VLDL-PL,0.85 [0.83-0.87],4.208e-32,***,Phospholipids in Medium VLDL
XL-HDL-L,0.84 [0.82-0.87],1.011e-15,***,Total-Lipids in Very Large HDL
L-LDL-FC%,0.84 [0.82-0.86],4.458e-47,***,Free Cholesterol to Total-Lipids in Large LDL percentage
DHA,0.84 [0.82-0.87],8.649e-31,***,Docosahexaenoic Acid
M-HDL-L,0.84 [0.82-0.87],3.619e-30,***,Total-Lipids in Medium HDL
VLDL-CE,0.84 [0.82-0.86],9.038e-36,***,Cholesteryl Esters in VLDL
S-VLDL-FC,0.84 [0.82-0.86],3.712e-34,***,Free Cholesterol in Small VLDL
LA,0.84 [0.82-0.86],4.847e-43,***,Linoleic Acid
S-LDL-P,0.84 [0.82-0.86],1.621e-37,***,Concentration of Small LDL Particles
M-VLDL-FC,0.83 [0.81-0.86],2.245e-38,***,Free Cholesterol in Medium VLDL
S-LDL-PL,0.83 [0.81-0.85],2.317e-41,***,Phospholipids in Small LDL
S-HDL-FC,0.83 [0.81-0.85],1.260e-39,***,Free Cholesterol in Small HDL
L-HDL-PL,0.83 [0.81-0.86],6.996e-21,***,Phospholipids in Large HDL
M-HDL-CE,0.83 [0.81-0.85],1.914e-33,***,Cholesteryl Esters in Medium HDL
S-HDL-CE,0.83 [0.81-0.85],1.686e-42,***,Cholesteryl Esters in Small HDL
M-LDL-P,0.83 [0.81-0.85],2.776e-42,***,Concentration of Medium LDL Particles
S-LDL-L,0.83 [0.81-0.85],1.327e-46,***,Total-Lipids in Small LDL
Omega-6,0.83 [0.81-0.85],8.466e-49,***,Omega-6 Fatty Acids
S-HDL-C,0.83 [0.80-0.85],2.907e-45,***,Cholesterol in Small HDL
S-HDL-P,0.82 [0.80-0.85],4.619e-44,***,Concentration of Small HDL Particles
M-HDL-C,0.82 [0.80-0.85],1.106e-35,***,Cholesterol in Medium HDL
M-HDL-P,0.82 [0.80-0.85],2.082e-33,***,Concentration of Medium HDL Particles
L-LDL-P,0.82 [0.80-0.84],2.005e-44,***,Concentration of Large LDL Particles
HDL-PL,0.82 [0.80-0.85],1.207e-35,***,Phospholipids in HDL
LDL-P,0.82 [0.80-0.84],1.868e-45,***,Concentration of LDL Particles
ApoB,0.82 [0.80-0.84],4.546e-50,***,Apolipoprotein B
S-LDL-CE,0.82 [0.80-0.84],1.018e-47,***,Cholesteryl Esters in Small LDL
S-VLDL-FC%,0.82 [0.80-0.84],1.477e-58,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
M-LDL-CE,0.82 [0.80-0.84],1.575e-49,***,Cholesteryl Esters in Medium LDL
M-LDL-L,0.82 [0.80-0.84],1.831e-51,***,Total-Lipids in Medium LDL
L-HDL-L,0.82 [0.79-0.85],5.977e-26,***,Total-Lipids in Large HDL
M-LDL-PL,0.82 [0.80-0.84],1.382e-49,***,Phospholipids in Medium LDL
PUFA,0.82 [0.80-0.84],4.847e-53,***,Polyunsaturated Fatty Acids
XL-HDL-C,0.82 [0.79-0.85],1.032e-23,***,Cholesterol in Very Large HDL
XS-VLDL-C,0.82 [0.79-0.84],8.578e-47,***,Cholesterol in Very Small VLDL
S-LDL-C,0.82 [0.80-0.84],5.689e-53,***,Cholesterol in Small LDL
M-LDL-C%,0.82 [0.80-0.83],2.535e-76,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-VLDL-PL%,0.82 [0.80-0.83],1.637e-56,***,Phospholipids to Total-Lipids in Small VLDL percentage
M-LDL-C,0.81 [0.79-0.83],1.040e-55,***,Cholesterol in Medium LDL
XS-VLDL-C%,0.81 [0.80-0.83],1.097e-73,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-P,0.81 [0.78-0.84],2.409e-23,***,Concentration of Very Large HDL Particles
S-LDL-C%,0.81 [0.80-0.83],1.739e-71,***,Cholesterol to Total-Lipids in Small LDL percentage
M-VLDL-C,0.81 [0.79-0.83],8.074e-53,***,Cholesterol in Medium VLDL
S-LDL-FC,0.81 [0.79-0.83],9.382e-55,***,Free Cholesterol in Small LDL
Total-L,0.81 [0.79-0.83],9.343e-65,***,Total-Lipids in Lipoprotein Particles
L-LDL-C%,0.81 [0.79-0.83],4.091e-77,***,Cholesterol to Total-Lipids in Large LDL percentage
ApoA1,0.81 [0.79-0.83],4.288e-45,***,Apolipoprotein A1
LDL-L,0.81 [0.79-0.83],3.512e-66,***,Total-Lipids in LDL
XS-VLDL-CE%,0.81 [0.79-0.82],2.812e-80,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-HDL-FC,0.81 [0.78-0.83],6.374e-40,***,Free Cholesterol in Medium HDL
Remnant-C,0.81 [0.79-0.83],3.007e-65,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
