Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Total-L,626,0.824 [0.771-0.880],0.002,**,Total-Lipids in Lipoprotein Particles
Remnant-C,577,0.822 [0.774-0.874],7.964e-05,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
S-VLDL-TG,687,0.820 [0.773-0.870],1.092e-05,***,Triglycerides in Small VLDL
S-LDL-P,566,0.820 [0.770-0.873],1.772e-04,***,Concentration of Small LDL Particles
XL-VLDL-TG,570,0.819 [0.769-0.874],2.680e-04,***,Triglycerides in Very Large VLDL
M-VLDL-CE,487,0.819 [0.765-0.878],0.003,**,Cholesteryl Esters in Medium VLDL
XXL-VLDL-C,589,0.816 [0.765-0.870],1.487e-04,***,Cholesterol in Chylomicrons and Extremely Large VLDL
PUFA,699,0.816 [0.769-0.866],4.495e-06,***,Polyunsaturated Fatty Acids
M-HDL-PL%,489,0.815 [0.758-0.877],0.009,**,Phospholipids to Total-Lipids in Medium HDL percentage
XXL-VLDL-CE,621,0.812 [0.761-0.865],4.058e-05,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
Total-TG,641,0.811 [0.763-0.862],4.220e-06,***,Total-Triglycerides
M-VLDL-C,535,0.807 [0.756-0.862],3.323e-05,***,Cholesterol in Medium VLDL
XL-VLDL-P,599,0.807 [0.759-0.857],9.024e-07,***,Concentration of Very Large VLDL Particles
S-LDL-CE%,545,0.806 [0.750-0.866],0.001,**,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XL-VLDL-PL,607,0.805 [0.757-0.856],1.170e-06,***,Phospholipids in Very Large VLDL
XL-VLDL-PL%,398,0.803 [0.743-0.868],0.008,**,Phospholipids to Total-Lipids in Very Large VLDL percentage
VLDL-TG,582,0.803 [0.754-0.855],2.196e-06,***,Triglycerides in VLDL
L-VLDL-PL,637,0.802 [0.756-0.852],1.294e-07,***,Phospholipids in Large VLDL
S-VLDL-C,618,0.802 [0.754-0.853],4.412e-07,***,Cholesterol in Small VLDL
Total-FA,654,0.801 [0.753-0.854],1.401e-06,***,Total-Fatty Acids
L-VLDL-FC,648,0.801 [0.755-0.851],7.905e-08,***,Free Cholesterol in Large VLDL
VLDL-CE,621,0.801 [0.753-0.852],3.898e-07,***,Cholesteryl Esters in VLDL
S-VLDL-FC,593,0.801 [0.752-0.853],1.029e-06,***,Free Cholesterol in Small VLDL
XL-VLDL-FC,610,0.801 [0.752-0.852],4.851e-07,***,Free Cholesterol in Very Large VLDL
S-VLDL-CE,626,0.800 [0.752-0.851],4.026e-07,***,Cholesteryl Esters in Small VLDL
XL-VLDL-L,578,0.800 [0.752-0.851],4.318e-07,***,Total-Lipids in Very Large VLDL
L-VLDL-TG,567,0.800 [0.749-0.854],5.198e-06,***,Triglycerides in Large VLDL
L-VLDL-P,622,0.799 [0.752-0.848],8.243e-08,***,Concentration of Large VLDL Particles
S-VLDL-P,669,0.795 [0.750-0.844],6.865e-09,***,Concentration of Small VLDL Particles
Omega-6,651,0.795 [0.744-0.849],2.262e-06,***,Omega-6 Fatty Acids
M-LDL-P,508,0.794 [0.743-0.848],2.205e-06,***,Concentration of Medium LDL Particles
L-VLDL-L,609,0.792 [0.745-0.843],4.255e-08,***,Total-Lipids in Large VLDL
VLDL-P,640,0.789 [0.742-0.838],7.006e-09,***,Concentration of VLDL Particles
S-VLDL-L,665,0.787 [0.741-0.836],1.076e-09,***,Total-Lipids in Small VLDL
LA,635,0.786 [0.735-0.840],3.911e-07,***,Linoleic Acid
M-VLDL-TG,613,0.785 [0.737-0.837],2.944e-08,***,Triglycerides in Medium VLDL
XL-VLDL-C,639,0.784 [0.738-0.833],8.447e-10,***,Cholesterol in Very Large VLDL
L-VLDL-C,622,0.780 [0.734-0.829],4.171e-10,***,Cholesterol in Large VLDL
