Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-VLDL-TG%,609,0.878 [0.842-0.917],7.219e-04,***,Triglycerides to Total-Lipids in Medium VLDL percentage
VLDL-C,644,0.877 [0.840-0.915],3.528e-04,***,VLDL Cholesterol
VLDL-P,640,0.874 [0.839-0.911],2.862e-05,***,Concentration of VLDL Particles
S-HDL-TG,681,0.873 [0.839-0.909],1.459e-05,***,Triglycerides in Small HDL
VLDL-size,604,0.870 [0.838-0.903],9.111e-08,***,Average Diameter for VLDL Particles
XL-HDL-TG%,642,0.865 [0.830-0.901],1.004e-06,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XL-VLDL-CE,617,0.863 [0.829-0.899],1.808e-07,***,Cholesteryl Esters in Very Large VLDL
L-VLDL-C,622,0.863 [0.829-0.899],1.976e-07,***,Cholesterol in Large VLDL
TG/PG,632,0.862 [0.828-0.897],4.890e-08,***,Triglycerides to Phosphoglycerides ratio
S-VLDL-P,669,0.862 [0.828-0.897],1.154e-07,***,Concentration of Small VLDL Particles
MUFA%,525,0.862 [0.824-0.901],1.396e-05,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Total-FA,654,0.862 [0.823-0.902],4.975e-05,***,Total-Fatty Acids
M-VLDL-L,589,0.861 [0.824-0.899],3.284e-06,***,Total-Lipids in Medium VLDL
XL-VLDL-C,639,0.859 [0.825-0.894],3.795e-08,***,Cholesterol in Very Large VLDL
VLDL-PL,674,0.859 [0.824-0.895],1.394e-07,***,Phospholipids in VLDL
LA,635,0.858 [0.817-0.900],1.003e-04,***,Linoleic Acid
VLDL-FC,630,0.857 [0.822-0.894],2.273e-07,***,Free Cholesterol in VLDL
L-VLDL-CE,614,0.857 [0.822-0.893],6.713e-08,***,Cholesteryl Esters in Large VLDL
L-VLDL-FC,648,0.856 [0.822-0.892],1.233e-08,***,Free Cholesterol in Large VLDL
S-VLDL-L,665,0.855 [0.821-0.891],1.094e-08,***,Total-Lipids in Small VLDL
VLDL-L,623,0.852 [0.817-0.889],3.902e-08,***,Total-Lipids in VLDL
XL-VLDL-P,599,0.852 [0.818-0.888],6.476e-09,***,Concentration of Very Large VLDL Particles
XXL-VLDL-PL,556,0.850 [0.814-0.888],5.630e-08,***,Phospholipids in Chylomicrons and Extremely Large VLDL
S-VLDL-TG,687,0.850 [0.816-0.886],1.494e-09,***,Triglycerides in Small VLDL
XL-VLDL-L,578,0.850 [0.816-0.886],3.192e-09,***,Total-Lipids in Very Large VLDL
L-VLDL-PL,637,0.850 [0.816-0.885],5.261e-10,***,Phospholipids in Large VLDL
XXL-VLDL-FC,557,0.848 [0.811-0.886],3.836e-08,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG,570,0.847 [0.812-0.884],3.349e-09,***,Triglycerides in Very Large VLDL
XXL-VLDL-P,529,0.847 [0.810-0.885],3.628e-08,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-TG,472,0.846 [0.807-0.887],8.277e-07,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-C,589,0.846 [0.810-0.884],1.146e-08,***,Cholesterol in Chylomicrons and Extremely Large VLDL
L-VLDL-TG,567,0.846 [0.812-0.882],7.480e-10,***,Triglycerides in Large VLDL
XL-VLDL-PL,607,0.846 [0.812-0.882],4.902e-10,***,Phospholipids in Very Large VLDL
XXL-VLDL-L,514,0.846 [0.809-0.885],6.309e-08,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
L-VLDL-P,622,0.845 [0.811-0.881],1.992e-10,***,Concentration of Large VLDL Particles
XL-VLDL-FC,610,0.845 [0.810-0.882],1.099e-09,***,Free Cholesterol in Very Large VLDL
VLDL-TG,582,0.844 [0.810-0.881],7.357e-10,***,Triglycerides in VLDL
L-VLDL-L,609,0.844 [0.810-0.880],3.271e-10,***,Total-Lipids in Large VLDL
Total-TG,641,0.844 [0.809-0.880],3.400e-10,***,Total-Triglycerides
M-VLDL-TG,613,0.843 [0.808-0.880],1.980e-09,***,Triglycerides in Medium VLDL
S-LDL-TG,690,0.841 [0.807-0.877],1.620e-10,***,Triglycerides in Small LDL
XXL-VLDL-CE,621,0.840 [0.804-0.877],1.317e-09,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
S-LDL-CE%,545,0.839 [0.798-0.882],1.216e-06,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
M-LDL-CE%,368,0.838 [0.795-0.884],2.694e-05,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
MUFA,654,0.817 [0.780-0.855],1.166e-12,***,Monounsaturated Fatty Acids
GlycA,385,0.746 [0.692-0.805],9.213e-09,***,Glycoprotein Acetyls
