Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LDL-P,552,1.223 [1.164-1.285],2.581e-10,***,Concentration of LDL Particles
M-VLDL-FC%,574,1.222 [1.167-1.280],5.550e-12,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XS-VLDL-FC%,460,1.222 [1.156-1.292],4.217e-07,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
ApoB,565,1.221 [1.163-1.281],1.556e-10,***,Apolipoprotein B
M-LDL-CE,550,1.220 [1.157-1.286],4.371e-08,***,Cholesteryl Esters in Medium LDL
Non-HDL-C,563,1.219 [1.160-1.282],1.752e-09,***,Total-Cholesterol Minus HDL-C
L-LDL-L,508,1.218 [1.157-1.283],1.086e-08,***,Total-Lipids in Large LDL
M-LDL-PL,492,1.218 [1.155-1.284],1.014e-07,***,Phospholipids in Medium LDL
LDL-L,502,1.217 [1.154-1.283],7.614e-08,***,Total-Lipids in LDL
L-LDL-CE,502,1.216 [1.154-1.282],6.143e-08,***,Cholesteryl Esters in Large LDL
LDL-CE,506,1.216 [1.153-1.282],1.066e-07,***,Cholesteryl Esters in LDL
Remnant-C,577,1.214 [1.157-1.275],1.165e-09,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-VLDL-FC,594,1.214 [1.156-1.275],1.670e-09,***,Free Cholesterol in Medium VLDL
S-VLDL-CE%,509,1.214 [1.156-1.274],1.343e-09,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-VLDL-PL%,523,1.213 [1.158-1.272],1.815e-10,***,Phospholipids to Total-Lipids in Medium VLDL percentage
L-VLDL-C%,395,1.207 [1.144-1.275],2.140e-06,***,Cholesterol to Total-Lipids in Large VLDL percentage
IDL-FC,587,1.206 [1.153-1.261],5.997e-11,***,Free Cholesterol in IDL
S-LDL-PL,409,1.205 [1.145-1.268],2.206e-07,***,Phospholipids in Small LDL
S-VLDL-FC,593,1.204 [1.148-1.263],4.628e-09,***,Free Cholesterol in Small VLDL
IDL-L,573,1.200 [1.148-1.255],3.619e-10,***,Total-Lipids in IDL
XL-VLDL-C%,486,1.199 [1.129-1.272],6.377e-04,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
L-VLDL-CE%,492,1.195 [1.134-1.259],5.221e-06,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
Total-FC,546,1.191 [1.133-1.252],1.429e-06,***,Total-Free Cholesterol
XL-VLDL-CE%,485,1.185 [1.118-1.256],0.002,**,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
Total-C,563,1.185 [1.127-1.247],1.195e-05,***,Total-Cholesterol
IDL-PL,591,1.181 [1.132-1.233],5.373e-09,***,Phospholipids in IDL
VLDL-CE,621,1.180 [1.127-1.236],5.113e-07,***,Cholesteryl Esters in VLDL
Total-CE,575,1.179 [1.120-1.240],5.514e-05,***,Total-Esterified Cholesterol
M-VLDL-C%,604,1.178 [1.121-1.238],2.099e-05,***,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-P,612,1.170 [1.112-1.230],2.570e-04,***,Concentration of Medium VLDL Particles
M-VLDL-PL,632,1.169 [1.113-1.228],1.057e-04,***,Phospholipids in Medium VLDL
S-VLDL-C,618,1.169 [1.117-1.224],3.946e-06,***,Cholesterol in Small VLDL
XS-VLDL-CE,620,1.165 [1.120-1.212],7.813e-09,***,Cholesteryl Esters in Very Small VLDL
S-VLDL-PL%,600,1.161 [1.108-1.217],8.436e-05,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,609,1.161 [1.107-1.216],1.197e-04,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-CE%,597,1.155 [1.099-1.214],0.003,**,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-VLDL-PL,664,1.154 [1.103-1.207],1.423e-04,***,Phospholipids in Small VLDL
L-VLDL-FC%,331,1.153 [1.093-1.217],0.044,*,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-VLDL-CE,626,1.153 [1.103-1.204],5.368e-05,***,Cholesteryl Esters in Small VLDL
XS-VLDL-C,604,1.149 [1.104-1.195],2.230e-06,***,Cholesterol in Very Small VLDL
VLDL-C,644,1.141 [1.089-1.196],0.009,**,VLDL Cholesterol
XS-VLDL-C%,642,1.135 [1.085-1.186],0.007,**,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-FC,612,1.123 [1.080-1.167],0.001,**,Free Cholesterol in Very Small VLDL
XS-VLDL-P,622,1.117 [1.075-1.161],0.003,**,Concentration of Very Small VLDL Particles
M-HDL-L,576,0.890 [0.854-0.928],0.008,**,Total-Lipids in Medium HDL
M-LDL-TG%,456,0.889 [0.851-0.928],0.021,*,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-PL,545,0.884 [0.848-0.922],0.002,**,Phospholipids in Medium HDL
L-VLDL-TG%,369,0.866 [0.824-0.911],0.005,**,Triglycerides to Total-Lipids in Large VLDL percentage
XS-VLDL-TG%,661,0.862 [0.825-0.902],2.170e-05,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,609,0.835 [0.795-0.877],1.085e-07,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,564,0.819 [0.779-0.860],4.908e-10,***,Triglycerides to Total-Lipids in Small VLDL percentage
XL-VLDL-TG%,444,0.789 [0.742-0.840],1.312e-08,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
