Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
N14_HYDROCELE,199,0.011 [0.008-0.02],0.002,**,Hydrocele,Genitourinary
I9_VARICVE,10262,0.011 [0.008-0.01],4.620e-09,***,Varicose veins,Circulatory
G6_MS,12132,0.011 [0.010-0.01],1.000e-315,***,MS-disease / Multiple Sclerosis,Nervous
K11_HERING,7336,0.011 [0.008-0.01],1.873e-16,***,Inguinal hernia,Digestive
N14_CERVICAL_HSIL,5964,0.010 [0.009-0.01],5.197e-29,***,HSIL lesion of the cervix uteri,Genitourinary
ULCERNAS,2224,0.010 [0.008-0.01],3.685e-12,***,"Ulcerative colitis, NAS",Digestive
E4_GLUCOPANCREAS,8980,0.010 [0.009-0.01],3.290e-107,***,Other disorders of glucose regulation and pancreatic internal secretion,Endocrine and metabolic
CHRONSMALL,2604,0.010 [0.009-0.01],8.705e-41,***,Crohn's disease of small intestine,Digestive
H7_BLINDANDVISIMPAIRMENT,214,0.009 [0.006-0.01],0.024,*,Visual impairment including blindness (binocular or monocular),Eye and adnexa
HERING_BILATERAL,346,0.009 [0.006-0.01],0.007,**,"Inguinal hernia, bilateral",Digestive
MUCOPROCT,4157,0.009 [0.007-0.01],8.306e-21,***,Mucosal proctocolitis,Digestive
K11_COELIAC,42111,0.009 [0.009-0.01],1.000e-315,***,Coeliac disease,Digestive
H7_CORNEALOTH,568,0.008 [0.006-0.01],4.536e-09,***,Other disorders of cornea,Eye and adnexa
E4_GOITREMULTINOD,6287,0.007 [0.006-0.01],2.601e-20,***,Nontoxic multinodular goitre,Endocrine and metabolic
DM_NEUROPATHY,5299,0.007 [0.006-0.01],2.175e-21,***,Diabetic neuropathy,Endocrine and metabolic
CHRONOTH,1965,0.007 [0.005-0.01],6.503e-08,***,Other Crohn's disease,Digestive
E4_GOITRENAS,1714,0.007 [0.005-0.01],2.017e-13,***,Other and/or unspecified nontoxic goitre,Endocrine and metabolic
M13_VARUS,203,0.006 [0.005-0.01],5.983e-15,***,"Varus deformity, not elsewhere classified",Musculoskeletal
C3_OTHER_SKIN,9911,0.006 [0.004-0.01],2.832e-09,***,Other malignant neoplasms of skin (=non-melanoma skin cancer),Neoplasms
E4_PORBILIR,370,0.005 [0.004-0.01],9.076e-28,***,Disorders of porphyrin and bilirubin metabolism,Endocrine and metabolic
M13_FIBROBLASTIC,2687,0.004 [0.003-0.01],2.687e-04,***,Fibroblastic disorders,Musculoskeletal
C3_BASAL_CELL_CARCINOMA,10907,0.004 [0.003-0.01],1.008e-05,***,Basal cell carcinoma,Neoplasms
G6_OTHDEMYEL,3560,0.004 [0.003-0.00],1.159e-16,***,Other demyelinating diseases of the central nervous system,Nervous
E4_GILBERT,452,0.003 [0.003-0.00],6.029e-32,***,Gilbert syndrome,Endocrine and metabolic
H7_KERATOCONUS,1133,0.002 [0.002-0.00],0.001,**,Hereditary corneal dystrophies,Eye and adnexa
E4_PLASMAPROT,960,0.002 [0.001-0.00],1.939e-12,***,"Disorders of plasma-protein metabolism, not elsewhere classified",Endocrine and metabolic
M13_SPONDYLINFLAMNAS,14599,-0.002 [-0.002--0.00],2.590e-11,***,Other specified/unspecified inflammatory spondylopathies,Musculoskeletal
L12_PSORIASIS,18203,-0.003 [-0.004--0.00],1.643e-07,***,Psoriasis,Skin
THROMBOCYTAEMIA,728,-0.003 [-0.004--0.00],0.002,**,Essential (haemorrhagic) thrombocythaemia,Neoplasms
D3_COAGDEFNAS,3629,-0.004 [-0.004--0.00],2.869e-20,***,Other and unspecified coagulation defects,Blood and immune
M13_PSORIARTH,11111,-0.004 [-0.005--0.00],1.386e-22,***,Psoriatic arthropathies,Musculoskeletal
L12_LICHENSCLERATROPH,5062,-0.004 [-0.005--0.00],1.871e-07,***,Lichen sclerosus et atrophicus,Skin
