Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-C,0.81 [0.78-0.84],4.866e-30,***,Cholesterol in Large LDL
Total-FC,0.81 [0.78-0.84],2.123e-30,***,Total-Free Cholesterol
IDL-PL,0.81 [0.78-0.84],5.740e-29,***,Phospholipids in IDL
IDL-P,0.80 [0.78-0.83],7.056e-29,***,Concentration of IDL Particles
Clinical LDL-C,0.80 [0.78-0.83],4.275e-34,***,Clinical LDL Cholesterol
LDL-FC,0.80 [0.78-0.83],2.595e-31,***,Free Cholesterol in LDL
L-LDL-PL,0.80 [0.78-0.83],3.911e-31,***,Phospholipids in Large LDL
Total-C,0.80 [0.78-0.83],7.260e-35,***,Total-Cholesterol
Total-CE,0.80 [0.77-0.83],2.479e-35,***,Total-Esterified Cholesterol
L-LDL-FC,0.80 [0.77-0.83],9.896e-33,***,Free Cholesterol in Large LDL
IDL-FC,0.80 [0.77-0.82],1.287e-33,***,Free Cholesterol in IDL
IDL-L,0.79 [0.77-0.82],1.554e-36,***,Total-Lipids in IDL
IDL-C,0.79 [0.76-0.81],7.298e-40,***,Cholesterol in IDL
IDL-CE,0.78 [0.76-0.81],5.549e-40,***,Cholesteryl Esters in IDL
