Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-FC,0.63 [0.57-0.69],4.377e-16,***,Free Cholesterol in Very Small VLDL
L-LDL-C%,0.62 [0.58-0.67],1.665e-31,***,Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-PL,0.62 [0.56-0.68],5.550e-17,***,Phospholipids in Medium VLDL
XS-VLDL-C%,0.62 [0.58-0.67],4.445e-32,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.62 [0.58-0.67],1.049e-33,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Phosphoglyc,0.62 [0.57-0.67],1.314e-23,***,Phosphoglycerides
IDL-C%,0.62 [0.58-0.66],1.914e-36,***,Cholesterol to Total-Lipids in IDL percentage
HDL-P,0.62 [0.56-0.68],2.414e-18,***,Concentration of HDL Particles
S-VLDL-FC%,0.62 [0.57-0.67],1.409e-28,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
VLDL-CE,0.62 [0.56-0.68],1.860e-19,***,Cholesteryl Esters in VLDL
HDL-FC,0.61 [0.55-0.68],8.117e-16,***,Free Cholesterol in HDL
S-LDL-P,0.60 [0.55-0.67],6.969e-19,***,Concentration of Small LDL Particles
PUFA,0.60 [0.55-0.66],9.970e-26,***,Polyunsaturated Fatty Acids
PC,0.60 [0.55-0.66],5.316e-26,***,Phosphatidylcholines
S-VLDL-FC,0.60 [0.55-0.66],4.483e-19,***,Free Cholesterol in Small VLDL
S-VLDL-PL%,0.60 [0.55-0.65],2.891e-27,***,Phospholipids to Total-Lipids in Small VLDL percentage
IDL-CE%,0.60 [0.56-0.64],7.588e-40,***,Cholesteryl Esters to Total-Lipids in IDL percentage
Cholines,0.60 [0.55-0.65],2.392e-28,***,Total-Cholines
M-VLDL-FC,0.59 [0.54-0.65],2.473e-20,***,Free Cholesterol in Medium VLDL
S-LDL-PL,0.59 [0.54-0.65],1.499e-22,***,Phospholipids in Small LDL
Total-L,0.59 [0.55-0.64],1.659e-31,***,Total-Lipids in Lipoprotein Particles
Omega-6,0.59 [0.54-0.64],2.867e-28,***,Omega-6 Fatty Acids
M-LDL-L,0.59 [0.54-0.65],2.720e-25,***,Total-Lipids in Medium LDL
M-LDL-CE,0.59 [0.54-0.65],5.836e-24,***,Cholesteryl Esters in Medium LDL
S-LDL-L,0.59 [0.54-0.64],7.411e-24,***,Total-Lipids in Small LDL
M-LDL-P,0.59 [0.53-0.65],4.160e-21,***,Concentration of Medium LDL Particles
LA,0.59 [0.54-0.64],4.492e-30,***,Linoleic Acid
Total-P,0.58 [0.53-0.64],1.711e-24,***,Total-Concentration of Lipoprotein Particles
S-LDL-CE,0.58 [0.53-0.64],1.683e-23,***,Cholesteryl Esters in Small LDL
M-LDL-PL,0.58 [0.53-0.64],1.529e-24,***,Phospholipids in Medium LDL
ApoB,0.58 [0.53-0.63],4.363e-27,***,Apolipoprotein B
Total-PL,0.58 [0.53-0.63],4.761e-33,***,Total-Phospholipids in Lipoprotein Particles
M-LDL-C,0.58 [0.53-0.63],4.638e-27,***,Cholesterol in Medium LDL
LDL-L,0.58 [0.53-0.63],3.935e-33,***,Total-Lipids in LDL
XS-VLDL-C,0.57 [0.52-0.63],1.568e-25,***,Cholesterol in Very Small VLDL
LDL-P,0.57 [0.52-0.63],1.294e-23,***,Concentration of LDL Particles
S-LDL-C,0.57 [0.52-0.63],3.412e-26,***,Cholesterol in Small LDL
L-LDL-P,0.57 [0.52-0.63],1.615e-23,***,Concentration of Large LDL Particles
LDL-CE,0.57 [0.52-0.62],3.168e-32,***,Cholesteryl Esters in LDL
S-LDL-FC,0.57 [0.52-0.62],1.646e-27,***,Free Cholesterol in Small LDL
Non-HDL-C,0.57 [0.52-0.62],1.224e-36,***,Total-Cholesterol Minus HDL-C
LDL-C,0.57 [0.52-0.62],7.336e-35,***,LDL Cholesterol
Remnant-C,0.56 [0.52-0.61],1.920e-34,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Clinical LDL-C,0.56 [0.52-0.61],6.016e-39,***,Clinical LDL Cholesterol
L-LDL-L,0.56 [0.51-0.61],6.622e-36,***,Total-Lipids in Large LDL
XS-VLDL-CE,0.56 [0.51-0.61],1.280e-28,***,Cholesteryl Esters in Very Small VLDL
M-VLDL-C,0.56 [0.50-0.61],2.998e-28,***,Cholesterol in Medium VLDL
L-LDL-CE,0.55 [0.51-0.60],2.375e-34,***,Cholesteryl Esters in Large LDL
LDL-PL,0.55 [0.51-0.61],6.283e-33,***,Phospholipids in LDL
SM,0.55 [0.50-0.60],3.863e-34,***,Sphingomyelins
Total-C,0.55 [0.51-0.60],1.081e-43,***,Total-Cholesterol
L-LDL-C,0.55 [0.50-0.60],5.330e-37,***,Cholesterol in Large LDL
M-LDL-FC,0.55 [0.50-0.60],5.517e-31,***,Free Cholesterol in Medium LDL
Total-CE,0.55 [0.50-0.59],2.970e-44,***,Total-Esterified Cholesterol
Total-FC,0.54 [0.50-0.59],4.243e-39,***,Total-Free Cholesterol
M-VLDL-CE,0.54 [0.49-0.60],7.294e-31,***,Cholesteryl Esters in Medium VLDL
IDL-L,0.53 [0.49-0.58],5.326e-42,***,Total-Lipids in IDL
LDL-FC,0.53 [0.49-0.58],2.177e-37,***,Free Cholesterol in LDL
IDL-PL,0.53 [0.48-0.58],2.033e-35,***,Phospholipids in IDL
L-LDL-PL,0.53 [0.49-0.58],1.068e-36,***,Phospholipids in Large LDL
IDL-P,0.52 [0.47-0.58],6.795e-33,***,Concentration of IDL Particles
IDL-FC,0.52 [0.47-0.57],3.705e-38,***,Free Cholesterol in IDL
IDL-C,0.52 [0.47-0.56],2.437e-45,***,Cholesterol in IDL
L-LDL-FC,0.52 [0.47-0.56],1.107e-39,***,Free Cholesterol in Large LDL
IDL-CE,0.51 [0.46-0.55],4.100e-46,***,Cholesteryl Esters in IDL
