Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-TG,0.83 [0.81-0.86],1.501e-20,***,Triglycerides in Small HDL
S-VLDL-TG,0.83 [0.81-0.86],1.792e-21,***,Triglycerides in Small VLDL
XXL-VLDL-C,0.83 [0.81-0.86],2.451e-20,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XS-VLDL-TG%,0.83 [0.81-0.86],2.605e-24,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-LDL-TG,0.83 [0.80-0.86],2.410e-20,***,Triglycerides in Small LDL
XXL-VLDL-FC,0.83 [0.80-0.86],1.239e-20,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,0.83 [0.80-0.86],3.368e-21,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-PL,0.83 [0.80-0.86],1.197e-21,***,Phospholipids in Very Large VLDL
Total-TG,0.83 [0.80-0.86],4.224e-23,***,Total-Triglycerides
L-VLDL-L,0.83 [0.80-0.86],3.098e-23,***,Total-Lipids in Large VLDL
L-VLDL-FC,0.83 [0.80-0.86],1.180e-22,***,Free Cholesterol in Large VLDL
XL-HDL-FC%,0.83 [0.80-0.86],1.279e-22,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XXL-VLDL-P,0.83 [0.80-0.86],1.394e-20,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
L-VLDL-P,0.83 [0.80-0.86],2.486e-22,***,Concentration of Large VLDL Particles
L-VLDL-PL,0.83 [0.80-0.86],3.389e-23,***,Phospholipids in Large VLDL
L-VLDL-TG,0.83 [0.80-0.85],3.296e-23,***,Triglycerides in Large VLDL
XXL-VLDL-PL,0.82 [0.80-0.85],5.773e-22,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-L,0.82 [0.80-0.85],3.775e-24,***,Total-Lipids in Very Large VLDL
VLDL-TG,0.82 [0.80-0.85],1.202e-25,***,Triglycerides in VLDL
XL-VLDL-P,0.82 [0.79-0.85],1.268e-23,***,Concentration of Very Large VLDL Particles
XL-VLDL-TG,0.82 [0.79-0.85],7.147e-25,***,Triglycerides in Very Large VLDL
Creatinine,0.81 [0.79-0.84],4.274e-30,***,Creatinine
XL-HDL-TG%,0.81 [0.78-0.83],6.159e-31,***,Triglycerides to Total-Lipids in Very Large HDL percentage
TG/PG,0.80 [0.77-0.83],3.353e-33,***,Triglycerides to Phosphoglycerides ratio
VLDL-size,0.80 [0.77-0.82],5.081e-38,***,Average Diameter for VLDL Particles
