Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Total-FC,0.75 [0.71-0.80],3.201e-18,***,Total-Free Cholesterol
M-VLDL-CE,0.75 [0.71-0.80],7.261e-16,***,Cholesteryl Esters in Medium VLDL
L-HDL-C%,0.75 [0.72-0.79],9.612e-30,***,Cholesterol to Total-Lipids in Large HDL percentage
L-LDL-FC%,0.75 [0.71-0.79],4.005e-25,***,Free Cholesterol to Total-Lipids in Large LDL percentage
L-LDL-C%,0.75 [0.71-0.79],3.545e-24,***,Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-PL%,0.75 [0.71-0.79],1.749e-24,***,Phospholipids to Total-Lipids in Medium VLDL percentage
L-LDL-FC,0.75 [0.70-0.79],6.150e-18,***,Free Cholesterol in Large LDL
Total-PL,0.74 [0.70-0.79],2.624e-20,***,Total-Phospholipids in Lipoprotein Particles
XS-VLDL-C,0.74 [0.70-0.79],2.081e-17,***,Cholesterol in Very Small VLDL
M-HDL-L,0.74 [0.70-0.79],3.547e-17,***,Total-Lipids in Medium HDL
M-VLDL-FC%,0.74 [0.70-0.78],3.777e-26,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.74 [0.70-0.78],4.011e-30,***,Cholesterol to Total-Lipids in Medium VLDL percentage
PC,0.74 [0.70-0.78],1.193e-20,***,Phosphatidylcholines
Total-C,0.74 [0.70-0.78],8.927e-24,***,Total-Cholesterol
L-VLDL-CE%,0.74 [0.69-0.78],2.050e-20,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
Cholines,0.73 [0.69-0.77],1.746e-22,***,Total-Cholines
XL-VLDL-FC%,0.73 [0.68-0.78],3.209e-16,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Total-CE,0.73 [0.69-0.77],2.863e-25,***,Total-Esterified Cholesterol
Gly,0.73 [0.68-0.78],2.937e-15,***,Glycine
IDL-L,0.73 [0.69-0.77],1.714e-24,***,Total-Lipids in IDL
S-VLDL-FC%,0.72 [0.69-0.76],5.583e-28,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-CE,0.72 [0.68-0.77],2.541e-21,***,Cholesteryl Esters in Very Small VLDL
IDL-PL,0.72 [0.68-0.77],2.747e-22,***,Phospholipids in IDL
HDL-P,0.72 [0.68-0.77],5.265e-20,***,Concentration of HDL Particles
IDL-FC,0.72 [0.68-0.77],7.643e-23,***,Free Cholesterol in IDL
XS-VLDL-C%,0.72 [0.68-0.75],1.977e-34,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-VLDL-CE%,0.72 [0.67-0.76],1.249e-20,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
S-VLDL-PL%,0.72 [0.68-0.76],1.899e-26,***,Phospholipids to Total-Lipids in Small VLDL percentage
Total-P,0.72 [0.67-0.76],5.377e-22,***,Total-Concentration of Lipoprotein Particles
IDL-C,0.71 [0.68-0.76],4.592e-27,***,Cholesterol in IDL
M-HDL-P,0.71 [0.67-0.76],7.137e-20,***,Concentration of Medium HDL Particles
XS-VLDL-CE%,0.71 [0.68-0.75],2.236e-37,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
IDL-CE,0.71 [0.67-0.75],2.623e-27,***,Cholesteryl Esters in IDL
M-HDL-CE,0.71 [0.67-0.76],1.125e-21,***,Cholesteryl Esters in Medium HDL
XL-VLDL-C%,0.71 [0.66-0.76],9.238e-21,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-HDL-C,0.71 [0.66-0.75],1.398e-22,***,Cholesterol in Medium HDL
ApoA1,0.70 [0.66-0.75],9.314e-24,***,Apolipoprotein A1
SM,0.70 [0.66-0.74],2.220e-28,***,Sphingomyelins
HDL-PL,0.70 [0.66-0.74],3.276e-24,***,Phospholipids in HDL
XL-HDL-FC,0.69 [0.65-0.75],2.616e-18,***,Free Cholesterol in Very Large HDL
M-HDL-FC,0.69 [0.65-0.74],7.892e-24,***,Free Cholesterol in Medium HDL
HDL-L,0.68 [0.64-0.72],6.265e-29,***,Total-Lipids in HDL
M-HDL-FC%,0.68 [0.64-0.71],6.861e-43,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
HDL-CE,0.64 [0.60-0.68],1.178e-34,***,Cholesteryl Esters in HDL
HDL-C,0.64 [0.60-0.68],1.158e-35,***,HDL Cholesterol
HDL-FC,0.63 [0.59-0.68],1.816e-33,***,Free Cholesterol in HDL
HDL-size,0.62 [0.58-0.67],8.234e-30,***,Average Diameter for HDL Particles
XL-HDL-PL,0.62 [0.57-0.67],1.885e-26,***,Phospholipids in Very Large HDL
L-HDL-PL,0.62 [0.57-0.66],1.308e-31,***,Phospholipids in Large HDL
XL-HDL-L,0.61 [0.56-0.66],7.778e-29,***,Total-Lipids in Very Large HDL
XL-HDL-P,0.61 [0.56-0.66],7.134e-28,***,Concentration of Very Large HDL Particles
L-HDL-L,0.60 [0.56-0.65],1.468e-35,***,Total-Lipids in Large HDL
XL-HDL-C,0.60 [0.55-0.65],3.099e-31,***,Cholesterol in Very Large HDL
L-HDL-C,0.58 [0.53-0.63],8.772e-37,***,Cholesterol in Large HDL
XL-HDL-CE,0.58 [0.53-0.63],1.110e-33,***,Cholesteryl Esters in Very Large HDL
L-HDL-CE,0.58 [0.53-0.62],3.632e-36,***,Cholesteryl Esters in Large HDL
L-HDL-FC,0.57 [0.53-0.62],1.232e-34,***,Free Cholesterol in Large HDL
L-HDL-P,0.57 [0.52-0.62],4.525e-34,***,Concentration of Large HDL Particles
