Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XXL-VLDL-FC,0.98 [0.97-0.99],0.031,*,Free Cholesterol in Chylomicrons and Extremely Large VLDL
LDL-size,0.98 [0.97-0.99],0.020,*,Average Diameter for LDL Particles
LDL-TG,0.98 [0.97-0.99],0.007,**,Triglycerides in LDL
Omega-6%,0.98 [0.97-0.99],0.006,**,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XL-HDL-FC,0.97 [0.96-0.98],0.011,*,Free Cholesterol in Very Large HDL
M-LDL-TG,0.97 [0.96-0.98],6.611e-04,***,Triglycerides in Medium LDL
XL-VLDL-TG,0.97 [0.96-0.98],8.909e-04,***,Triglycerides in Very Large VLDL
S-LDL-TG,0.97 [0.96-0.98],3.770e-04,***,Triglycerides in Small LDL
XL-HDL-L,0.97 [0.96-0.98],0.007,**,Total-Lipids in Very Large HDL
XXL-VLDL-CE%,0.97 [0.96-0.98],1.067e-05,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-C,0.97 [0.96-0.98],1.176e-05,***,Cholesterol in Chylomicrons and Extremely Large VLDL
Acetate,0.97 [0.96-0.98],1.989e-07,***,Acetate
L-HDL-PL,0.97 [0.96-0.98],4.454e-05,***,Phospholipids in Large HDL
L-VLDL-C%,0.97 [0.96-0.98],8.987e-08,***,Cholesterol to Total-Lipids in Large VLDL percentage
XL-VLDL-FC%,0.97 [0.96-0.98],1.154e-07,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Total-TG,0.97 [0.96-0.97],1.547e-08,***,Total-Triglycerides
XXL-VLDL-CE,0.96 [0.96-0.97],1.070e-08,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
VLDL-size,0.96 [0.95-0.97],6.908e-09,***,Average Diameter for VLDL Particles
XL-VLDL-P,0.96 [0.95-0.97],6.987e-10,***,Concentration of Very Large VLDL Particles
VLDL-TG,0.96 [0.95-0.97],1.263e-10,***,Triglycerides in VLDL
L-VLDL-CE%,0.96 [0.95-0.97],1.143e-10,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XL-VLDL-L,0.96 [0.95-0.97],1.917e-11,***,Total-Lipids in Very Large VLDL
M-HDL-CE%,0.96 [0.95-0.97],5.791e-12,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
MUFA,0.96 [0.95-0.97],2.283e-12,***,Monounsaturated Fatty Acids
L-HDL-L,0.96 [0.95-0.97],1.541e-09,***,Total-Lipids in Large HDL
L-HDL-FC,0.96 [0.95-0.97],1.018e-09,***,Free Cholesterol in Large HDL
XL-VLDL-PL,0.96 [0.95-0.97],9.702e-14,***,Phospholipids in Very Large VLDL
XL-VLDL-PL%,0.96 [0.95-0.97],4.452e-15,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
XL-HDL-C,0.96 [0.95-0.97],3.544e-11,***,Cholesterol in Very Large HDL
L-HDL-FC%,0.96 [0.95-0.97],8.398e-15,***,Free Cholesterol to Total-Lipids in Large HDL percentage
Leu,0.96 [0.95-0.97],1.169e-14,***,Leucine
M-LDL-FC%,0.96 [0.95-0.97],2.850e-15,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
His,0.96 [0.95-0.97],2.142e-16,***,Histidine
L-VLDL-PL,0.96 [0.95-0.97],2.213e-15,***,Phospholipids in Large VLDL
XL-VLDL-C%,0.95 [0.95-0.96],4.587e-15,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-LDL-FC%,0.95 [0.95-0.96],1.892e-17,***,Free Cholesterol to Total-Lipids in Small LDL percentage
XL-HDL-P,0.95 [0.94-0.96],6.718e-13,***,Concentration of Very Large HDL Particles
L-VLDL-TG,0.95 [0.94-0.96],4.962e-17,***,Triglycerides in Large VLDL
XL-HDL-CE,0.95 [0.94-0.96],1.589e-13,***,Cholesteryl Esters in Very Large HDL
XL-VLDL-CE%,0.95 [0.94-0.96],5.031e-17,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-HDL-P,0.95 [0.94-0.96],3.213e-13,***,Concentration of Large HDL Particles
L-VLDL-P,0.95 [0.94-0.96],2.882e-18,***,Concentration of Large VLDL Particles
L-HDL-C,0.95 [0.94-0.96],2.432e-13,***,Cholesterol in Large HDL
XL-VLDL-FC,0.95 [0.94-0.96],1.050e-18,***,Free Cholesterol in Very Large VLDL
L-HDL-CE,0.95 [0.94-0.96],9.940e-14,***,Cholesteryl Esters in Large HDL
Total-BCAA,0.95 [0.94-0.96],7.899e-19,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
PUFA%,0.95 [0.94-0.96],4.057e-20,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
