Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-C%,0.92 [0.90-0.93],1.079e-28,***,Cholesterol to Total-Lipids in Small HDL percentage
L-LDL-FC,0.91 [0.90-0.93],2.810e-29,***,Free Cholesterol in Large LDL
M-HDL-C%,0.91 [0.90-0.93],4.037e-27,***,Cholesterol to Total-Lipids in Medium HDL percentage
DHA%,0.91 [0.90-0.93],6.188e-27,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-LDL-FC%,0.91 [0.90-0.92],6.662e-30,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-FC%,0.91 [0.89-0.92],3.501e-24,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
IDL-CE%,0.91 [0.89-0.92],8.392e-35,***,Cholesteryl Esters to Total-Lipids in IDL percentage
M-VLDL-C%,0.91 [0.89-0.92],1.752e-31,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-LDL-C%,0.90 [0.89-0.92],2.721e-39,***,Cholesterol to Total-Lipids in Small LDL percentage
M-VLDL-CE%,0.90 [0.89-0.92],3.412e-33,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-VLDL-PL%,0.90 [0.89-0.91],6.341e-39,***,Phospholipids to Total-Lipids in Small VLDL percentage
Omega-6%,0.90 [0.89-0.91],7.349e-35,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-LDL-C%,0.90 [0.89-0.91],7.865e-47,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-VLDL-FC%,0.90 [0.89-0.91],2.112e-41,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-FC%,0.90 [0.88-0.91],1.085e-41,***,Free Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-CE%,0.89 [0.88-0.91],5.170e-37,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-HDL-C%,0.89 [0.88-0.91],1.647e-37,***,Cholesterol to Total-Lipids in Large HDL percentage
Albumin,0.89 [0.88-0.90],1.339e-51,***,Albumin
IDL-C%,0.89 [0.88-0.90],2.198e-50,***,Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-C%,0.88 [0.87-0.90],7.494e-51,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.88 [0.87-0.90],2.622e-52,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Unsaturation,0.88 [0.87-0.90],6.319e-53,***,Degree of Unsaturation
LA%,0.88 [0.87-0.90],1.075e-53,***,Linoleic Acid to Total-Fatty Acids percentage
PUFA%,0.87 [0.86-0.89],1.378e-59,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-C%,0.87 [0.86-0.89],1.640e-64,***,Cholesterol to Total-Lipids in Large LDL percentage
PUFA/MUFA,0.87 [0.86-0.88],5.411e-61,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
