Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-C,"-0.029 [-0.033,-0.026]",2.429e-64,***,Cholesterol in Large HDL
L-HDL-CE,"-0.030 [-0.034,-0.027]",1.044e-69,***,Cholesteryl Esters in Large HDL
M-LDL-C%,"-0.030 [-0.034,-0.027]",1.074e-75,***,Cholesterol to Total-Lipids in Medium LDL percentage
XXL-VLDL-C%,"-0.031 [-0.034,-0.028]",6.622e-84,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-VLDL-PL%,"-0.031 [-0.034,-0.027]",1.219e-71,***,Phospholipids to Total-Lipids in Medium VLDL percentage
S-VLDL-CE%,"-0.031 [-0.034,-0.028]",6.763e-84,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-HDL-C,"-0.031 [-0.035,-0.028]",5.732e-76,***,Cholesterol in Medium HDL
XXL-VLDL-FC%,"-0.033 [-0.036,-0.030]",1.146e-94,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-CE%,"-0.033 [-0.036,-0.030]",6.494e-83,***,Cholesteryl Esters to Total-Lipids in IDL percentage
M-HDL-CE,"-0.033 [-0.036,-0.030]",6.480e-85,***,Cholesteryl Esters in Medium HDL
Unsaturation,"-0.033 [-0.037,-0.030]",1.676e-78,***,Degree of Unsaturation
HDL-C,"-0.034 [-0.038,-0.031]",4.276e-85,***,HDL Cholesterol
Lactate,"-0.036 [-0.039,-0.033]",2.302e-115,***,Lactate
L-VLDL-CE%,"-0.036 [-0.039,-0.033]",2.373e-104,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
HDL-CE,"-0.037 [-0.040,-0.034]",4.121e-100,***,Cholesteryl Esters in HDL
XS-VLDL-FC%,"-0.038 [-0.041,-0.035]",3.210e-102,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Pyruvate,"-0.039 [-0.042,-0.036]",6.629e-133,***,Pyruvate
Omega-6%,"-0.039 [-0.042,-0.035]",9.751e-98,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XL-HDL-CE%,"-0.040 [-0.043,-0.036]",8.954e-106,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
S-VLDL-C%,"-0.040 [-0.043,-0.037]",1.171e-131,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-FC%,"-0.041 [-0.044,-0.037]",1.216e-121,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
PUFA%,"-0.041 [-0.044,-0.037]",2.718e-104,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-FC%,"-0.042 [-0.045,-0.038]",4.378e-132,***,Free Cholesterol to Total-Lipids in IDL percentage
S-HDL-CE%,"-0.042 [-0.045,-0.039]",1.323e-149,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
S-HDL-C%,"-0.042 [-0.045,-0.039]",2.401e-148,***,Cholesterol to Total-Lipids in Small HDL percentage
XL-VLDL-C%,"-0.043 [-0.046,-0.040]",3.098e-159,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
IDL-C%,"-0.045 [-0.048,-0.042]",1.715e-151,***,Cholesterol to Total-Lipids in IDL percentage
L-HDL-C%,"-0.045 [-0.049,-0.041]",7.980e-110,***,Cholesterol to Total-Lipids in Large HDL percentage
XL-VLDL-CE%,"-0.045 [-0.049,-0.042]",3.305e-176,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
S-VLDL-PL%,"-0.047 [-0.050,-0.044]",6.573e-177,***,Phospholipids to Total-Lipids in Small VLDL percentage
M-VLDL-C%,"-0.048 [-0.051,-0.044]",1.872e-155,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-FC%,"-0.048 [-0.051,-0.044]",5.306e-175,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-HDL-CE%,"-0.048 [-0.052,-0.044]",7.771e-126,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
PUFA/MUFA,"-0.048 [-0.052,-0.045]",1.701e-153,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-VLDL-CE%,"-0.050 [-0.053,-0.046]",3.331e-160,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-LDL-FC%,"-0.050 [-0.053,-0.047]",2.724e-189,***,Free Cholesterol to Total-Lipids in Small LDL percentage
L-LDL-FC%,"-0.052 [-0.055,-0.049]",2.802e-195,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-C%,"-0.054 [-0.057,-0.050]",2.164e-192,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,"-0.054 [-0.058,-0.050]",3.236e-191,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-HDL-CE%,"-0.055 [-0.058,-0.052]",2.963e-222,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-LDL-FC%,"-0.055 [-0.059,-0.052]",3.997e-214,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-C%,"-0.056 [-0.059,-0.053]",6.173e-223,***,Cholesterol to Total-Lipids in Medium HDL percentage
