Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
E4_THYTOXGOITDIF,19055,0.034 [0.033-0.03],1.000e-315,***,Thyrotoxicosis with diffuse goitre,Endocrine and metabolic
K11_CHRONPANC,105,0.034 [0.027-0.04],4.558e-15,***,Chronic pancreatitis,Digestive
C_DIFFICILE_ENTEROCOLITIS,2693,0.034 [0.032-0.04],9.954e-192,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
O15_HAEMORRH_EARLY_PREG,148,0.032 [0.022-0.04],3.205e-04,***,Haemorrhage in early pregnancy,Pregnancy
M13_PYOGARTH,525,0.031 [0.029-0.03],6.024e-171,***,Pyogenic arthritis,Musculoskeletal
L12_ROSACEANAS,82,0.031 [0.025-0.04],1.118e-16,***,Other and unspecified rosacea,Skin
H7_OCUPAIN,174,0.031 [0.026-0.04],2.508e-24,***,Ocular pain,Eye and adnexa
M13_ARTHROPATHIES,7062,0.031 [0.025-0.04],3.441e-16,***,Arthropathies,Musculoskeletal
H8_MIDDLEMASTOID,2761,0.030 [0.021-0.04],8.463e-05,***,Diseases of middle ear and mastoid,Ear and mastoid
KRA_PSY_ANXIETY,740,0.030 [0.019-0.04],0.044,*,Anxiety disorders,Mental and behavioural
L12_BULLOUS,10568,0.030 [0.029-0.03],1.000e-315,***,Bullous disorders,Skin
F5_DEMENTIA,3309,0.030 [0.024-0.04],1.067e-15,***,Dementia,Mental and behavioural
G6_NEURODEGENERATIVE,4070,0.030 [0.025-0.03],8.738e-28,***,Unspecific neurodegenerative disorder,Nervous
AUTOHEP,2902,0.029 [0.029-0.03],1.000e-315,***,Autoimmune hepatitis,Digestive
M13_LOWBACKPAIN,1988,0.029 [0.021-0.04],1.196e-06,***,Low back pain,Musculoskeletal
I9_SAH,322,0.029 [0.026-0.03],4.881e-67,***,Subarachnoid haemorrhage,Circulatory
M13_ARTHROSIS_POLY,390,0.028 [0.023-0.03],2.854e-21,***,Polyarthrosis,Musculoskeletal
K11_APPENDACUT,1379,0.028 [0.022-0.03],7.363e-17,***,Acute appendicitis,Digestive
E4_HYPERKALAEMIA,252,0.024 [0.020-0.03],1.155e-16,***,Hyperkalaemia,Endocrine and metabolic
KRA_PSY_DEMENTIA,2863,0.024 [0.018-0.03],1.458e-07,***,Any dementia,Mental and behavioural
M13_CERVICALGIA,179,0.024 [0.017-0.03],2.883e-05,***,Cervicalgia,Musculoskeletal
I9_CEREBDOTH,105,0.023 [0.015-0.03],0.014,*,"Other specified cerebrovascular diseases, other cerebrovascular disorders in diseases classified elsewhere",Circulatory
M13_CRYSTALARTH,168,0.023 [0.021-0.03],1.794e-71,***,Other crystal arthropathies,Musculoskeletal
I9_AVBLOCK,403,0.023 [0.019-0.03],5.261e-17,***,AV-block,Circulatory
D3_SARCOIDOSIS,15089,0.023 [0.022-0.02],1.000e-315,***,Sarcoidosis,Blood and immune
K11_ORALCYST,104,0.023 [0.017-0.03],1.085e-07,***,"Cysts of oral region, not elsewhere classified",Digestive
G6_ALZHEIMER,2982,0.023 [0.017-0.03],1.192e-11,***,Alzheimer disease,Nervous
E4_OBESITYXTRMALV,103,0.021 [0.018-0.02],1.534e-33,***,Extreme obesity with alveolar hypoventilation,Endocrine and metabolic
M13_ARTHTROSIS_COX,3783,0.019 [0.016-0.02],1.120e-31,***,Coxarthrosis,Musculoskeletal
H7_BLINDANDVISIMPAIRMENT,214,0.019 [0.015-0.02],3.777e-16,***,Visual impairment including blindness (binocular or monocular),Eye and adnexa
M13_SPONDYLOPATHY,12014,0.018 [0.015-0.02],3.116e-28,***,Spondylopathies,Musculoskeletal
ULCERENTER,63,0.017 [0.013-0.02],3.525e-07,***,Ulcerative enterocolitis,Digestive
L12_LICHSIMPANDPRURIGO,167,0.017 [0.013-0.02],1.339e-13,***,Lichen simplex chronicus and prurigo,Skin
I9_CONDUCTIO,268,0.017 [0.011-0.02],0.029,*,Conduction disorders,Circulatory
F5_ALZHDEMENT,2076,0.017 [0.011-0.02],0.002,**,Dementia in Alzheimer disease,Mental and behavioural
G6_TRINEU,93,0.017 [0.011-0.02],0.005,**,Trigeminal neuralgia,Nervous
C3_OTHER_SKIN,9911,0.016 [0.014-0.02],1.868e-66,***,Other malignant neoplasms of skin (=non-melanoma skin cancer),Neoplasms
H7_OPTNERVE,2671,0.015 [0.013-0.02],1.069e-38,***,Disorders of optic nerve and visual pathways,Eye and adnexa
M13_FLATFOOT,295,0.014 [0.010-0.02],5.578e-05,***,Flat foot [pes planus] (acquired),Musculoskeletal
E4_HYPERPIT,147,0.014 [0.010-0.02],3.334e-05,***,Hyperfunction of pituitary gland,Endocrine and metabolic
K11_FISTULA,485,0.014 [0.009-0.02],6.575e-05,***,Colonic or urogenital fistula,Digestive
H7_DIVERGSTRAB,291,0.013 [0.010-0.02],1.466e-14,***,Divergent concomitant strabismus,Eye and adnexa
G6_OTHDEMYEL,3560,0.013 [0.012-0.01],1.194e-140,***,Other demyelinating diseases of the central nervous system,Nervous
M13_ARTHTROSIS_COX_PRIM_ICD10,4085,0.013 [0.010-0.02],1.100e-13,***,"Coxarthrosis, primary",Musculoskeletal
G6_HYDROCEPH,204,0.013 [0.009-0.02],2.071e-04,***,Hydrocephalus,Nervous
MUCOPROCT,4157,0.013 [0.011-0.02],2.627e-25,***,Mucosal proctocolitis,Digestive
G6_MS,12132,0.012 [0.012-0.01],1.000e-315,***,MS-disease / Multiple Sclerosis,Nervous
CD2_BENIGN_ADRENAL,332,0.012 [0.010-0.01],2.938e-14,***,Benign neoplasm: Adrenal gland,Neoplasms
PRIM_KNEEARTHROSIS,1523,0.012 [0.008-0.02],0.020,*,"Primary gonarthrosis, bilateral",Musculoskeletal
D3_BLOODNAS,64,0.012 [0.008-0.02],0.028,*,Other and unspecified diseases of blood and blood-forming organs,Blood and immune
E4_OBESITYNAS,1620,0.012 [0.009-0.01],6.167e-17,***,"Obesity, other/unspecified",Endocrine and metabolic
E4_GOITREMULTINOD,6287,0.012 [0.010-0.01],4.252e-22,***,Nontoxic multinodular goitre,Endocrine and metabolic
N14_OTHPENIS,232,0.012 [0.007-0.02],0.033,*,Other disorders of penis,Genitourinary
E4_GOITRENAS,1714,0.011 [0.010-0.01],4.572e-53,***,Other and/or unspecified nontoxic goitre,Endocrine and metabolic
C3_BASAL_CELL_CARCINOMA,10907,0.011 [0.010-0.01],4.340e-42,***,Basal cell carcinoma,Neoplasms
M13_TRIGGERFINGER,2255,0.011 [0.007-0.01],0.040,*,Trigger finger,Musculoskeletal
K11_HERING,7337,0.011 [0.008-0.01],2.943e-16,***,Inguinal hernia,Digestive
H7_EYELIDFUNC,23,0.011 [0.007-0.01],0.010,**,Other disorders affecting eyelid function,Eye and adnexa
ULCERNAS,2224,0.010 [0.007-0.01],0.002,**,"Ulcerative colitis, NAS",Digestive
L12_ACTINKERA,6785,0.010 [0.008-0.01],8.672e-24,***,Actinic keratosis,Skin
O15_LABOUR_UMBILICAL,119,0.009 [0.006-0.01],0.025,*,Labour and delivery complicated by umbilical cord complications,Pregnancy
K11_MAXIL_CANINE_PALAT,43,0.009 [0.006-0.01],0.001,**,Palatinal maxillary canine,Digestive
CD2_FOLLICULAR_LYMPHOMA,5808,0.009 [0.008-0.01],5.111e-93,***,"Follicular lymphoma, hilmo",Neoplasms
G6_PARKINSON,2693,0.009 [0.008-0.01],2.597e-98,***,Parkinson's disease,Nervous
HERING_BILATERAL,346,0.009 [0.006-0.01],0.014,*,"Inguinal hernia, bilateral",Digestive
K11_COELIAC,42111,0.009 [0.008-0.01],1.000e-315,***,Coeliac disease,Digestive
M13_POLYARTHRITIS,1672,0.008 [0.007-0.01],3.495e-23,***,"Polyarthritis, unspecified",Musculoskeletal
CD2_BENIGN_THYROID,151,0.008 [0.006-0.01],7.929e-04,***,Benign neoplasm of thyroid gland,Neoplasms
O15_MATERN_HYPERT_UNS,90,0.008 [0.005-0.01],2.019e-05,***,Unspecified maternal hypertension,Pregnancy
H7_CORNEALNAS,323,0.006 [0.004-0.01],0.002,**,Other and unspecified corneal deformities and disorders,Eye and adnexa
IPF,3405,0.006 [0.005-0.01],1.643e-80,***,Idiopathic pulmonary fibrosis,Respiratory
DRY_AMD,4885,0.005 [0.004-0.01],2.596e-09,***,Dry age-related macular degeneration (includes geographic atrophy),Eye and adnexa
N14_ENDOMETRIOSIS_OVARY,2678,0.004 [0.003-0.01],0.047,*,Endometriosis of ovary,Genitourinary
M13_FIBROBLASTIC,2687,0.004 [0.003-0.01],2.777e-04,***,Fibroblastic disorders,Musculoskeletal
E4_PORBILIR,370,0.004 [0.003-0.00],2.922e-15,***,Disorders of porphyrin and bilirubin metabolism,Endocrine and metabolic
E4_GILBERT,452,0.003 [0.002-0.00],7.469e-18,***,Gilbert syndrome,Endocrine and metabolic
E4_LACTONAS,2420,0.002 [0.002-0.00],5.166e-10,***,"Lactose intolerance, other/unspecified",Endocrine and metabolic
I9_CARDMYOHYP,293,-0.002 [-0.002--0.00],0.006,**,"Cardiomyopathy, Hypertrophic obstructive",Circulatory
I9_HYPERTROCARDMYOP,483,-0.002 [-0.002--0.00],1.631e-06,***,Hypertrophic cardiomyopathy,Circulatory
E4_IRON_MET,3833,-0.004 [-0.004--0.00],1.307e-25,***,Disorders of iron metabolism,Endocrine and metabolic
THROMBOCYTAEMIA,728,-0.004 [-0.005--0.00],8.029e-09,***,Essential (haemorrhagic) thrombocythaemia,Neoplasms
L12_PSORI_NAS,8866,-0.005 [-0.006--0.00],8.603e-31,***,Other and unspecified psoriasis,Skin
M13_SPONDYLINFLAMNAS,14599,-0.006 [-0.006--0.00],2.051e-78,***,Other specified/unspecified inflammatory spondylopathies,Musculoskeletal
CHIRBIL_PRIM,2402,-0.006 [-0.006--0.00],5.721e-27,***,Primary biliary cholangitis (PBC),Digestive
N14_PHIMOSIS,4306,-0.006 [-0.008--0.00],5.712e-04,***,"Redundant prepuce, phimosis and paraphimosis",Genitourinary
H7_HEREDRETINADYST,308,-0.006 [-0.008--0.00],1.790e-05,***,Hereditary retinal dystrophy,Eye and adnexa
C3_MELANOMA_SKIN,2304,-0.007 [-0.008--0.01],2.148e-22,***,Malignant melanoma of skin,Neoplasms
N14_ENDOMETRIOSIS,3268,-0.007 [-0.010--0.00],0.007,**,Endometriosis,Genitourinary
DM_NEUROPATHY,5299,-0.007 [-0.009--0.01],5.006e-15,***,Diabetic neuropathy,Endocrine and metabolic
I9_VARICVE,10262,-0.007 [-0.010--0.00],0.004,**,Varicose veins,Circulatory
M13_ANKYLOSPON,29005,-0.008 [-0.008--0.01],1.000e-315,***,Ankylosing spondylitis,Musculoskeletal
N14_FEMALE_GENITAL_DYSPLASIA_ALL,7063,-0.009 [-0.011--0.01],1.639e-10,***,"All dysplastic lesions of the cervix uteri, vagina or vulva",Genitourinary
SPONDYLOARTHRITIS,25038,-0.009 [-0.010--0.01],9.869e-179,***,Spondyloarthritis,Musculoskeletal
RHEUMA_SERONEG,8327,-0.009 [-0.011--0.01],1.947e-36,***,Seronegative rheumatoid arthritis,Musculoskeletal
N14_GLOMEINOTH,5455,-0.009 [-0.011--0.01],5.967e-41,***,Glomerular disorders in diseases classified elsewhere,Genitourinary
L12_PSORI_VULG,15019,-0.010 [-0.010--0.01],1.952e-101,***,Psoriasis vulgaris,Skin
CHRONSMALL,2604,-0.010 [-0.012--0.01],4.146e-12,***,Crohn's disease of small intestine,Digestive
N14_CERVICAL_LSIL,1187,-0.010 [-0.013--0.01],1.124e-05,***,LSIL lesion of the cervix uteri,Genitourinary
O15_EXCESS_VOMIT_PREG,226,-0.010 [-0.014--0.01],0.036,*,Excessive vomiting in pregnancy,Pregnancy
M13_PSORIARTH,11111,-0.010 [-0.011--0.01],3.188e-114,***,Psoriatic arthropathies,Musculoskeletal
C3_ANUS_ANALCANAL,76,-0.010 [-0.013--0.01],7.366e-07,***,Malignant neoplasm of anus and anal canal,Neoplasms
L12_PAPULOSQUAMOUS,16405,-0.010 [-0.012--0.01],4.237e-59,***,Papulosquamous disorders,Skin
M13_POLYMYALGIA,4532,-0.011 [-0.012--0.01],8.534e-36,***,Polymyalgia rheumatica,Musculoskeletal
H8_TINNITUS,193,-0.011 [-0.015--0.01],0.003,**,Tinnitus,Ear and mastoid
L12_LICHENSCLERATROPH,5062,-0.011 [-0.012--0.01],5.876e-71,***,Lichen sclerosus et atrophicus,Skin
H7_CHOROIDRETINA,12847,-0.011 [-0.014--0.01],3.425e-12,***,Disorders of choroid and retina,Eye and adnexa
L12_ATROPHICSKIN,3167,-0.011 [-0.013--0.01],1.123e-33,***,Atrophic disorders of skin,Skin
CD2_BENIGN_MENINGES_CEREBRAL,383,-0.011 [-0.014--0.01],3.077e-07,***,Benign neoplasm: Cerebral meninges,Neoplasms
L12_PSORIASIS,18203,-0.011 [-0.012--0.01],1.126e-119,***,Psoriasis,Skin
CD2_BENIGN_MENINGES,586,-0.012 [-0.014--0.01],4.451e-11,***,Benign neoplasm of meninges,Neoplasms
D3_ANAEMIA_B12_DEF,5007,-0.012 [-0.013--0.01],3.214e-38,***,Vitamin B12 deficiency anaemia,Blood and immune
CHRONNAS,1420,-0.013 [-0.015--0.01],2.857e-19,***,Crohn's disease NAS,Digestive
H7_IRIDOCYCLITIS,22983,-0.013 [-0.014--0.01],5.366e-224,***,Iridocyclitis,Eye and adnexa
M13_OLECRANONBURSITIS,147,-0.013 [-0.018--0.01],0.010,**,Olecranon bursitis,Musculoskeletal
F5_PTSD,319,-0.014 [-0.019--0.01],0.013,*,Post-traumatic stress disorder,Mental and behavioural
M13_BONEDENSOTH,48,-0.014 [-0.020--0.01],0.037,*,Other disorders of bone density and structure,Musculoskeletal
F5_MENTALUNSPE,114,-0.015 [-0.021--0.01],0.025,*,"Mental disorders, not otherwise specified",Mental and behavioural
M13_CERVICDISC,530,-0.016 [-0.021--0.01],0.003,**,Cervical disc disorders,Musculoskeletal
C3_HEPATOCELLU_CARC,441,-0.016 [-0.017--0.01],4.334e-56,***,Hepatocellular carcinoma,Neoplasms
H7_SCLERACORNEA,15425,-0.016 [-0.018--0.01],2.708e-57,***,"Disorders of sclera, cornea, iris and ciliary body",Eye and adnexa
M13_SPINSTENOSIS,4505,-0.016 [-0.020--0.01],4.031e-11,***,Spinal stenosis,Musculoskeletal
RHEUMA_SEROPOS_WIDE,21443,-0.016 [-0.017--0.02],1.000e-315,***,"Seropositive rheumatoid arthritis, wide",Musculoskeletal
ULCERRECT,2148,-0.016 [-0.019--0.01],2.254e-20,***,Ulcerative rectosigmoiditis,Digestive
RHEUMA_OTHER_WIDE,12512,-0.016 [-0.017--0.01],1.179e-164,***,"Other (seronegative) rheumatoid arthritis, wide",Musculoskeletal
CHIRHEP_NAS,355,-0.016 [-0.019--0.01],2.940e-25,***,"Cirrhosis of liver, NAS",Digestive
I9_HYPTENSESS,17747,-0.016 [-0.020--0.01],6.113e-09,***,"Hypertension, essential",Circulatory
CD2_INSITU_CERVIX_UTERI,1636,-0.017 [-0.019--0.01],1.783e-29,***,Carcinoma in situ of cervix uteri,Neoplasms
M13_RHEUMA,20944,-0.017 [-0.018--0.02],1.000e-315,***,Rheumatoid arthritis,Musculoskeletal
N14_ENDOMETRIOSIS_UTERUS,193,-0.018 [-0.023--0.01],1.066e-05,***,Adenomyosis (Endometriosis of uterus),Genitourinary
L12_DERMATITISECZEMA,8563,-0.018 [-0.022--0.01],3.126e-08,***,Dermatitis and eczema,Skin
RHEUMA_NOS,13051,-0.018 [-0.019--0.02],1.000e-315,***,Other/unspecified rheumatoid arthritis,Musculoskeletal
CD2_INSITU_BREAST_INTRADUCTAL,179,-0.018 [-0.024--0.01],8.066e-04,***,"Carcinoma in situ of breast, intraductal",Neoplasms
N14_CALCUKIDUR,1321,-0.019 [-0.022--0.02],4.438e-26,***,Calculus of kidney and ureter,Genitourinary
H8_HL_SEN_NAS,5357,-0.019 [-0.023--0.01],1.715e-13,***,Sensorineural hearing loss,Ear and mastoid
K11_HERNIA,6152,-0.019 [-0.024--0.01],1.547e-11,***,Hernia,Digestive
I9_HYPTENS,25621,-0.019 [-0.023--0.02],3.055e-22,***,Hypertension,Circulatory
K11_CHOLELITH,10661,-0.020 [-0.024--0.02],4.875e-15,***,Cholelithiasis,Digestive
N14_CERVICAL_HSIL,5964,-0.020 [-0.021--0.02],1.124e-109,***,HSIL lesion of the cervix uteri,Genitourinary
N14_HYPERTROPHYBREAST,1659,-0.021 [-0.023--0.02],5.594e-41,***,Hypertrophy of breast,Genitourinary
J10_LOWCHRON,14991,-0.021 [-0.025--0.02],1.280e-19,***,Chronic lower respiratory diseases,Respiratory
DM_NEOVASCULAR_GLAUCOMA,434,-0.021 [-0.025--0.02],1.184e-14,***,Neovascular glaucoma,Eye and adnexa
N14_FEMALE_GENITAL_HSIL,6550,-0.021 [-0.023--0.02],1.462e-135,***,"HSIL lesion of the cervix uteri, vagina or vulva",Genitourinary
INFLUENZA,139,-0.021 [-0.029--0.01],0.005,**,All influenza (not pneumonia),Respiratory
O15_LABOUR_MALPOS,202,-0.022 [-0.030--0.01],0.021,*,Obstructed labour due to malposition and malpresentation of fetus,Pregnancy
I9_VARICVEOES,203,-0.023 [-0.025--0.02],3.002e-62,***,Oesophageal varices,Circulatory
M13_POLYARTHROPATHIES,18752,-0.023 [-0.025--0.02],2.515e-157,***,Polyarthropathies,Musculoskeletal
N14_MENORRHAGIA,717,-0.024 [-0.030--0.02],2.071e-08,***,Menorrhagia,Genitourinary
N14_CERVICAL_DYSPLASIA_ALL,5631,-0.024 [-0.026--0.02],8.068e-106,***,All dysplastic lesions of the cervix uteri,Genitourinary
H8_OTHEREAR,3939,-0.024 [-0.031--0.02],2.850e-08,***,Other disorders of ear,Ear and mastoid
N14_EROSECTROPUT,31,-0.024 [-0.031--0.02],2.120e-07,***,Erosion and ectropion of cervix uteri,Genitourinary
NAFLD,505,-0.025 [-0.030--0.02],2.937e-18,***,Nonalcoholic fatty liver disease,Digestive
