Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
G6_MIGRAINE_WITH_AURA,143,0.066 [0.056-0.08],2.050e-34,***,Migraine with aura,Nervous
E4_METABOLIA,4834,0.065 [0.057-0.07],3.533e-49,***,Metabolic disorders,Endocrine and metabolic
AB1_INTESTINAL_INFECTIONS,954,0.063 [0.049-0.08],3.793e-14,***,Intestinal infectious diseases,Infectious and parasitic
L12_OTHERCONTACT,39,0.062 [0.039-0.08],0.027,*,Other contact dermatitis,Skin
M13_ENTESOPATHYOTH,48,0.061 [0.042-0.08],1.297e-04,***,Other enthesopathies,Musculoskeletal
H7_STENOLACRI,62,0.059 [0.052-0.07],5.833e-51,***,Stenosis and insufficiency of lacrimal passages,Eye and adnexa
I9_OTHPER,110,0.059 [0.048-0.07],4.866e-20,***,Other peripheral vascular diseases,Circulatory
L12_LICHENSIMPLEX,206,0.058 [0.055-0.06],1.083e-286,***,Lichen simplex chronicus,Skin
CD2_NONFOLLICULAR_LYMPHOMA,1093,0.058 [0.055-0.06],1.018e-288,***,Non-follicular lymphoma,Neoplasms
E4_ENDOMETPOSTOP,4212,0.057 [0.056-0.06],1.000e-315,***,"Postprocedural endocrine and metabolic disorders, not elsewhere classified",Endocrine and metabolic
M13_SHOULDER,206,0.057 [0.038-0.08],7.390e-04,***,Shoulder lesions,Musculoskeletal
N14_MENSIRREG,59,0.057 [0.040-0.07],1.518e-05,***,Irregular menses,Genitourinary
K11_CHOLANGI,1455,0.056 [0.054-0.06],1.000e-315,***,"Cholangitis (primary sclerosing, PSC)",Digestive
L12_GRANULOMATOUSSKIN,404,0.056 [0.054-0.06],1.000e-315,***,Granulomatous disorders of skin and subcutaneous tissue,Skin
E4_ADDISON,668,0.053 [0.051-0.06],1.000e-315,***,Adrenocortical insufficiency,Endocrine and metabolic
J10_PLEURA,140,0.052 [0.040-0.06],8.928e-12,***,Other diseases of pleura,Respiratory
M13_SPONDYLOSIS,854,0.050 [0.044-0.06],2.086e-47,***,Spondylosis,Musculoskeletal
E4_THYROID,25555,0.050 [0.048-0.05],1.000e-315,***,Disorders of the thyroid gland,Endocrine and metabolic
K11_DIAHER,628,0.048 [0.044-0.05],1.727e-132,***,Diaphragmatic hernia,Digestive
M13_INTERVERTEB,3685,0.047 [0.043-0.05],1.999e-89,***,Other intervertebral disc disorders,Musculoskeletal
O15_MATERN_CARE_OTHER,240,0.047 [0.039-0.06],1.948e-23,***,Maternal care for other known or suspected fetal problems,Pregnancy
N14_NEPHROTICSYND,824,0.045 [0.043-0.05],1.000e-315,***,Nephrotic syndrome,Genitourinary
M13_DORSOPATHYOTH,5393,0.045 [0.039-0.05],4.069e-46,***,"Other dorsopathies, not elsewhere classified",Musculoskeletal
M13_MYOSITIS,988,0.045 [0.044-0.05],1.000e-315,***,Myositis,Musculoskeletal
M13_LIMBPAIN,197,0.044 [0.029-0.06],6.203e-04,***,Pain in limb,Musculoskeletal
M13_LOWBACKPAIN,1988,0.044 [0.036-0.05],6.970e-23,***,Low back pain,Musculoskeletal
AB1_SEXUAL_TRANSMISSION_NOS,10411,0.043 [0.042-0.04],1.000e-315,***,"Other predominantly sexually transmitted diseases, not elsewhere classified",Infectious and parasitic
L12_URTICA_NAS,213,0.043 [0.028-0.06],0.008,**,Other and unspecified urticaria,Skin
K11_CHOLELITH,10661,0.042 [0.032-0.05],1.375e-12,***,Cholelithiasis,Digestive
F5_ALCOHOL_DEPENDENCE,95,0.042 [0.031-0.05],8.208e-09,***,Alcohol dependence,Mental and behavioural
M13_MCTD,5075,0.041 [0.040-0.04],1.000e-315,***,Mixed connective tissue disease,Musculoskeletal
RESP_ILL_DIS_CLASS_ELSEWHERE,55,0.040 [0.036-0.04],3.094e-90,***,Respiratory disorders in diseases classified elsewhere,Respiratory
ALLERG_ASTHMA,7321,0.040 [0.038-0.04],1.000e-315,***,Allergic asthma (mode),Respiratory
CD2_BENIGN_OVARY,144,0.038 [0.031-0.05],4.151e-19,***,Benign neoplasm of ovary,Neoplasms
G6_CARPTU,3265,0.038 [0.034-0.04],7.227e-57,***,Carpal tunnel syndrome,Nervous
M13_CONNECTNAS,4565,0.038 [0.037-0.04],1.000e-315,***,Other specified/unspecified systemic involvement of connective tissue,Musculoskeletal
N14_FEMALE_GENITAL_LSIL,2422,0.038 [0.035-0.04],1.113e-128,***,"LSIL lesion of the cervix uteri, vagina or vulva",Genitourinary
C3_CANCER_WIDE,3271,0.038 [0.032-0.04],5.866e-28,***,"Malignant neoplasm, wide definition for exclusion",Neoplasms
J10_LOWCHRON,14991,0.038 [0.035-0.04],1.484e-153,***,Chronic lower respiratory diseases,Respiratory
D3_ITP,120,0.038 [0.029-0.05],3.101e-13,***,Idiopathic thrombocytopenic purpura,Blood and immune
M13_OTHERJOINT,3314,0.038 [0.030-0.05],5.804e-18,***,Other joint disorders,Musculoskeletal
K11_FEMHER,59,0.037 [0.028-0.05],7.813e-11,***,Femoral hernia,Digestive
H7_RETINALDETACHBREAK,53,0.036 [0.027-0.05],4.596e-09,***,Retinal detachment with retinal break,Eye and adnexa
CD2_HODGKIN_LYMPHOMA,268,0.036 [0.034-0.04],1.000e-315,***,"Hodgkin lymphoma, hilmo",Neoplasms
K11_PANCOTH,29,0.036 [0.024-0.05],0.002,**,Other diseases of pancreas,Digestive
H7_ORBIT,4635,0.035 [0.035-0.04],1.000e-315,***,Disorders of orbit,Eye and adnexa
E4_HYPERLIPNAS,1251,0.034 [0.023-0.04],1.314e-04,***,"Hyperlipidaemia, other/unspecified",Endocrine and metabolic
E4_THYROIDITAUTOIM,932,0.032 [0.030-0.03],8.310e-294,***,Autoimmune thyroiditis,Endocrine and metabolic
I9_HYPTENSRD,30,0.031 [0.025-0.04],4.168e-14,***,Hypertensive Renal Disease,Circulatory
J10_PNEUMOTHORAX,46,0.030 [0.022-0.04],1.889e-08,***,Pneumothorax,Respiratory
M13_SPINSTENOSIS,4505,0.030 [0.027-0.03],9.319e-72,***,Spinal stenosis,Musculoskeletal
CD2_BENIGN_PITUITARY_CRANIPHAR,90,0.028 [0.024-0.03],1.891e-26,***,"Benign neoplasm: Pituitary gland, craniopharyngeal duct",Neoplasms
H7_CATARACTSENILE,4936,0.027 [0.023-0.03],3.870e-31,***,Senile cataract,Eye and adnexa
L12_LICHSIMPANDPRURIGO,167,0.027 [0.021-0.03],4.047e-11,***,Lichen simplex chronicus and prurigo,Skin
CD2_INSITU_BLADDER,34,0.027 [0.021-0.03],6.565e-13,***,"Carcinoma in situ, bladder",Neoplasms
M13_ARTHROSIS_KNEE,5080,0.026 [0.022-0.03],2.714e-36,***,Gonarthrosis,Musculoskeletal
K11_OTHDIG,23141,0.026 [0.025-0.03],1.000e-315,***,Diseases of the digestive system,Digestive
H7_CATARACTOTHER,4338,0.025 [0.021-0.03],1.730e-34,***,Other cataract,Eye and adnexa
E4_THYTOXGOITDIF,19055,0.025 [0.024-0.03],1.000e-315,***,Thyrotoxicosis with diffuse goitre,Endocrine and metabolic
M13_TRIGGERFINGER,2255,0.024 [0.021-0.03],3.280e-44,***,Trigger finger,Musculoskeletal
L12_FOLLICULARCYST,349,0.024 [0.020-0.03],1.216e-26,***,Follicular cysts of skin and subcutaneous tissue,Skin
M13_SJOGREN,13564,0.024 [0.023-0.02],1.000e-315,***,Sicca syndrome [Sjögren],Musculoskeletal
L12_DERMATITISECZEMA,8563,0.023 [0.016-0.03],5.335e-05,***,Dermatitis and eczema,Skin
L12_LUPUS,5381,0.023 [0.022-0.02],1.000e-315,***,Cutaneous lupus erythematosus,Skin
K11_MALABSORB,6958,0.022 [0.022-0.02],1.000e-315,***,Intestinal malabsorption,Digestive
L12_BULLOUS,10568,0.022 [0.021-0.02],1.000e-315,***,Bullous disorders,Skin
D3_SARCOIDOSIS,15089,0.022 [0.021-0.02],1.000e-315,***,Sarcoidosis,Blood and immune
N14_EROSECTROPUT,31,0.021 [0.015-0.03],1.647e-04,***,Erosion and ectropion of cervix uteri,Genitourinary
H7_KERATITIS,1243,0.021 [0.017-0.03],8.028e-21,***,Keratitis,Eye and adnexa
M13_CRYSTALARTH,168,0.021 [0.018-0.02],2.201e-53,***,Other crystal arthropathies,Musculoskeletal
H8_PERFORATION,143,0.019 [0.013-0.03],0.002,**,Perforation of tympanic membrane,Ear and mastoid
M13_OLECRANONBURSITIS,147,0.019 [0.014-0.02],4.553e-09,***,Olecranon bursitis,Musculoskeletal
AUTOHEP,2902,0.019 [0.018-0.02],1.000e-315,***,Autoimmune hepatitis,Digestive
H7_RETINALBREAK,282,0.018 [0.014-0.02],1.369e-17,***,Retinal breaks without detachment,Eye and adnexa
M13_MENISCUSDERANGEMENTS,937,0.018 [0.013-0.02],8.347e-07,***,Meniscus derangement,Musculoskeletal
H7_CHOROIDRETINA,12847,0.018 [0.016-0.02],2.726e-82,***,Disorders of choroid and retina,Eye and adnexa
G6_TRINEU,93,0.017 [0.011-0.02],0.008,**,Trigeminal neuralgia,Nervous
N14_FEMALE_GENITAL_DYSPLASIA_ALL,7063,0.017 [0.015-0.02],1.065e-71,***,"All dysplastic lesions of the cervix uteri, vagina or vulva",Genitourinary
POLLENALLERG,487,0.017 [0.011-0.02],0.001,**,Pollen allergy,Respiratory
M13_ADHCAPSULITIS,1742,0.017 [0.013-0.02],9.463e-12,***,Adhesive capsulitis of shoulder,Musculoskeletal
D3_ANAEMIAINCHRONICDISEASE,72,0.017 [0.011-0.02],9.782e-04,***,Anaemia in chronic diseases classified elsewhere,Blood and immune
PRIM_COXARTHROSIS,939,0.017 [0.013-0.02],7.337e-18,***,"Primary coxarthrosis, bilateral",Musculoskeletal
K11_PERITONITIS,161,0.016 [0.012-0.02],5.209e-08,***,Acute peritonitis,Digestive
L12_ULCERLOWLIMB,2421,0.016 [0.013-0.02],7.261e-22,***,"Ulcer of lower limb, not elsewhere classified",Skin
DM_NEPHROPATHY,7402,0.016 [0.014-0.02],3.222e-150,***,Diabetic nephropathy,Genitourinary
L12_PILONIDALCYST,217,0.015 [0.010-0.02],0.016,*,Pilonidal cyst,Skin
H7_CORNEALDYSTROPHY,38,0.015 [0.012-0.02],1.835e-13,***,Corneal degeneration,Eye and adnexa
D3_ANAEMIA_B12_DEF,5007,0.015 [0.014-0.02],9.408e-112,***,Vitamin B12 deficiency anaemia,Blood and immune
H8_HL_SEN_NAS,5357,0.015 [0.011-0.02],6.390e-11,***,Sensorineural hearing loss,Ear and mastoid
CD2_BENIGN_MELANOCYTIC_SCALPNECK,136,0.014 [0.010-0.02],4.282e-05,***,Melanocytic naevi of scalp and neck,Neoplasms
H7_DIVERGSTRAB,291,0.014 [0.011-0.02],1.133e-16,***,Divergent concomitant strabismus,Eye and adnexa
O15_PLAC_DISORD,65,0.014 [0.010-0.02],8.917e-06,***,Placental disorders,Pregnancy
N14_FEMGENPROL,2263,0.014 [0.010-0.02],4.705e-06,***,Female genital prolapse,Genitourinary
H8_HL_MIX_NAS,509,0.014 [0.009-0.02],0.002,**,Mixed conductive and sensorineural hearing loss,Ear and mastoid
I9_ABAORTANEUR,210,0.013 [0.009-0.02],0.003,**,Abdominal aortic aneurysm (AAA),Circulatory
ULCEROTH,633,0.012 [0.009-0.02],4.862e-06,***,Other ulcerative colitis,Digestive
M13_VARUS,203,0.012 [0.011-0.01],2.143e-61,***,"Varus deformity, not elsewhere classified",Musculoskeletal
E4_GLUCOPANCREAS,8980,0.011 [0.010-0.01],4.558e-153,***,Other disorders of glucose regulation and pancreatic internal secretion,Endocrine and metabolic
L12_ACTINKERA,6784,0.011 [0.009-0.01],1.189e-47,***,Actinic keratosis,Skin
H7_CORNEALNAS,323,0.010 [0.008-0.01],1.221e-16,***,Other and unspecified corneal deformities and disorders,Eye and adnexa
M13_OSTEOMYELITIS,308,0.010 [0.007-0.01],0.002,**,Osteomyelitis,Musculoskeletal
C3_MELANOMA_SKIN,2304,0.010 [0.008-0.01],2.495e-33,***,Malignant melanoma of skin,Neoplasms
D3_OTHERBLOOD,427,0.009 [0.007-0.01],3.161e-11,***,Other diseases of blood and blood-forming organs,Blood and immune
H7_CORNEALOTH,568,0.009 [0.006-0.01],2.464e-06,***,Other disorders of cornea,Eye and adnexa
N14_CERVICAL_DYSPLASIA_ALL,5631,0.008 [0.007-0.01],5.530e-14,***,All dysplastic lesions of the cervix uteri,Genitourinary
N14_HYPERTROPHYBREAST,1658,0.008 [0.006-0.01],1.130e-08,***,Hypertrophy of breast,Genitourinary
DM_NEUROPATHY,5299,0.008 [0.007-0.01],5.052e-29,***,Diabetic neuropathy,Endocrine and metabolic
G6_MS,12132,0.008 [0.007-0.01],5.492e-186,***,MS-disease / Multiple Sclerosis,Nervous
I9_HYPTENS,25618,0.008 [0.006-0.01],8.908e-09,***,Hypertension,Circulatory
N14_ENDOMETRIOSIS_PELVICPERITONEUM,1404,0.008 [0.005-0.01],2.499e-06,***,Endometriosis of pelvic peritoneum,Genitourinary
K11_COELIAC,42111,0.007 [0.007-0.01],1.000e-315,***,Coeliac disease,Digestive
C3_OTHER_SKIN,9911,0.007 [0.005-0.01],8.417e-09,***,Other malignant neoplasms of skin (=non-melanoma skin cancer),Neoplasms
N14_FEMALE_GENITAL_HSIL,6550,0.006 [0.004-0.01],2.041e-09,***,"HSIL lesion of the cervix uteri, vagina or vulva",Genitourinary
C3_BASAL_CELL_CARCINOMA,10907,0.005 [0.004-0.01],1.427e-07,***,Basal cell carcinoma,Neoplasms
N14_CERVICAL_HSIL,5964,0.004 [0.003-0.01],6.263e-04,***,HSIL lesion of the cervix uteri,Genitourinary
H8_OTOSCLE,2888,0.004 [0.003-0.00],1.059e-09,***,Otosclerosis,Ear and mastoid
N14_GLOMEINOTH,5455,0.004 [0.003-0.01],1.930e-04,***,Glomerular disorders in diseases classified elsewhere,Genitourinary
DRY_AMD,4885,0.004 [0.002-0.00],0.001,**,Dry age-related macular degeneration (includes geographic atrophy),Eye and adnexa
POLYCYTVERA,837,0.003 [0.003-0.00],5.851e-22,***,Polycythaemia vera,Neoplasms
H7_KERATOCONUS,1133,0.003 [0.002-0.00],0.004,**,Hereditary corneal dystrophies,Eye and adnexa
CHRONMYELOPRO,471,0.003 [0.002-0.00],2.726e-07,***,Chronic myeloproliferative disease,Neoplasms
E4_GOITREMULTINOD,6286,0.003 [0.002-0.00],5.604e-05,***,Nontoxic multinodular goitre,Endocrine and metabolic
E4_GILBERT,452,0.002 [0.002-0.00],9.989e-08,***,Gilbert syndrome,Endocrine and metabolic
E4_PORBILIR,370,0.002 [0.001-0.00],0.014,*,Disorders of porphyrin and bilirubin metabolism,Endocrine and metabolic
I9_HYPERTROCARDMYOP,483,-0.002 [-0.002--0.00],0.001,**,Hypertrophic cardiomyopathy,Circulatory
E4_IRON_MET,3833,-0.002 [-0.002--0.00],1.156e-10,***,Disorders of iron metabolism,Endocrine and metabolic
RHEUMA_NOS,13051,-0.003 [-0.004--0.00],2.683e-11,***,Other/unspecified rheumatoid arthritis,Musculoskeletal
RHEUMA_OTHER_WIDE,12512,-0.004 [-0.005--0.00],7.502e-10,***,"Other (seronegative) rheumatoid arthritis, wide",Musculoskeletal
RHEUMA_SEROPOS_WIDE,21443,-0.004 [-0.005--0.00],3.475e-41,***,"Seropositive rheumatoid arthritis, wide",Musculoskeletal
M13_SPONDYLINFLAMNAS,14599,-0.004 [-0.005--0.00],3.718e-100,***,Other specified/unspecified inflammatory spondylopathies,Musculoskeletal
M13_ANKYLOSPON,29005,-0.004 [-0.004--0.00],1.590e-185,***,Ankylosing spondylitis,Musculoskeletal
M13_RHEUMA,20944,-0.004 [-0.005--0.00],2.847e-33,***,Rheumatoid arthritis,Musculoskeletal
H7_GLAUCOMA_NTG,563,-0.005 [-0.006--0.00],5.834e-05,***,Normotensive glaucoma,Eye and adnexa
CD2_FOLLICULAR_LYMPHOMA,5808,-0.005 [-0.006--0.00],5.780e-37,***,"Follicular lymphoma, hilmo",Neoplasms
SPONDYLOARTHRITIS,25038,-0.006 [-0.006--0.01],8.456e-134,***,Spondyloarthritis,Musculoskeletal
CHRONLARGE,480,-0.006 [-0.008--0.00],0.043,*,Crohn's disease of large intestine,Digestive
RHEUMA_SERONEG,8327,-0.006 [-0.007--0.01],5.194e-27,***,Seronegative rheumatoid arthritis,Musculoskeletal
CHRONOTH,1965,-0.006 [-0.008--0.00],5.439e-06,***,Other Crohn's disease,Digestive
CHRONSMALL,2604,-0.007 [-0.008--0.01],2.823e-13,***,Crohn's disease of small intestine,Digestive
M13_POLYARTHROPATHIES,18752,-0.007 [-0.008--0.01],2.249e-18,***,Polyarthropathies,Musculoskeletal
I9_VARICVE,10262,-0.007 [-0.009--0.01],1.358e-07,***,Varicose veins,Circulatory
I9_THROMBOTH,852,-0.007 [-0.009--0.01],3.457e-06,***,Other embolism and thrombosis,Circulatory
ULCERRECT,2148,-0.007 [-0.009--0.00],1.261e-05,***,Ulcerative rectosigmoiditis,Digestive
N14_DIALYSIS,1620,-0.007 [-0.009--0.01],3.823e-17,***,Dialysis,Genitourinary
H7_ENTROPION,903,-0.008 [-0.010--0.01],2.130e-06,***,Entropion and trichiasis of eyelid,Eye and adnexa
C3_CLL_WIDE,431,-0.008 [-0.009--0.01],1.573e-16,***,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, including Hilmo",Neoplasms
H7_BLINDMONOCULAR,75,-0.008 [-0.011--0.01],0.002,**,"Blindness, monocular",Eye and adnexa
H7_IRIDOCYCLITIS,22983,-0.009 [-0.010--0.01],2.451e-209,***,Iridocyclitis,Eye and adnexa
J10_NASALPOLYP,7370,-0.010 [-0.011--0.01],7.528e-52,***,Nasal polyp,Respiratory
CD2_BENIGN_ADRENAL,332,-0.010 [-0.013--0.01],1.763e-06,***,Benign neoplasm: Adrenal gland,Neoplasms
M13_ARTHTROSIS_COX,3783,-0.011 [-0.014--0.01],1.989e-05,***,Coxarthrosis,Musculoskeletal
C3_THYROID_GLAND,1115,-0.011 [-0.013--0.01],8.596e-34,***,Malignant neoplasm of thyroid gland,Neoplasms
H7_HEREDRETINADYST,308,-0.011 [-0.013--0.01],5.937e-27,***,Hereditary retinal dystrophy,Eye and adnexa
M13_GIANTCELL,1909,-0.011 [-0.012--0.01],1.310e-70,***,Giant cell arteritis,Musculoskeletal
H7_IRIDONAS,4666,-0.011 [-0.012--0.01],1.065e-150,***,Other and unspecified iridocyclitis,Eye and adnexa
ABPA,23,-0.011 [-0.015--0.01],0.011,*,Allergic bronchopulmonary aspergillosis (ABPA),Infectious and parasitic
L12_LICHENSCLERATROPH,5062,-0.011 [-0.013--0.01],2.401e-67,***,Lichen sclerosus et atrophicus,Skin
CHRONNAS,1420,-0.012 [-0.013--0.01],1.632e-33,***,Crohn's disease NAS,Digestive
E4_THYROIDNASOTH,177,-0.012 [-0.014--0.01],1.053e-14,***,"Disorder of thyroid, unspecified",Endocrine and metabolic
H7_SCLERACORNEA,15425,-0.012 [-0.014--0.01],1.603e-72,***,"Disorders of sclera, cornea, iris and ciliary body",Eye and adnexa
L12_PSORI_NAS,8866,-0.012 [-0.013--0.01],1.000e-315,***,Other and unspecified psoriasis,Skin
E4_LACTONAS,2420,-0.013 [-0.014--0.01],3.017e-191,***,"Lactose intolerance, other/unspecified",Endocrine and metabolic
DM_NEOVASCULAR_GLAUCOMA,434,-0.013 [-0.016--0.01],7.700e-10,***,Neovascular glaucoma,Eye and adnexa
I9_NONISCHCARDMYOP_STRICT,123,-0.013 [-0.017--0.01],3.360e-06,***,Nonischemic cardiomyopathy,Circulatory
M13_FLATFOOT,295,-0.013 [-0.017--0.01],1.659e-06,***,Flat foot [pes planus] (acquired),Musculoskeletal
CD2_LYMPHOID_LEUKAEMIA,767,-0.014 [-0.015--0.01],1.192e-52,***,Lymphoid leukaemia,Neoplasms
L12_PSORI_VULG,15019,-0.014 [-0.015--0.01],1.000e-315,***,Psoriasis vulgaris,Skin
AMN2,162,-0.015 [-0.019--0.01],5.232e-05,***,Transient global amnesia,Nervous
E4_HYPERPARA,400,-0.015 [-0.019--0.01],1.274e-10,***,Hyperparathyroidism,Endocrine and metabolic
M13_PSORIARTH,11111,-0.015 [-0.016--0.01],1.000e-315,***,Psoriatic arthropathies,Musculoskeletal
I9_SECONDRIGHT,127,-0.015 [-0.021--0.01],0.002,**,Secondary right heart disease,Circulatory
L12_PSORIASIS,18203,-0.016 [-0.017--0.02],1.000e-315,***,Psoriasis,Skin
E4_OBESITYNAS,1620,-0.016 [-0.019--0.01],1.219e-26,***,"Obesity, other/unspecified",Endocrine and metabolic
H7_MYOPIA,146,-0.017 [-0.023--0.01],0.005,**,Myopia,Eye and adnexa
I9_OTHARR,798,-0.018 [-0.023--0.01],1.688e-06,***,Other arrhythmias,Circulatory
M13_BURSOPATHY,65,-0.018 [-0.024--0.01],0.019,*,Other bursopathies,Musculoskeletal
M13_POLYARTHRITIS,1672,-0.018 [-0.019--0.02],9.897e-105,***,"Polyarthritis, unspecified",Musculoskeletal
E4_GOITRENOD,331,-0.018 [-0.022--0.02],8.088e-24,***,Nontoxic single thyroid nodule,Endocrine and metabolic
E4_PARATHYRO,319,-0.018 [-0.023--0.01],6.275e-09,***,Disorders of parathyroid gland,Endocrine and metabolic
L12_CORNSANDCALLOS,491,-0.019 [-0.023--0.01],4.668e-16,***,Corns and callosities,Skin
N14_PHIMOSIS,4306,-0.019 [-0.021--0.02],4.080e-91,***,"Redundant prepuce, phimosis and paraphimosis",Genitourinary
E4_OBESITY,3239,-0.019 [-0.022--0.02],4.623e-30,***,Obesity,Endocrine and metabolic
CD2_BENIGN_MENINGES,585,-0.019 [-0.024--0.01],3.815e-08,***,Benign neoplasm of meninges,Neoplasms
M13_PYOGARTH,525,-0.020 [-0.022--0.02],1.697e-61,***,Pyogenic arthritis,Musculoskeletal
N14_OVARYCYST,985,-0.020 [-0.026--0.01],8.190e-05,***,Ovarian cyst,Genitourinary
L12_PAPULOSQUAMOUS,16405,-0.020 [-0.021--0.02],1.000e-315,***,Papulosquamous disorders,Skin
CD2_BENIGN_MENINGES_CEREBRAL,382,-0.020 [-0.027--0.01],0.003,**,Benign neoplasm: Cerebral meninges,Neoplasms
E4_HYPERPIT,147,-0.020 [-0.025--0.02],8.451e-14,***,Hyperfunction of pituitary gland,Endocrine and metabolic
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE,1622,-0.020 [-0.026--0.01],4.674e-08,***,Viral infections characterized by skin and mucous membrane lesions,Infectious and parasitic
M13_HALLUXVALGUS,3980,-0.020 [-0.024--0.02],4.801e-32,***,Hallux valgus (acquired),Musculoskeletal
K11_HERNIA,6152,-0.021 [-0.024--0.02],1.048e-26,***,Hernia,Digestive
O15_LABOUR_UMBILICAL,118,-0.022 [-0.025--0.02],3.002e-28,***,Labour and delivery complicated by umbilical cord complications,Pregnancy
N14_CALCUKIDUR,1321,-0.022 [-0.025--0.02],2.900e-24,***,Calculus of kidney and ureter,Genitourinary
O15_PRE_OR_ECLAMPSIA,259,-0.022 [-0.029--0.01],0.001,**,Pre-eclampsia or eclampsia,Pregnancy
G6_SLEEPAPNO,1870,-0.022 [-0.028--0.02],2.501e-08,***,Sleep apnoea,Nervous
H7_OCUPAIN,174,-0.022 [-0.028--0.02],4.868e-10,***,Ocular pain,Eye and adnexa
I9_PAROXTAC,262,-0.023 [-0.030--0.01],0.001,**,Paroxysmal tachycardia,Circulatory
I9_AORTDIS,126,-0.023 [-0.026--0.02],1.760e-36,***,Dissection of aorta,Circulatory
J10_CHRONSINUSITIS,3550,-0.023 [-0.028--0.02],2.857e-20,***,Chronic sinusitis,Respiratory
CD2_BENIGN_CONNECTIVE_SOFT,95,-0.025 [-0.033--0.02],6.762e-05,***,Other benign neoplasms of connective and other soft tissue,Neoplasms
I9_THAORTANEUR,1182,-0.025 [-0.027--0.02],6.986e-113,***,Thoracic aortic aneurysm,Circulatory
F5_PANIC,375,-0.026 [-0.030--0.02],1.287e-18,***,Panic disorder,Mental and behavioural
M13_CERVICALGIA,179,-0.026 [-0.033--0.02],1.799e-06,***,Cervicalgia,Musculoskeletal
D3_ANAEMIA_IRONDEF_NAS,859,-0.026 [-0.031--0.02],1.233e-15,***,Other and unspecified iron deficiency,Blood and immune
