Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
M13_SPINSTENOSIS,4505,0.091 [0.086-0.10],8.906e-224,***,Spinal stenosis,Musculoskeletal
I9_UAP,1483,0.088 [0.073-0.10],1.769e-24,***,Unstable angina pectoris,Circulatory
L12_GRANULOMATOUSSKIN,404,0.087 [0.085-0.09],1.000e-315,***,Granulomatous disorders of skin and subcutaneous tissue,Skin
F5_ALCOHOL_DEPENDENCE,95,0.086 [0.073-0.10],5.918e-32,***,Alcohol dependence,Mental and behavioural
M13_DORSOPATHY,8797,0.085 [0.079-0.09],1.294e-162,***,Dorsopathies,Musculoskeletal
N14_URETHRAOTH,610,0.082 [0.073-0.09],9.500e-63,***,Other disorders of urethra and urinary system,Genitourinary
N14_CHRONKIDNEYDIS,1777,0.081 [0.073-0.09],5.422e-80,***,Chronic kidney disease,Genitourinary
E4_THYROID,25555,0.080 [0.078-0.08],1.000e-315,***,Disorders of the thyroid gland,Endocrine and metabolic
H7_EYEOTH,57,0.078 [0.065-0.09],3.039e-25,***,Other disorders of eye and adnexa,Eye and adnexa
L12_DERMATITISECZEMA,8563,0.078 [0.073-0.08],1.006e-169,***,Dermatitis and eczema,Skin
J10_LOWCHRON,14991,0.076 [0.072-0.08],4.133e-262,***,Chronic lower respiratory diseases,Respiratory
E4_ADDISON,668,0.076 [0.072-0.08],8.865e-263,***,Adrenocortical insufficiency,Endocrine and metabolic
H8_BPV,30,0.075 [0.052-0.10],1.273e-05,***,Benign paroxysmal vertigo,Ear and mastoid
M13_ARTHROPATHIES,7062,0.074 [0.067-0.08],5.320e-79,***,Arthropathies,Musculoskeletal
AB1_SEXUAL_TRANSMISSION_NOS,10411,0.074 [0.073-0.08],1.000e-315,***,"Other predominantly sexually transmitted diseases, not elsewhere classified",Infectious and parasitic
ALLERG_ASTHMA,7322,0.073 [0.070-0.08],1.000e-315,***,Allergic asthma (mode),Respiratory
K11_LIVER,812,0.072 [0.061-0.08],1.928e-30,***,Diseases of liver,Digestive
N14_FEMALE_GENITAL_LSIL,2422,0.070 [0.065-0.07],7.449e-203,***,"LSIL lesion of the cervix uteri, vagina or vulva",Genitourinary
M13_MCTD,5075,0.068 [0.067-0.07],1.000e-315,***,Mixed connective tissue disease,Musculoskeletal
H7_CONJUNCTIVITISACUNONATOPIC,214,0.068 [0.055-0.08],5.285e-21,***,"Conjunctivitis (acute, non atopic)",Eye and adnexa
RESP_ILL_DIS_CLASS_ELSEWHERE,55,0.068 [0.065-0.07],1.000e-315,***,Respiratory disorders in diseases classified elsewhere,Respiratory
N14_NEPHROTICSYND,824,0.067 [0.063-0.07],1.383e-251,***,Nephrotic syndrome,Genitourinary
M13_MYOSITIS,988,0.066 [0.064-0.07],1.000e-315,***,Myositis,Musculoskeletal
M13_CONNECTNAS,4565,0.063 [0.062-0.07],1.000e-315,***,Other specified/unspecified systemic involvement of connective tissue,Musculoskeletal
H7_OCUPAIN,174,0.061 [0.055-0.07],2.337e-99,***,Ocular pain,Eye and adnexa
H7_ORBIT,4635,0.061 [0.060-0.06],1.000e-315,***,Disorders of orbit,Eye and adnexa
D3_ITP,120,0.059 [0.048-0.07],1.356e-21,***,Idiopathic thrombocytopenic purpura,Blood and immune
E4_THYROIDITAUTOIM,932,0.057 [0.054-0.06],1.000e-315,***,Autoimmune thyroiditis,Endocrine and metabolic
G6_CARPTU,3265,0.056 [0.050-0.06],5.046e-65,***,Carpal tunnel syndrome,Nervous
E4_LIPOPROT,7076,0.055 [0.040-0.07],8.639e-07,***,Disorders of lipoprotein metabolism and other lipidaemias,Endocrine and metabolic
CD2_NONFOLLICULAR_LYMPHOMA,1093,0.054 [0.048-0.06],2.329e-58,***,Non-follicular lymphoma,Neoplasms
KRA_PSY_SUBSTANCE,742,0.054 [0.044-0.06],2.115e-19,***,Substance abuse,Mental and behavioural
O15_HAEMORRH_EARLY_PREG,148,0.053 [0.041-0.07],4.628e-12,***,Haemorrhage in early pregnancy,Pregnancy
M13_CERVICALGIA,179,0.053 [0.043-0.06],3.303e-22,***,Cervicalgia,Musculoskeletal
E4_ENDOGLAND,62,0.050 [0.031-0.07],0.049,*,Disorders of other endocrine glands,Endocrine and metabolic
E4_OBESITYXTRMALV,103,0.048 [0.043-0.05],2.657e-62,***,Extreme obesity with alveolar hypoventilation,Endocrine and metabolic
N14_FEMALE_GENITAL_DYSPLASIA_ALL,7063,0.048 [0.045-0.05],2.151e-257,***,"All dysplastic lesions of the cervix uteri, vagina or vulva",Genitourinary
H8_MIDDLEMASTOID,2761,0.048 [0.038-0.06],2.677e-16,***,Diseases of middle ear and mastoid,Ear and mastoid
K11_OTHDIG,23141,0.047 [0.046-0.05],1.000e-315,***,Diseases of the digestive system,Digestive
H7_KERATITISOTH,43,0.047 [0.036-0.06],3.365e-10,***,Other keratitis,Eye and adnexa
K11_HAEMORR,329,0.047 [0.032-0.06],3.606e-05,***,Haemorrhoids and perianal venous thrombosis,Digestive
M13_SJOGREN,13564,0.045 [0.044-0.05],1.000e-315,***,Sicca syndrome [Sjögren],Musculoskeletal
D3_ANAEMIA_B12_DEF,5007,0.045 [0.043-0.05],1.000e-315,***,Vitamin B12 deficiency anaemia,Blood and immune
CD2_BENIGN_COLORECANI,1443,0.044 [0.030-0.06],3.024e-05,***,"Benign neoplasm of colon, rectum, anus and anal canal",Neoplasms
K11_CHRONPANC,105,0.042 [0.036-0.05],1.065e-35,***,Chronic pancreatitis,Digestive
K11_MALABSORB,6958,0.042 [0.041-0.04],1.000e-315,***,Intestinal malabsorption,Digestive
H8_HL_MIX_NAS,509,0.042 [0.031-0.05],3.595e-09,***,Mixed conductive and sensorineural hearing loss,Ear and mastoid
ASTHMA_NAS,3913,0.042 [0.036-0.05],5.401e-41,***,"Asthma, unspecified (mode)",Respiratory
E4_GOITRENOD,331,0.042 [0.036-0.05],1.257e-40,***,Nontoxic single thyroid nodule,Endocrine and metabolic
D3_SARCOIDOSIS,15089,0.041 [0.041-0.04],1.000e-315,***,Sarcoidosis,Blood and immune
L12_LUPUS,5381,0.041 [0.040-0.04],1.000e-315,***,Cutaneous lupus erythematosus,Skin
E4_THYTOXGOITDIF,19055,0.041 [0.040-0.04],1.000e-315,***,Thyrotoxicosis with diffuse goitre,Endocrine and metabolic
M13_SPONDYLOPATHY,12014,0.041 [0.038-0.04],2.330e-160,***,Spondylopathies,Musculoskeletal
CD2_BENIGN_PITUITARY_CRANIPHAR,90,0.040 [0.035-0.05],9.136e-45,***,"Benign neoplasm: Pituitary gland, craniopharyngeal duct",Neoplasms
L12_BULLOUS,10568,0.040 [0.039-0.04],1.000e-315,***,Bullous disorders,Skin
M13_ARTHROSIS,4684,0.040 [0.032-0.05],3.742e-19,***,Arthrosis,Musculoskeletal
I9_AVBLOCK,403,0.039 [0.033-0.04],4.568e-34,***,AV-block,Circulatory
M13_ARTHROSIS_POLY,390,0.039 [0.031-0.05],4.059e-16,***,Polyarthrosis,Musculoskeletal
M13_PYOGARTH,525,0.038 [0.035-0.04],6.790e-135,***,Pyogenic arthritis,Musculoskeletal
K11_FEMHER,59,0.038 [0.026-0.05],1.537e-05,***,Femoral hernia,Digestive
L12_LICHENSIMPLEX,206,0.037 [0.034-0.04],1.050e-118,***,Lichen simplex chronicus,Skin
M13_MENISCUSDERANGEMENTS,937,0.037 [0.031-0.04],3.898e-33,***,Meniscus derangement,Musculoskeletal
POLLENALLERG,487,0.036 [0.025-0.05],6.422e-06,***,Pollen allergy,Respiratory
CD2_HODGKIN_LYMPHOMA,268,0.035 [0.032-0.04],3.659e-103,***,"Hodgkin lymphoma, hilmo",Neoplasms
K11_PANCOTH,29,0.034 [0.022-0.05],0.011,*,Other diseases of pancreas,Digestive
N14_CERVICAL_DYSPLASIA_ALL,5631,0.034 [0.031-0.04],4.870e-108,***,All dysplastic lesions of the cervix uteri,Genitourinary
F5_DEMENTIA,3309,0.033 [0.025-0.04],1.875e-09,***,Dementia,Mental and behavioural
F5_PANIC,375,0.032 [0.022-0.04],5.916e-04,***,Panic disorder,Mental and behavioural
C3_CERVIX_UTERI,81,0.032 [0.028-0.04],4.688e-49,***,Malignant neoplasm of cervix uteri,Neoplasms
AUTOHEP,2902,0.032 [0.031-0.03],1.000e-315,***,Autoimmune hepatitis,Digestive
C3_CANCER_WIDE,3272,0.031 [0.024-0.04],5.827e-11,***,"Malignant neoplasm, wide definition for exclusion",Neoplasms
E4_OVARDYS,221,0.030 [0.025-0.03],1.260e-33,***,Ovarian dysfunction,Endocrine and metabolic
INFLUENZA,139,0.030 [0.022-0.04],2.951e-08,***,All influenza (not pneumonia),Respiratory
D3_THROMBOCYTOPENIANAS,73,0.028 [0.019-0.04],0.004,**,"Thrombocytopenia, unspecified",Blood and immune
I9_CHD,6392,0.028 [0.019-0.04],7.425e-04,***,Major coronary heart disease event,Circulatory
KRA_PSY_DEMENTIA,2863,0.028 [0.019-0.04],1.542e-04,***,Any dementia,Mental and behavioural
K11_DISLIVOTH,287,0.028 [0.017-0.04],0.044,*,Other diseases of liver,Digestive
K11_APPENDACUT,1379,0.028 [0.022-0.03],7.797e-15,***,Acute appendicitis,Digestive
N14_FEMALE_GENITAL_HSIL,6550,0.027 [0.025-0.03],9.999e-129,***,"HSIL lesion of the cervix uteri, vagina or vulva",Genitourinary
G6_ALZHEIMER,2982,0.027 [0.019-0.03],6.792e-08,***,Alzheimer disease,Nervous
M13_TRIGGERFINGER,2255,0.026 [0.022-0.03],2.034e-25,***,Trigger finger,Musculoskeletal
N14_CERVICAL_HSIL,5964,0.026 [0.023-0.03],1.503e-99,***,HSIL lesion of the cervix uteri,Genitourinary
G6_NEURODEGENERATIVE,4070,0.026 [0.019-0.03],4.823e-09,***,Unspecific neurodegenerative disorder,Nervous
M13_CRYSTALARTH,168,0.025 [0.022-0.03],2.709e-71,***,Other crystal arthropathies,Musculoskeletal
I9_ANGINA,5810,0.025 [0.016-0.03],0.005,**,Angina pectoris,Circulatory
APPENDACUT_COMPLIC,251,0.024 [0.017-0.03],1.401e-04,***,"Acute appendicitis, with complications",Digestive
G6_HYDROCEPH,204,0.024 [0.020-0.03],3.001e-24,***,Hydrocephalus,Nervous
C3_BILIARY_GALLBLADDER,192,0.024 [0.016-0.03],9.513e-05,***,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder",Neoplasms
H7_CHOROIDRETINA,12847,0.024 [0.021-0.03],3.031e-61,***,Disorders of choroid and retina,Eye and adnexa
ULCEROTH,633,0.023 [0.019-0.03],7.935e-25,***,Other ulcerative colitis,Digestive
I9_VTE,4388,0.022 [0.017-0.03],4.183e-15,***,Venous thromboembolism,Circulatory
I9_CONDUCTIO,268,0.021 [0.014-0.03],2.705e-04,***,Conduction disorders,Circulatory
H8_PERFORATION,143,0.021 [0.015-0.03],2.656e-08,***,Perforation of tympanic membrane,Ear and mastoid
DM_NEPHROPATHY,7402,0.020 [0.019-0.02],2.250e-123,***,Diabetic nephropathy,Genitourinary
PRIM_KNEEARTHROSIS,1523,0.020 [0.014-0.03],2.561e-06,***,"Primary gonarthrosis, bilateral",Musculoskeletal
M13_ARTHROSIS_KNEE,5080,0.020 [0.015-0.02],1.465e-10,***,Gonarthrosis,Musculoskeletal
NEURODEGOTH,4178,0.019 [0.013-0.03],9.955e-05,***,Other degenerative diseases of the nervous system,Nervous
G6_TRINEU,93,0.019 [0.013-0.03],4.328e-05,***,Trigeminal neuralgia,Nervous
M13_ADHCAPSULITIS,1742,0.019 [0.013-0.02],5.051e-06,***,Adhesive capsulitis of shoulder,Musculoskeletal
E4_PCOS,353,0.019 [0.016-0.02],9.835e-34,***,Polycystic ovarian syndrome,Endocrine and metabolic
I9_PHLETHROMBDVTLOW,3263,0.018 [0.015-0.02],2.883e-31,***,DVT of lower extremities,Circulatory
H7_CATARACTOTHER,4338,0.018 [0.013-0.02],2.354e-06,***,Other cataract,Eye and adnexa
N14_ENDOMETRIOSIS_NOS,246,0.018 [0.013-0.02],8.371e-07,***,Unspecified/other endometriosis,Genitourinary
L12_SEBORRKERAT,374,0.018 [0.013-0.02],1.592e-09,***,Seborrhoeic keratosis,Skin
L12_ULCERLOWLIMB,2421,0.016 [0.012-0.02],3.022e-09,***,"Ulcer of lower limb, not elsewhere classified",Skin
N14_CERVICAL_LSIL,1187,0.016 [0.011-0.02],1.448e-04,***,LSIL lesion of the cervix uteri,Genitourinary
E4_GOITREMULTINOD,6287,0.015 [0.013-0.02],8.540e-26,***,Nontoxic multinodular goitre,Endocrine and metabolic
E4_GLUCOPANCREAS,8980,0.015 [0.014-0.02],1.038e-128,***,Other disorders of glucose regulation and pancreatic internal secretion,Endocrine and metabolic
CD2_INSITU_CERVIX_UTERI,1636,0.015 [0.012-0.02],3.337e-13,***,Carcinoma in situ of cervix uteri,Neoplasms
K11_DIAHER,628,0.015 [0.010-0.02],8.387e-04,***,Diaphragmatic hernia,Digestive
D3_BLOODNAS,64,0.015 [0.010-0.02],6.883e-05,***,Other and unspecified diseases of blood and blood-forming organs,Blood and immune
D3_OTHERBLOOD,428,0.014 [0.012-0.02],7.261e-31,***,Other diseases of blood and blood-forming organs,Blood and immune
G6_MS,12132,0.014 [0.013-0.01],1.000e-315,***,MS-disease / Multiple Sclerosis,Nervous
M13_OLECRANONBURSITIS,147,0.013 [0.009-0.02],0.010,**,Olecranon bursitis,Musculoskeletal
E4_OBESITYNAS,1620,0.013 [0.009-0.02],5.124e-06,***,"Obesity, other/unspecified",Endocrine and metabolic
M13_ARTHTROSIS_COX,3783,0.013 [0.009-0.02],7.398e-08,***,Coxarthrosis,Musculoskeletal
E4_GOITRENAS,1714,0.013 [0.011-0.01],2.466e-48,***,Other and/or unspecified nontoxic goitre,Endocrine and metabolic
L12_LICHSIMPANDPRURIGO,167,0.013 [0.009-0.02],7.559e-06,***,Lichen simplex chronicus and prurigo,Skin
CD2_INSITU_SKIN,102,0.013 [0.008-0.02],0.026,*,Carcinoma in situ of skin,Neoplasms
K11_COELIAC,42111,0.013 [0.012-0.01],1.000e-315,***,Coeliac disease,Digestive
H7_EYELIDFUNC,23,0.012 [0.009-0.02],3.856e-05,***,Other disorders affecting eyelid function,Eye and adnexa
CHRONSMALL,2604,0.012 [0.010-0.01],1.510e-25,***,Crohn's disease of small intestine,Digestive
ULCERPROCT,1091,0.012 [0.009-0.02],4.500e-10,***,Ulcerative proctitis,Digestive
O15_LABOUR_UMBILICAL,119,0.012 [0.009-0.02],2.723e-06,***,Labour and delivery complicated by umbilical cord complications,Pregnancy
H7_OPTNERVE,2671,0.012 [0.009-0.01],4.638e-12,***,Disorders of optic nerve and visual pathways,Eye and adnexa
DM_NEUROPATHY,5299,0.011 [0.009-0.01],2.748e-25,***,Diabetic neuropathy,Endocrine and metabolic
H7_PARASTRA6,76,0.011 [0.007-0.01],5.819e-04,***,Sixth [abducent] nerve palsy,Eye and adnexa
H7_DIVERGSTRAB,291,0.010 [0.007-0.01],3.381e-07,***,Divergent concomitant strabismus,Eye and adnexa
AB1_VIRAL_WARTS,3425,0.010 [0.008-0.01],1.352e-15,***,Viral warts,Infectious and parasitic
I9_SAH,322,0.010 [0.006-0.01],4.569e-04,***,Subarachnoid haemorrhage,Circulatory
CHRONOTH,1965,0.009 [0.007-0.01],2.105e-07,***,Other Crohn's disease,Digestive
DRY_AMD,4885,0.006 [0.005-0.01],1.981e-08,***,Dry age-related macular degeneration (includes geographic atrophy),Eye and adnexa
MUCOPROCT,4157,0.006 [0.004-0.01],0.015,*,Mucosal proctocolitis,Digestive
I9_AF,9821,0.005 [0.003-0.01],0.001,**,Atrial fibrillation and flutter,Circulatory
CHRONMYELOPRO,471,0.005 [0.004-0.01],8.151e-28,***,Chronic myeloproliferative disease,Neoplasms
THROMBOCYTAEMIA,728,0.004 [0.003-0.00],3.317e-10,***,Essential (haemorrhagic) thrombocythaemia,Neoplasms
H7_DISORDERLENSNAS,160,0.003 [0.002-0.00],0.002,**,Other specified and unspecified disorders of lens,Eye and adnexa
POLYCYTVERA,838,0.003 [0.003-0.00],2.332e-24,***,Polycythaemia vera,Neoplasms
E4_PORBILIR,370,0.002 [0.001-0.00],2.306e-04,***,Disorders of porphyrin and bilirubin metabolism,Endocrine and metabolic
E4_LACTONAS,2420,0.002 [0.001-0.00],3.051e-09,***,"Lactose intolerance, other/unspecified",Endocrine and metabolic
E4_GILBERT,452,0.001 [0.001-0.00],0.024,*,Gilbert syndrome,Endocrine and metabolic
D3_COAGDEFNAS,3630,-0.002 [-0.003--0.00],2.979e-08,***,Other and unspecified coagulation defects,Blood and immune
IPF,3405,-0.004 [-0.004--0.00],3.859e-27,***,Idiopathic pulmonary fibrosis,Respiratory
H8_OTOSCLE,2888,-0.004 [-0.005--0.00],0.020,*,Otosclerosis,Ear and mastoid
M13_PSORIARTH,11111,-0.004 [-0.005--0.00],3.701e-11,***,Psoriatic arthropathies,Musculoskeletal
H7_IRIDONAS,4666,-0.004 [-0.005--0.00],3.664e-07,***,Other and unspecified iridocyclitis,Eye and adnexa
SPONDYLOARTHRITIS,25038,-0.005 [-0.005--0.00],1.562e-46,***,Spondyloarthritis,Musculoskeletal
CHIRBIL_PRIM,2402,-0.005 [-0.006--0.00],2.828e-05,***,Primary biliary cholangitis (PBC),Digestive
M13_ANKYLOSPON,29005,-0.005 [-0.005--0.00],7.132e-139,***,Ankylosing spondylitis,Musculoskeletal
L12_LICHENSCLERATROPH,5062,-0.006 [-0.007--0.00],2.966e-08,***,Lichen sclerosus et atrophicus,Skin
G6_RLS,898,-0.006 [-0.008--0.00],0.012,*,Restless leg syndrome,Nervous
E4_IRON_MET,3833,-0.006 [-0.006--0.01],2.762e-114,***,Disorders of iron metabolism,Endocrine and metabolic
G6_PARKINSON,2693,-0.006 [-0.007--0.01],4.414e-42,***,Parkinson's disease,Nervous
E4_THYROIDNASOTH,177,-0.006 [-0.008--0.00],1.104e-04,***,"Disorder of thyroid, unspecified",Endocrine and metabolic
H7_SCLERACORNEA,15425,-0.007 [-0.009--0.01],4.585e-09,***,"Disorders of sclera, cornea, iris and ciliary body",Eye and adnexa
C3_THYROID_GLAND,1116,-0.008 [-0.010--0.01],4.610e-16,***,Malignant neoplasm of thyroid gland,Neoplasms
CD2_BENIGN_MENINGES,586,-0.008 [-0.011--0.01],0.001,**,Benign neoplasm of meninges,Neoplasms
H7_HEREDRETINADYST,308,-0.008 [-0.010--0.01],2.554e-14,***,Hereditary retinal dystrophy,Eye and adnexa
G6_ALS,180,-0.008 [-0.010--0.01],1.197e-11,***,Motor neuron disease,Nervous
N14_ENDOMETRIOSIS,3268,-0.009 [-0.011--0.01],1.736e-04,***,Endometriosis,Genitourinary
N14_HYPERTROPHYBREAST,1659,-0.009 [-0.012--0.01],0.002,**,Hypertrophy of breast,Genitourinary
H7_IRIDOCYCLITIS,22983,-0.009 [-0.010--0.01],1.363e-111,***,Iridocyclitis,Eye and adnexa
RHEUMA_SERONEG,8327,-0.010 [-0.011--0.01],4.003e-35,***,Seronegative rheumatoid arthritis,Musculoskeletal
K11_UMBHER,2034,-0.010 [-0.014--0.01],5.808e-04,***,Umbilical hernia,Digestive
L12_PAPULOSQUAMOUS,16405,-0.011 [-0.012--0.01],1.060e-52,***,Papulosquamous disorders,Skin
L12_ATROPHICSKIN,3167,-0.011 [-0.013--0.01],6.108e-19,***,Atrophic disorders of skin,Skin
M13_GIANTCELL,1909,-0.012 [-0.013--0.01],2.921e-38,***,Giant cell arteritis,Musculoskeletal
M13_POLYARTHRITIS,1672,-0.012 [-0.015--0.01],1.138e-20,***,"Polyarthritis, unspecified",Musculoskeletal
CD2_BENIGN_THYROID,151,-0.013 [-0.016--0.01],2.994e-14,***,Benign neoplasm of thyroid gland,Neoplasms
J10_PLEURPLAGUE,310,-0.013 [-0.016--0.01],1.237e-12,***,Pleural plaque,Respiratory
N14_PHIMOSIS,4306,-0.013 [-0.016--0.01],1.554e-25,***,"Redundant prepuce, phimosis and paraphimosis",Genitourinary
ULCERRECT,2148,-0.014 [-0.017--0.01],7.643e-13,***,Ulcerative rectosigmoiditis,Digestive
H7_BLINDMONOCULAR,75,-0.014 [-0.018--0.01],6.772e-07,***,"Blindness, monocular",Eye and adnexa
RHEUMA_OTHER_WIDE,12512,-0.014 [-0.015--0.01],6.946e-105,***,"Other (seronegative) rheumatoid arthritis, wide",Musculoskeletal
L12_PILONIDALCYST,217,-0.014 [-0.018--0.01],9.996e-07,***,Pilonidal cyst,Skin
H8_TINNITUS,193,-0.014 [-0.019--0.01],2.810e-04,***,Tinnitus,Ear and mastoid
RHEUMA_SEROPOS_WIDE,21443,-0.014 [-0.015--0.01],1.000e-315,***,"Seropositive rheumatoid arthritis, wide",Musculoskeletal
I9_THAORTANEUR,1182,-0.014 [-0.016--0.01],2.785e-38,***,Thoracic aortic aneurysm,Circulatory
J10_NASALPOLYP,7370,-0.014 [-0.016--0.01],5.540e-72,***,Nasal polyp,Respiratory
RHEUMA_NOS,13051,-0.014 [-0.015--0.01],1.620e-183,***,Other/unspecified rheumatoid arthritis,Musculoskeletal
M13_POLYARTHROPATHIES,18752,-0.015 [-0.017--0.01],2.468e-51,***,Polyarthropathies,Musculoskeletal
M13_RHEUMA,20944,-0.015 [-0.016--0.01],7.219e-238,***,Rheumatoid arthritis,Musculoskeletal
C3_LUNG_NONSMALL,527,-0.016 [-0.019--0.01],2.507e-28,***,Non-small cell lung cancer,Neoplasms
M13_SYSTSLCE,1075,-0.017 [-0.020--0.01],3.441e-42,***,Systemic sclerosis,Musculoskeletal
C3_KIDNEY_NOTRENALPELVIS,209,-0.017 [-0.022--0.01],5.845e-06,***,"Malignant neoplasm of kidney, except renal pelvis",Neoplasms
PHLEBI_THROMBOP_LOWER_EXTREMITI_UNSPE,25,-0.017 [-0.022--0.01],2.348e-10,***,"Phlebitis and thrombophlebitis of lower extremities, unspecified, drug-induced",Ear and mastoid
C3_BRONCHUS_LUNG,573,-0.018 [-0.021--0.01],2.392e-25,***,Malignant neoplasm of bronchus and lung,Neoplasms
CD2_BENIGN_MELANOCYTIC_SCALPNECK,136,-0.018 [-0.022--0.01],3.356e-10,***,Melanocytic naevi of scalp and neck,Neoplasms
CD2_FOLLICULAR_LYMPHOMA,5808,-0.018 [-0.019--0.02],5.012e-243,***,"Follicular lymphoma, hilmo",Neoplasms
K11_VENTHER,1063,-0.018 [-0.023--0.01],1.042e-06,***,Ventral hernia,Digestive
C3_ANUS_ANALCANAL,76,-0.018 [-0.021--0.01],5.390e-27,***,Malignant neoplasm of anus and anal canal,Neoplasms
M13_POLYMYALGIA,4532,-0.018 [-0.021--0.02],2.663e-51,***,Polymyalgia rheumatica,Musculoskeletal
