Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
LDL-C,0.54 [0.51-0.57],1.645e-105,***,LDL Cholesterol
XL-HDL-FC,0.54 [0.50-0.58],4.253e-55,***,Free Cholesterol in Very Large HDL
S-LDL-FC,0.54 [0.51-0.57],1.432e-88,***,Free Cholesterol in Small LDL
S-VLDL-FC%,0.54 [0.51-0.56],9.778e-137,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
ApoB,0.54 [0.51-0.57],1.278e-92,***,Apolipoprotein B
XL-VLDL-C%,0.54 [0.50-0.57],4.814e-71,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
HDL-FC,0.54 [0.50-0.58],1.184e-53,***,Free Cholesterol in HDL
XS-VLDL-C%,0.54 [0.51-0.56],6.619e-161,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.53 [0.51-0.56],7.041e-173,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Non-HDL-C,0.53 [0.51-0.56],1.434e-117,***,Total-Cholesterol Minus HDL-C
LDL-PL,0.53 [0.50-0.56],4.052e-99,***,Phospholipids in LDL
LDL-P,0.53 [0.50-0.56],3.387e-81,***,Concentration of LDL Particles
L-LDL-L,0.53 [0.50-0.56],1.005e-110,***,Total-Lipids in Large LDL
Clinical LDL-C,0.53 [0.50-0.55],1.331e-126,***,Clinical LDL Cholesterol
L-LDL-CE,0.53 [0.50-0.56],2.833e-104,***,Cholesteryl Esters in Large LDL
M-LDL-FC,0.52 [0.49-0.55],2.478e-94,***,Free Cholesterol in Medium LDL
L-LDL-P,0.52 [0.48-0.55],1.547e-84,***,Concentration of Large LDL Particles
Remnant-C,0.52 [0.49-0.55],2.083e-117,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
L-LDL-C,0.52 [0.49-0.54],3.739e-115,***,Cholesterol in Large LDL
L-HDL-CE,0.51 [0.47-0.56],6.616e-45,***,Cholesteryl Esters in Large HDL
S-VLDL-PL%,0.51 [0.49-0.54],5.674e-130,***,Phospholipids to Total-Lipids in Small VLDL percentage
SM,0.51 [0.48-0.54],9.464e-101,***,Sphingomyelins
L-HDL-C,0.51 [0.47-0.56],7.297e-47,***,Cholesterol in Large HDL
Total-C,0.51 [0.48-0.53],4.691e-138,***,Total-Cholesterol
Total-CE,0.50 [0.48-0.53],2.183e-139,***,Total-Esterified Cholesterol
L-HDL-P,0.50 [0.46-0.55],1.917e-42,***,Concentration of Large HDL Particles
XL-HDL-L,0.50 [0.46-0.55],1.017e-51,***,Total-Lipids in Very Large HDL
Total-FC,0.50 [0.47-0.53],3.071e-125,***,Total-Free Cholesterol
L-HDL-FC,0.50 [0.45-0.54],1.469e-46,***,Free Cholesterol in Large HDL
L-LDL-PL,0.49 [0.46-0.52],2.258e-116,***,Phospholipids in Large LDL
LDL-FC,0.49 [0.46-0.52],3.014e-120,***,Free Cholesterol in LDL
M-VLDL-C,0.49 [0.46-0.52],2.500e-107,***,Cholesterol in Medium VLDL
XS-VLDL-C,0.48 [0.45-0.51],1.042e-108,***,Cholesterol in Very Small VLDL
IDL-L,0.47 [0.44-0.49],2.180e-148,***,Total-Lipids in IDL
L-LDL-FC,0.46 [0.44-0.49],3.928e-131,***,Free Cholesterol in Large LDL
