Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
N14_FIOTHNAS,100,0.068 [0.056-0.08],1.857e-22,***,"Female infertility, cervical, vaginal, other or unspecified origin",Genitourinary
K11_HAEMORR,329,0.066 [0.050-0.08],9.290e-12,***,Haemorrhoids and perianal venous thrombosis,Digestive
AB1_SEXUAL_TRANSMISSION,7171,0.065 [0.064-0.07],1.000e-315,***,Infections with a predominantly sexual mode of transmission,Infectious and parasitic
K11_OTHINFLIV,466,0.065 [0.063-0.07],1.000e-315,***,Other inflammatory liver diseases,Digestive
F5_ALCOHOL_DEPENDENCE,95,0.065 [0.054-0.08],4.232e-27,***,Alcohol dependence,Mental and behavioural
E4_METABOLIA,4834,0.064 [0.054-0.07],4.054e-28,***,Metabolic disorders,Endocrine and metabolic
CD2_BENIGN_EAR_RESP,224,0.064 [0.057-0.07],1.327e-64,***,Benign neoplasm of middle ear and respiratory system,Neoplasms
M13_DORSALGIANAS,1009,0.060 [0.054-0.07],5.950e-78,***,Other/unspecified dorsalgia,Musculoskeletal
I9_OTHPER,110,0.058 [0.048-0.07],1.522e-22,***,Other peripheral vascular diseases,Circulatory
CD2_NONFOLLICULAR_LYMPHOMA,1093,0.057 [0.054-0.06],1.000e-315,***,Non-follicular lymphoma,Neoplasms
E4_ENDOMETPOSTOP,4212,0.056 [0.055-0.06],1.000e-315,***,"Postprocedural endocrine and metabolic disorders, not elsewhere classified",Endocrine and metabolic
K11_CHOLANGI,1455,0.055 [0.053-0.06],1.000e-315,***,"Cholangitis (primary sclerosing, PSC)",Digestive
INFLUENZA,139,0.054 [0.044-0.06],5.738e-22,***,All influenza (not pneumonia),Respiratory
M13_INTERVERTEB,3685,0.054 [0.049-0.06],7.966e-95,***,Other intervertebral disc disorders,Musculoskeletal
H7_LACRIMALSYSTEM,110,0.052 [0.038-0.07],4.527e-07,***,Disorders of lacrimal system,Eye and adnexa
L12_OTHERSKINSUBCUTIS,3364,0.048 [0.043-0.05],4.511e-65,***,Other disorders of skin and subcutaneous tissue,Skin
K11_OTHANRECT,204,0.048 [0.038-0.06],9.577e-15,***,Other diseases of anus and rectum,Digestive
L12_URTICA_NAS,213,0.047 [0.035-0.06],2.750e-09,***,Other and unspecified urticaria,Skin
L12_GRANULOMATOUSSKIN,404,0.047 [0.045-0.05],1.000e-315,***,Granulomatous disorders of skin and subcutaneous tissue,Skin
D3_ITP,120,0.044 [0.037-0.05],1.845e-26,***,Idiopathic thrombocytopenic purpura,Blood and immune
I9_UAP,1483,0.043 [0.035-0.05],4.934e-22,***,Unstable angina pectoris,Circulatory
E4_ADDISON,668,0.043 [0.041-0.05],1.000e-315,***,Adrenocortical insufficiency,Endocrine and metabolic
NEURODEGOTH,4178,0.042 [0.038-0.05],2.577e-79,***,Other degenerative diseases of the nervous system,Nervous
O15_PRE_OR_ECLAMPSIA,259,0.042 [0.032-0.05],7.808e-12,***,Pre-eclampsia or eclampsia,Pregnancy
J10_PLEURPLAGUE,310,0.041 [0.038-0.04],3.842e-156,***,Pleural plaque,Respiratory
L12_ROSACEANAS,82,0.040 [0.034-0.05],2.529e-29,***,Other and unspecified rosacea,Skin
M13_MCTD,5075,0.040 [0.039-0.04],1.000e-315,***,Mixed connective tissue disease,Musculoskeletal
H7_CONJUNCTIVITISACUNONATOPIC,214,0.039 [0.029-0.05],4.765e-09,***,"Conjunctivitis (acute, non atopic)",Eye and adnexa
M13_LOWBACKPAIN,1988,0.039 [0.033-0.04],7.665e-39,***,Low back pain,Musculoskeletal
H8_HL_MIX_NAS,509,0.039 [0.029-0.05],1.620e-10,***,Mixed conductive and sensorineural hearing loss,Ear and mastoid
KRA_PSY_SUBSTANCE,742,0.037 [0.028-0.05],4.139e-10,***,Substance abuse,Mental and behavioural
M13_CONNECTNAS,4565,0.036 [0.035-0.04],1.000e-315,***,Other specified/unspecified systemic involvement of connective tissue,Musculoskeletal
M13_MYOSITIS,988,0.036 [0.035-0.04],1.000e-315,***,Myositis,Musculoskeletal
RESP_ILL_DIS_CLASS_ELSEWHERE,55,0.036 [0.031-0.04],1.638e-42,***,Respiratory disorders in diseases classified elsewhere,Respiratory
N14_NEPHROTICSYND,824,0.036 [0.034-0.04],1.000e-315,***,Nephrotic syndrome,Genitourinary
H7_ORBIT,4635,0.036 [0.035-0.04],1.000e-315,***,Disorders of orbit,Eye and adnexa
AB1_SEXUAL_TRANSMISSION_NOS,10411,0.035 [0.034-0.04],1.000e-315,***,"Other predominantly sexually transmitted diseases, not elsewhere classified",Infectious and parasitic
E4_THYROID,25555,0.034 [0.033-0.04],1.000e-315,***,Disorders of the thyroid gland,Endocrine and metabolic
M13_THORACISPINEPAIN,151,0.033 [0.025-0.04],7.884e-09,***,Pain in thoracic spine,Musculoskeletal
N14_CHRONKIDNEYDIS,1777,0.033 [0.028-0.04],7.566e-42,***,Chronic kidney disease,Genitourinary
L12_LICHENSIMPLEX,206,0.032 [0.028-0.04],6.414e-52,***,Lichen simplex chronicus,Skin
I9_CONDUCTIO,268,0.031 [0.024-0.04],9.260e-13,***,Conduction disorders,Circulatory
AD_AM,451,0.030 [0.019-0.04],0.003,**,Alzheimer disease (Atypical or mixed),Nervous
L12_DERMATITISNAS,2477,0.030 [0.024-0.03],1.175e-23,***,Dermatitis,Skin
N14_FEMALE_GENITAL_LSIL,2422,0.029 [0.027-0.03],6.026e-142,***,"LSIL lesion of the cervix uteri, vagina or vulva",Genitourinary
K11_GASTRODUOULC,227,0.028 [0.019-0.04],1.687e-04,***,Gastroduodenal ulcer,Digestive
APPENDACUT_COMPLIC,251,0.028 [0.022-0.03],2.110e-16,***,"Acute appendicitis, with complications",Digestive
M13_SPONDYLOSIS,854,0.028 [0.022-0.03],6.560e-13,***,Spondylosis,Musculoskeletal
M13_DORSOPATHYOTH,5393,0.027 [0.021-0.03],6.307e-15,***,"Other dorsopathies, not elsewhere classified",Musculoskeletal
K11_CHOLECYST,114,0.026 [0.017-0.04],0.039,*,Cholecystitis,Digestive
E4_THYROIDITAUTOIM,932,0.026 [0.025-0.03],9.217e-301,***,Autoimmune thyroiditis,Endocrine and metabolic
O15_GESTAT_HYPERT,476,0.025 [0.018-0.03],8.577e-06,***,Gestational [pregnancy-induced] hypertension,Pregnancy
L12_LUPUS,5381,0.025 [0.024-0.03],1.000e-315,***,Cutaneous lupus erythematosus,Skin
K11_MALABSORB,6958,0.025 [0.024-0.03],1.000e-315,***,Intestinal malabsorption,Digestive
F5_DEMENTIA,3309,0.024 [0.018-0.03],4.957e-11,***,Dementia,Mental and behavioural
J10_PNEUMOTHORAX,46,0.023 [0.015-0.03],0.003,**,Pneumothorax,Respiratory
N14_ENDOMETRIOSIS_UTERUS,193,0.023 [0.018-0.03],4.002e-12,***,Adenomyosis (Endometriosis of uterus),Genitourinary
G6_NEURODEGENERATIVE,4070,0.023 [0.018-0.03],8.369e-19,***,Unspecific neurodegenerative disorder,Nervous
K11_DULC,287,0.023 [0.015-0.03],0.001,**,Duodenal ulcer,Digestive
M13_SJOGREN,13564,0.023 [0.022-0.02],1.000e-315,***,Sicca syndrome [Sjögren],Musculoskeletal
O15_LABOUR_UMBILICAL,119,0.023 [0.019-0.03],1.178e-31,***,Labour and delivery complicated by umbilical cord complications,Pregnancy
I9_PAROXTAC,262,0.023 [0.016-0.03],9.891e-06,***,Paroxysmal tachycardia,Circulatory
K11_OTHDIG,23141,0.023 [0.022-0.02],1.000e-315,***,Diseases of the digestive system,Digestive
E4_OVARDYS,221,0.022 [0.018-0.03],8.146e-25,***,Ovarian dysfunction,Endocrine and metabolic
KRA_PSY_DEMENTIA,2863,0.022 [0.016-0.03],3.646e-07,***,Any dementia,Mental and behavioural
H7_OPTNERVE,2671,0.022 [0.020-0.02],1.775e-198,***,Disorders of optic nerve and visual pathways,Eye and adnexa
L12_BULLOUS,10568,0.020 [0.020-0.02],1.000e-315,***,Bullous disorders,Skin
M13_ARTHROSIS_POLY,390,0.020 [0.013-0.03],0.002,**,Polyarthrosis,Musculoskeletal
L12_NONIONRADISKINNAS,27,0.020 [0.016-0.02],4.643e-16,***,Other and unspecified skin changes due to chronic exposure to nonionizing radiation,Skin
G6_CARPTU,3265,0.020 [0.015-0.02],3.508e-13,***,Carpal tunnel syndrome,Nervous
AUTOHEP,2902,0.020 [0.019-0.02],1.000e-315,***,Autoimmune hepatitis,Digestive
ULCERENTER,63,0.019 [0.014-0.02],2.493e-08,***,Ulcerative enterocolitis,Digestive
G6_ALZHEIMER,2982,0.019 [0.015-0.02],9.469e-10,***,Alzheimer disease,Nervous
M13_OTHERJOINT,3314,0.019 [0.013-0.03],8.251e-05,***,Other joint disorders,Musculoskeletal
E4_THYTOXGOITDIF,19055,0.019 [0.019-0.02],1.000e-315,***,Thyrotoxicosis with diffuse goitre,Endocrine and metabolic
CD2_INSITU_SKIN,102,0.019 [0.014-0.02],2.766e-09,***,Carcinoma in situ of skin,Neoplasms
H7_BLINDANDVISIMPAIRMENT,214,0.019 [0.015-0.02],1.273e-23,***,Visual impairment including blindness (binocular or monocular),Eye and adnexa
M13_ARTHROSIS,4684,0.019 [0.014-0.02],1.691e-11,***,Arthrosis,Musculoskeletal
D3_SARCOIDOSIS,15089,0.019 [0.018-0.02],1.000e-315,***,Sarcoidosis,Blood and immune
N14_ENDOMETRIOSIS_NOS,246,0.018 [0.013-0.02],2.139e-06,***,Unspecified/other endometriosis,Genitourinary
H7_PARASTRA6,76,0.018 [0.014-0.02],7.805e-11,***,Sixth [abducent] nerve palsy,Eye and adnexa
M13_DORSOPATHY,8797,0.018 [0.013-0.02],1.338e-09,***,Dorsopathies,Musculoskeletal
G6_TRINEU,93,0.017 [0.011-0.02],0.002,**,Trigeminal neuralgia,Nervous
M13_OLECRANONBURSITIS,147,0.016 [0.012-0.02],5.895e-06,***,Olecranon bursitis,Musculoskeletal
N14_OTHPENIS,232,0.016 [0.011-0.02],2.498e-05,***,Other disorders of penis,Genitourinary
F5_ALZHDEMENT,2076,0.016 [0.011-0.02],0.001,**,Dementia in Alzheimer disease,Mental and behavioural
L12_DERMATITISECZEMA,8563,0.016 [0.013-0.02],9.130e-16,***,Dermatitis and eczema,Skin
H7_OCUPAIN,174,0.015 [0.010-0.02],0.007,**,Ocular pain,Eye and adnexa
J10_LOWCHRON,14991,0.015 [0.013-0.02],3.858e-26,***,Chronic lower respiratory diseases,Respiratory
E4_PCOS,353,0.015 [0.013-0.02],1.720e-28,***,Polycystic ovarian syndrome,Endocrine and metabolic
G6_BASDEGENOTH,96,0.015 [0.010-0.02],0.008,**,Other degenerative diseases of the basal ganglia,Nervous
I9_CARDMYOOTH,228,0.014 [0.011-0.02],5.412e-11,***,"Cardiomyopathy, other and unspecified",Circulatory
M13_SPONDYLOPATHY,12014,0.014 [0.012-0.02],2.274e-32,***,Spondylopathies,Musculoskeletal
I9_CHD,6392,0.014 [0.010-0.02],1.464e-04,***,Major coronary heart disease event,Circulatory
C3_CORPUS_UTERI,169,0.014 [0.009-0.02],0.002,**,Malignant neoplasm of corpus uteri,Neoplasms
H7_DIVERGSTRAB,291,0.013 [0.010-0.02],4.360e-14,***,Divergent concomitant strabismus,Eye and adnexa
ULCEROTH,633,0.013 [0.011-0.01],1.845e-44,***,Other ulcerative colitis,Digestive
K11_HERING,7337,0.013 [0.011-0.01],1.924e-34,***,Inguinal hernia,Digestive
D3_ANAEMIA_B12_DEF,5007,0.013 [0.012-0.01],1.120e-114,***,Vitamin B12 deficiency anaemia,Blood and immune
K11_APPENDACUT,1379,0.013 [0.008-0.02],0.002,**,Acute appendicitis,Digestive
L12_FOLLICULARCYST,349,0.012 [0.008-0.02],4.534e-04,***,Follicular cysts of skin and subcutaneous tissue,Skin
N14_ENDOMETRIOSIS_PELVICPERITONEUM,1404,0.012 [0.009-0.01],5.504e-15,***,Endometriosis of pelvic peritoneum,Genitourinary
ALLERG_ASTHMA,7322,0.011 [0.009-0.01],8.050e-25,***,Allergic asthma (mode),Respiratory
G6_OTHDEMYEL,3560,0.011 [0.010-0.01],2.441e-166,***,Other demyelinating diseases of the central nervous system,Nervous
M13_PYOGARTH,525,0.011 [0.009-0.01],1.572e-17,***,Pyogenic arthritis,Musculoskeletal
I9_CORATHER,8695,0.011 [0.007-0.01],0.004,**,Coronary atherosclerosis,Circulatory
N14_FEMALE_GENITAL_DYSPLASIA_ALL,7063,0.011 [0.009-0.01],1.844e-39,***,"All dysplastic lesions of the cervix uteri, vagina or vulva",Genitourinary
G6_MS,12132,0.010 [0.010-0.01],1.000e-315,***,MS-disease / Multiple Sclerosis,Nervous
CD2_HODGKIN_LYMPHOMA,268,0.010 [0.008-0.01],6.563e-23,***,"Hodgkin lymphoma, hilmo",Neoplasms
L12_ULCERLOWLIMB,2421,0.010 [0.007-0.01],1.393e-09,***,"Ulcer of lower limb, not elsewhere classified",Skin
C3_OTHER_SKIN,9911,0.009 [0.008-0.01],1.004e-45,***,Other malignant neoplasms of skin (=non-melanoma skin cancer),Neoplasms
M13_TRIGGERFINGER,2255,0.009 [0.007-0.01],4.511e-06,***,Trigger finger,Musculoskeletal
N14_PHIMOSIS,4306,0.009 [0.008-0.01],1.344e-26,***,"Redundant prepuce, phimosis and paraphimosis",Genitourinary
I9_CARDMYO,446,0.009 [0.006-0.01],6.308e-04,***,Cardiomyopathy,Circulatory
CD2_BENIGN_MENINGES,586,0.008 [0.005-0.01],0.005,**,Benign neoplasm of meninges,Neoplasms
N14_ENDOMETRIOSIS_DEEP,670,0.008 [0.005-0.01],1.371e-04,***,Deep endometriosis,Genitourinary
MUCOPROCT,4157,0.008 [0.006-0.01],1.223e-27,***,Mucosal proctocolitis,Digestive
N14_ENDOMETRIOSIS_OVARY,2678,0.007 [0.006-0.01],5.006e-19,***,Endometriosis of ovary,Genitourinary
C3_BASAL_CELL_CARCINOMA,10907,0.007 [0.006-0.01],5.487e-36,***,Basal cell carcinoma,Neoplasms
H7_CORNEALOTH,568,0.007 [0.005-0.01],1.588e-07,***,Other disorders of cornea,Eye and adnexa
M13_CRYSTALARTH,168,0.007 [0.004-0.01],0.031,*,Other crystal arthropathies,Musculoskeletal
CHRONSMALL,2604,0.005 [0.004-0.01],5.494e-07,***,Crohn's disease of small intestine,Digestive
K11_COELIAC,42111,0.005 [0.005-0.00],1.000e-315,***,Coeliac disease,Digestive
C3_MELANOMA_SKIN,2304,0.004 [0.003-0.00],5.853e-05,***,Malignant melanoma of skin,Neoplasms
DM_NEPHROPATHY,7402,0.003 [0.002-0.00],2.076e-05,***,Diabetic nephropathy,Genitourinary
E4_PORBILIR,370,0.003 [0.003-0.00],1.863e-13,***,Disorders of porphyrin and bilirubin metabolism,Endocrine and metabolic
E4_GLUCOPANCREAS,8980,0.003 [0.002-0.00],1.286e-09,***,Other disorders of glucose regulation and pancreatic internal secretion,Endocrine and metabolic
H7_KERATOCONUS,1133,0.003 [0.002-0.00],4.508e-07,***,Hereditary corneal dystrophies,Eye and adnexa
E4_PLASMAPROT,960,0.003 [0.002-0.00],3.553e-19,***,"Disorders of plasma-protein metabolism, not elsewhere classified",Endocrine and metabolic
E4_GILBERT,452,0.002 [0.002-0.00],2.839e-14,***,Gilbert syndrome,Endocrine and metabolic
L12_PSORI_VULG,15019,-0.002 [-0.003--0.00],1.127e-05,***,Psoriasis vulgaris,Skin
D3_HEREDOTHCLOFACTORS,1113,-0.003 [-0.004--0.00],1.246e-27,***,Hereditary deficiency of other clotting factors,Blood and immune
H8_OTOSCLE,2888,-0.003 [-0.004--0.00],0.004,**,Otosclerosis,Ear and mastoid
E4_IRON_MET,3833,-0.004 [-0.004--0.00],3.508e-33,***,Disorders of iron metabolism,Endocrine and metabolic
M13_POLYARTHRITIS,1672,-0.004 [-0.005--0.00],1.020e-09,***,"Polyarthritis, unspecified",Musculoskeletal
N14_GLOMEINOTH,5455,-0.004 [-0.005--0.00],7.624e-11,***,Glomerular disorders in diseases classified elsewhere,Genitourinary
E4_LACTONAS,2420,-0.004 [-0.005--0.00],6.375e-58,***,"Lactose intolerance, other/unspecified",Endocrine and metabolic
L12_LICHENSCLERATROPH,5062,-0.004 [-0.005--0.00],7.639e-16,***,Lichen sclerosus et atrophicus,Skin
D3_COAGOTHER,2573,-0.005 [-0.006--0.00],7.121e-32,***,Other coagulation defects,Blood and immune
M13_SPONDYLINFLAMNAS,14599,-0.005 [-0.005--0.00],1.148e-116,***,Other specified/unspecified inflammatory spondylopathies,Musculoskeletal
CHRONNAS,1420,-0.005 [-0.006--0.00],9.693e-06,***,Crohn's disease NAS,Digestive
L12_PSORIASIS,18203,-0.005 [-0.006--0.00],3.172e-43,***,Psoriasis,Skin
POLYCYTVERA,838,-0.006 [-0.006--0.00],7.994e-81,***,Polycythaemia vera,Neoplasms
M13_ANKYLOSPON,29005,-0.006 [-0.006--0.01],1.000e-315,***,Ankylosing spondylitis,Musculoskeletal
D3_COAGDEFNAS,3630,-0.007 [-0.007--0.01],8.364e-91,***,Other and unspecified coagulation defects,Blood and immune
M13_PSORIARTH,11111,-0.007 [-0.007--0.01],2.211e-87,***,Psoriatic arthropathies,Musculoskeletal
CHIRBIL_PRIM,2402,-0.007 [-0.008--0.01],1.088e-124,***,Primary biliary cholangitis (PBC),Digestive
I9_VTE,4388,-0.007 [-0.010--0.00],0.002,**,Venous thromboembolism,Circulatory
SPONDYLOARTHRITIS,25038,-0.007 [-0.008--0.01],5.026e-230,***,Spondyloarthritis,Musculoskeletal
CD2_BENIGN_LEIOMYOMA_UTERI,9079,-0.007 [-0.009--0.01],1.134e-15,***,Leiomyoma of uterus,Neoplasms
H7_GLAUCOMA_NTG,563,-0.008 [-0.010--0.01],9.983e-07,***,Normotensive glaucoma,Eye and adnexa
ULCERRECT,2148,-0.008 [-0.010--0.01],2.379e-21,***,Ulcerative rectosigmoiditis,Digestive
AB1_VIRAL_WARTS,3425,-0.009 [-0.010--0.01],8.800e-72,***,Viral warts,Infectious and parasitic
G6_ALS,180,-0.009 [-0.011--0.01],4.320e-07,***,Motor neuron disease,Nervous
CHRONMYELOPRO,471,-0.009 [-0.010--0.01],4.430e-112,***,Chronic myeloproliferative disease,Neoplasms
C3_CLL_WIDE,431,-0.009 [-0.011--0.01],9.200e-27,***,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, including Hilmo",Neoplasms
C_DIFFICILE_ENTEROCOLITIS,2693,-0.009 [-0.011--0.01],1.591e-38,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
D3_ANAEMIA_FOLATEDEF,76,-0.010 [-0.013--0.01],3.982e-05,***,Folate deficiency anaemia,Blood and immune
M13_CALCIFICTEND,177,-0.010 [-0.013--0.01],5.005e-04,***,Calcific tendinitis of shoulder,Musculoskeletal
L12_PAPULOSQUAMOUS,16405,-0.010 [-0.011--0.01],2.667e-102,***,Papulosquamous disorders,Skin
E4_OBESITY,3239,-0.010 [-0.012--0.01],2.805e-10,***,Obesity,Endocrine and metabolic
H7_IRIDOCYCLITIS,22983,-0.010 [-0.010--0.01],3.566e-262,***,Iridocyclitis,Eye and adnexa
RHEUMA_SEROPOS_WIDE,21443,-0.010 [-0.011--0.01],1.000e-315,***,"Seropositive rheumatoid arthritis, wide",Musculoskeletal
M13_GIANTCELL,1909,-0.011 [-0.011--0.01],1.685e-225,***,Giant cell arteritis,Musculoskeletal
M13_SYSTSLCE,1075,-0.011 [-0.012--0.01],8.773e-104,***,Systemic sclerosis,Musculoskeletal
H7_SCLERACORNEA,15425,-0.011 [-0.012--0.01],3.436e-55,***,"Disorders of sclera, cornea, iris and ciliary body",Eye and adnexa
E4_GOITRENOD,331,-0.011 [-0.014--0.01],2.879e-06,***,Nontoxic single thyroid nodule,Endocrine and metabolic
THROMBOCYTAEMIA,728,-0.011 [-0.012--0.01],1.892e-111,***,Essential (haemorrhagic) thrombocythaemia,Neoplasms
M13_POLYMYALGIA,4532,-0.011 [-0.012--0.01],1.698e-174,***,Polymyalgia rheumatica,Musculoskeletal
K11_CHOLELITH,10661,-0.012 [-0.014--0.01],3.576e-17,***,Cholelithiasis,Digestive
G6_HCOTHUNS,80,-0.012 [-0.016--0.01],1.579e-04,***,Other and unspecified hydrocephalus,Nervous
F5_PTSD,319,-0.012 [-0.016--0.01],1.520e-06,***,Post-traumatic stress disorder,Mental and behavioural
M13_HALLUXVALGUS,3980,-0.013 [-0.015--0.01],6.219e-23,***,Hallux valgus (acquired),Musculoskeletal
M13_RHEUMA,20944,-0.013 [-0.013--0.01],1.000e-315,***,Rheumatoid arthritis,Musculoskeletal
N14_HYPERTROPHYBREAST,1659,-0.013 [-0.015--0.01],4.817e-27,***,Hypertrophy of breast,Genitourinary
K11_DIVERTIC,4845,-0.013 [-0.016--0.01],1.439e-18,***,Diverticular disease of intestine,Digestive
RHEUMA_NOS,13051,-0.013 [-0.014--0.01],1.000e-315,***,Other/unspecified rheumatoid arthritis,Musculoskeletal
RHEUMA_SERONEG,8327,-0.015 [-0.015--0.01],6.459e-225,***,Seronegative rheumatoid arthritis,Musculoskeletal
H7_BLINDMONOCULAR,75,-0.015 [-0.018--0.01],3.406e-14,***,"Blindness, monocular",Eye and adnexa
N14_OVARYCYST,986,-0.015 [-0.020--0.01],4.080e-04,***,Ovarian cyst,Genitourinary
N14_DIALYSIS,1620,-0.016 [-0.017--0.01],3.978e-275,***,Dialysis,Genitourinary
RHEUMA_OTHER_WIDE,12512,-0.016 [-0.017--0.02],1.000e-315,***,"Other (seronegative) rheumatoid arthritis, wide",Musculoskeletal
E4_OBESITYXTRMALV,103,-0.016 [-0.019--0.01],3.600e-17,***,Extreme obesity with alveolar hypoventilation,Endocrine and metabolic
J10_NASALPOLYP,7370,-0.017 [-0.018--0.02],9.295e-266,***,Nasal polyp,Respiratory
N14_CALCUKIDUR,1321,-0.017 [-0.020--0.01],6.091e-24,***,Calculus of kidney and ureter,Genitourinary
N14_BREAST,659,-0.018 [-0.025--0.01],0.024,*,Disorders of breast,Genitourinary
G6_SLEEPAPNO,1870,-0.018 [-0.025--0.01],0.033,*,Sleep apnoea,Nervous
M13_POLYARTHROPATHIES,18752,-0.019 [-0.021--0.02],6.685e-247,***,Polyarthropathies,Musculoskeletal
M13_HAMMERTOE,331,-0.020 [-0.027--0.01],0.005,**,Other hammer toe(s) (acquired),Musculoskeletal
C3_HEPATOCELLU_CARC,441,-0.021 [-0.022--0.02],7.722e-177,***,Hepatocellular carcinoma,Neoplasms
D3_WHITEBLOODCELLNAS,70,-0.021 [-0.027--0.02],2.780e-08,***,Other and unspecified disorders of white blood cells,Blood and immune
I9_THAORTANEUR,1182,-0.021 [-0.023--0.02],5.861e-75,***,Thoracic aortic aneurysm,Circulatory
J10_PERITONSABSC,1910,-0.021 [-0.023--0.02],3.853e-66,***,Peritonsillar abscess,Respiratory
H8_EXT_NAS,170,-0.021 [-0.027--0.02],2.204e-07,***,"Otitis externa, unspecified",Ear and mastoid
J10_CHRONTONSADEN,5827,-0.023 [-0.026--0.02],2.385e-37,***,Chronic diseases of tonsils and adenoids,Respiratory
N14_URINOTH,1485,-0.023 [-0.031--0.01],0.037,*,Other diseases of urinary system,Genitourinary
F5_MENTALUNSPE,114,-0.023 [-0.030--0.02],2.846e-06,***,"Mental disorders, not otherwise specified",Mental and behavioural
KRA_PSY_SPEELING,150,-0.023 [-0.029--0.02],4.302e-10,***,Speech and linguistic disorders,Mental and behavioural
I9_AORTANEUR,1277,-0.023 [-0.026--0.02],1.563e-44,***,Aortic aneurysm,Circulatory
N14_MESNRUIRREG,1548,-0.023 [-0.031--0.02],5.422e-04,***,"Excessive, frequent and irregular menstruation",Genitourinary
H8_HL_SEN_NAS,5357,-0.024 [-0.027--0.02],3.021e-58,***,Sensorineural hearing loss,Ear and mastoid
AB1_VIRAL_HEPATITIS,81,-0.024 [-0.033--0.02],6.285e-04,***,Viral hepatitis,Infectious and parasitic
D3_OTHERBLOOD,428,-0.025 [-0.028--0.02],2.555e-107,***,Other diseases of blood and blood-forming organs,Blood and immune
N14_ORHCEPINDIDYMITIS,99,-0.026 [-0.035--0.02],0.035,*,Orchitis and epididymitis,Genitourinary
H8_EXTOTITIS,1164,-0.026 [-0.028--0.02],4.998e-80,***,Otitis externa,Ear and mastoid
H7_PTOSIS,64,-0.026 [-0.034--0.02],7.990e-04,***,Ptosis of eyelid,Eye and adnexa
CD2_BENIGN_COLORECANI,1443,-0.028 [-0.034--0.02],2.667e-15,***,"Benign neoplasm of colon, rectum, anus and anal canal",Neoplasms
E4_HYPERLIPMIX,365,-0.028 [-0.037--0.02],5.801e-06,***,Mixed hyperlipidaemia,Endocrine and metabolic
CHIRHEP_NAS,355,-0.029 [-0.031--0.03],2.777e-180,***,"Cirrhosis of liver, NAS",Digestive
H8_OTHEREAR,3939,-0.029 [-0.033--0.02],1.353e-35,***,Other disorders of ear,Ear and mastoid
I9_VARICVEOES,203,-0.029 [-0.031--0.03],4.064e-189,***,Oesophageal varices,Circulatory
L12_CORNSANDCALLOS,491,-0.029 [-0.031--0.03],3.662e-141,***,Corns and callosities,Skin
M13_OSTEOMYELITIS,308,-0.029 [-0.032--0.03],1.791e-76,***,Osteomyelitis,Musculoskeletal
