Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
VLDL-L,623,0.814 [0.764-0.867],4.505e-05,***,Total-Lipids in VLDL
XL-VLDL-FC,610,0.813 [0.761-0.869],1.849e-04,***,Free Cholesterol in Very Large VLDL
S-VLDL-TG,687,0.809 [0.763-0.857],1.424e-07,***,Triglycerides in Small VLDL
L-VLDL-FC,648,0.808 [0.757-0.862],2.548e-05,***,Free Cholesterol in Large VLDL
L-VLDL-P,622,0.807 [0.757-0.861],2.279e-05,***,Concentration of Large VLDL Particles
L-VLDL-PL,637,0.807 [0.757-0.860],1.043e-05,***,Phospholipids in Large VLDL
XXL-VLDL-CE,621,0.807 [0.758-0.859],5.082e-06,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
L-VLDL-L,609,0.803 [0.751-0.858],1.805e-05,***,Total-Lipids in Large VLDL
M-VLDL-TG,613,0.802 [0.752-0.854],2.238e-06,***,Triglycerides in Medium VLDL
TG/PG,632,0.801 [0.751-0.855],4.853e-06,***,Triglycerides to Phosphoglycerides ratio
XL-VLDL-PL,607,0.799 [0.747-0.853],7.674e-06,***,Phospholipids in Very Large VLDL
XXL-VLDL-PL,556,0.798 [0.747-0.853],7.987e-06,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-P,599,0.798 [0.747-0.853],6.116e-06,***,Concentration of Very Large VLDL Particles
XXL-VLDL-C,589,0.797 [0.749-0.849],5.351e-07,***,Cholesterol in Chylomicrons and Extremely Large VLDL
Total-TG,641,0.797 [0.749-0.849],3.136e-07,***,Total-Triglycerides
XXL-VLDL-FC,557,0.796 [0.745-0.850],1.835e-06,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-L,578,0.785 [0.734-0.840],3.853e-07,***,Total-Lipids in Very Large VLDL
XXL-VLDL-P,529,0.784 [0.733-0.840],8.468e-07,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XL-VLDL-TG,570,0.777 [0.726-0.832],1.029e-07,***,Triglycerides in Very Large VLDL
VLDL-TG,582,0.777 [0.728-0.828],3.968e-09,***,Triglycerides in VLDL
XXL-VLDL-L,514,0.776 [0.724-0.832],2.274e-07,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
L-VLDL-TG,567,0.768 [0.717-0.821],4.196e-09,***,Triglycerides in Large VLDL
XXL-VLDL-TG,472,0.759 [0.705-0.817],4.898e-08,***,Triglycerides in Chylomicrons and Extremely Large VLDL
GlycA,385,0.725 [0.662-0.795],1.297e-06,***,Glycoprotein Acetyls
