Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LDL-PL,473,0.919 [0.892-0.946],0.004,**,Phospholipids in LDL
XL-VLDL-PL%,398,0.919 [0.892-0.946],0.004,**,Phospholipids to Total-Lipids in Very Large VLDL percentage
M-VLDL-C,535,0.918 [0.893-0.944],6.611e-04,***,Cholesterol in Medium VLDL
L-VLDL-CE,614,0.918 [0.891-0.946],0.007,**,Cholesteryl Esters in Large VLDL
M-LDL-TG,658,0.918 [0.890-0.947],0.016,*,Triglycerides in Medium LDL
S-LDL-P,566,0.918 [0.892-0.944],9.288e-04,***,Concentration of Small LDL Particles
S-VLDL-TG,687,0.918 [0.890-0.946],0.006,**,Triglycerides in Small VLDL
VLDL-P,640,0.917 [0.890-0.944],0.002,**,Concentration of VLDL Particles
S-VLDL-CE,626,0.917 [0.892-0.943],1.880e-04,***,Cholesteryl Esters in Small VLDL
S-LDL-L,511,0.916 [0.891-0.943],6.137e-04,***,Total-Lipids in Small LDL
VLDL-PL,674,0.915 [0.888-0.944],0.003,**,Phospholipids in VLDL
S-LDL-C,489,0.915 [0.888-0.943],0.001,**,Cholesterol in Small LDL
VLDL-CE,621,0.914 [0.888-0.941],4.245e-04,***,Cholesteryl Esters in VLDL
VLDL-L,623,0.914 [0.886-0.943],0.006,**,Total-Lipids in VLDL
M-VLDL-TG,613,0.913 [0.884-0.943],0.007,**,Triglycerides in Medium VLDL
S-LDL-TG,690,0.913 [0.885-0.942],0.002,**,Triglycerides in Small LDL
S-VLDL-C,618,0.912 [0.887-0.938],4.221e-05,***,Cholesterol in Small VLDL
S-VLDL-L,665,0.912 [0.884-0.940],5.401e-04,***,Total-Lipids in Small VLDL
M-LDL-PL,492,0.910 [0.884-0.937],2.936e-05,***,Phospholipids in Medium LDL
M-LDL-L,531,0.910 [0.884-0.937],5.382e-05,***,Total-Lipids in Medium LDL
VLDL-FC,630,0.910 [0.882-0.938],5.055e-04,***,Free Cholesterol in VLDL
VLDL-C,644,0.909 [0.882-0.938],2.625e-04,***,VLDL Cholesterol
S-VLDL-FC,593,0.909 [0.883-0.936],6.859e-05,***,Free Cholesterol in Small VLDL
M-LDL-P,508,0.908 [0.881-0.936],8.406e-05,***,Concentration of Medium LDL Particles
M-LDL-C,525,0.907 [0.881-0.935],4.165e-05,***,Cholesterol in Medium LDL
S-LDL-CE,543,0.906 [0.879-0.933],2.984e-05,***,Cholesteryl Esters in Small LDL
M-LDL-CE,550,0.905 [0.879-0.932],6.063e-06,***,Cholesteryl Esters in Medium LDL
M-VLDL-P,612,0.903 [0.876-0.932],2.783e-05,***,Concentration of Medium VLDL Particles
M-VLDL-L,589,0.903 [0.874-0.934],4.621e-04,***,Total-Lipids in Medium VLDL
M-VLDL-FC,594,0.902 [0.874-0.930],1.612e-05,***,Free Cholesterol in Medium VLDL
S-VLDL-PL,664,0.902 [0.875-0.929],2.456e-06,***,Phospholipids in Small VLDL
M-VLDL-PL,632,0.901 [0.874-0.929],5.590e-06,***,Phospholipids in Medium VLDL
Total-L,626,0.899 [0.867-0.932],0.003,**,Total-Lipids in Lipoprotein Particles
PUFA,699,0.887 [0.858-0.917],6.908e-07,***,Polyunsaturated Fatty Acids
S-LDL-CE%,545,0.885 [0.851-0.920],1.917e-04,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Total-FA,654,0.883 [0.850-0.916],2.049e-05,***,Total-Fatty Acids
Omega-6,651,0.871 [0.839-0.905],3.654e-07,***,Omega-6 Fatty Acids
LA,635,0.869 [0.836-0.903],2.532e-07,***,Linoleic Acid
S-HDL-FC,483,0.866 [0.825-0.909],0.002,**,Free Cholesterol in Small HDL
MUFA,654,0.866 [0.833-0.899],2.951e-08,***,Monounsaturated Fatty Acids
S-HDL-L,442,0.862 [0.818-0.908],0.006,**,Total-Lipids in Small HDL
GlycA,385,0.805 [0.752-0.861],7.902e-05,***,Glycoprotein Acetyls
