Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
HDL-L,0.63 [0.61-0.66],2.045e-88,***,Total-Lipids in HDL
L-HDL-L,0.63 [0.60-0.67],1.859e-58,***,Total-Lipids in Large HDL
HDL-CE,0.63 [0.60-0.66],4.508e-79,***,Cholesteryl Esters in HDL
XL-VLDL-PL%,0.63 [0.61-0.65],1.852e-181,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
M-LDL-CE%,0.62 [0.60-0.64],5.395e-140,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
L-LDL-FC%,0.62 [0.60-0.64],1.684e-192,***,Free Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-CE%,0.62 [0.60-0.64],1.634e-176,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
XL-VLDL-C%,0.62 [0.59-0.64],4.918e-97,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-HDL-FC,0.61 [0.59-0.64],6.484e-126,***,Free Cholesterol in Small HDL
L-HDL-CE,0.61 [0.57-0.64],1.825e-58,***,Cholesteryl Esters in Large HDL
M-VLDL-C%,0.60 [0.58-0.62],8.848e-247,***,Cholesterol to Total-Lipids in Medium VLDL percentage
HDL-P,0.60 [0.58-0.63],4.748e-114,***,Concentration of HDL Particles
HDL-C,0.60 [0.57-0.63],1.039e-95,***,HDL Cholesterol
VLDL-L,0.60 [0.58-0.62],1.553e-146,***,Total-Lipids in VLDL
L-HDL-C,0.59 [0.56-0.63],1.201e-65,***,Cholesterol in Large HDL
M-HDL-FC%,0.58 [0.56-0.60],5.298e-204,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-LDL-C%,0.58 [0.57-0.60],2.344e-254,***,Cholesterol to Total-Lipids in Large LDL percentage
S-HDL-FC%,0.58 [0.56-0.61],1.921e-131,***,Free Cholesterol to Total-Lipids in Small HDL percentage
S-VLDL-P,0.58 [0.56-0.61],4.643e-127,***,Concentration of Small VLDL Particles
SFA,0.58 [0.56-0.60],7.789e-175,***,Saturated Fatty Acids
XL-VLDL-FC%,0.58 [0.56-0.61],3.936e-119,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-HDL-PL,0.58 [0.54-0.61],2.355e-66,***,Phospholipids in Very Large HDL
L-VLDL-C,0.58 [0.55-0.60],1.457e-133,***,Cholesterol in Large VLDL
M-LDL-C%,0.58 [0.56-0.59],2.388e-295,***,Cholesterol to Total-Lipids in Medium LDL percentage
Total-FA,0.57 [0.55-0.59],1.667e-195,***,Total-Fatty Acids
IDL-C%,0.57 [0.55-0.58],0.000e+00,***,Cholesterol to Total-Lipids in IDL percentage
S-VLDL-C%,0.57 [0.55-0.59],1.318e-239,***,Cholesterol to Total-Lipids in Small VLDL percentage
XL-VLDL-C,0.56 [0.54-0.58],1.295e-145,***,Cholesterol in Very Large VLDL
S-LDL-CE%,0.56 [0.54-0.58],6.543e-236,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
IDL-CE%,0.55 [0.54-0.57],0.000e+00,***,Cholesteryl Esters to Total-Lipids in IDL percentage
S-VLDL-L,0.55 [0.53-0.58],1.452e-166,***,Total-Lipids in Small VLDL
M-VLDL-FC%,0.55 [0.53-0.57],1.747e-285,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
L-HDL-P,0.54 [0.51-0.58],9.920e-73,***,Concentration of Large HDL Particles
S-LDL-C%,0.54 [0.53-0.56],0.000e+00,***,Cholesterol to Total-Lipids in Small LDL percentage
XS-VLDL-C%,0.54 [0.52-0.56],0.000e+00,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.54 [0.52-0.55],0.000e+00,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
ApoB/ApoA1,0.54 [0.51-0.56],3.016e-195,***,Apolipoprotein B to Apolipoprotein A1 ratio
S-VLDL-FC%,0.53 [0.51-0.55],2.756e-292,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
VLDL-PL,0.53 [0.51-0.55],1.469e-193,***,Phospholipids in VLDL
L-HDL-FC,0.53 [0.50-0.56],3.735e-82,***,Free Cholesterol in Large HDL
Total-P,0.53 [0.51-0.55],1.087e-180,***,Total-Concentration of Lipoprotein Particles
M-VLDL-PL%,0.52 [0.50-0.54],0.000e+00,***,Phospholipids to Total-Lipids in Medium VLDL percentage
L-VLDL-CE,0.51 [0.49-0.53],2.583e-188,***,Cholesteryl Esters in Large VLDL
Phosphoglyc,0.51 [0.49-0.53],3.771e-259,***,Phosphoglycerides
XL-HDL-FC,0.51 [0.48-0.53],7.461e-134,***,Free Cholesterol in Very Large HDL
HDL-FC,0.50 [0.48-0.53],4.779e-142,***,Free Cholesterol in HDL
S-VLDL-PL%,0.50 [0.49-0.52],7.687e-283,***,Phospholipids to Total-Lipids in Small VLDL percentage
XL-HDL-L,0.50 [0.47-0.53],2.242e-104,***,Total-Lipids in Very Large HDL
M-VLDL-L,0.50 [0.48-0.52],2.205e-247,***,Total-Lipids in Medium VLDL
XL-VLDL-CE,0.49 [0.47-0.51],5.124e-206,***,Cholesteryl Esters in Very Large VLDL
PC,0.49 [0.47-0.51],3.752e-275,***,Phosphatidylcholines
PUFA,0.49 [0.47-0.51],5.861e-294,***,Polyunsaturated Fatty Acids
VLDL-FC,0.48 [0.46-0.50],2.843e-244,***,Free Cholesterol in VLDL
VLDL-P,0.48 [0.46-0.50],4.522e-224,***,Concentration of VLDL Particles
Cholines,0.47 [0.45-0.49],0.000e+00,***,Total-Cholines
Total-L,0.46 [0.44-0.48],0.000e+00,***,Total-Lipids in Lipoprotein Particles
Omega-6,0.45 [0.43-0.47],0.000e+00,***,Omega-6 Fatty Acids
XL-HDL-C,0.45 [0.42-0.48],1.131e-134,***,Cholesterol in Very Large HDL
XS-VLDL-PL,0.45 [0.43-0.47],1.013e-248,***,Phospholipids in Very Small VLDL
S-VLDL-PL,0.45 [0.43-0.47],1.544e-266,***,Phospholipids in Small VLDL
XL-HDL-CE,0.45 [0.42-0.48],1.009e-126,***,Cholesteryl Esters in Very Large HDL
M-LDL-L,0.45 [0.43-0.46],0.000e+00,***,Total-Lipids in Medium LDL
Total-PL,0.45 [0.43-0.46],0.000e+00,***,Total-Phospholipids in Lipoprotein Particles
S-LDL-PL,0.44 [0.42-0.46],8.921e-305,***,Phospholipids in Small LDL
S-LDL-FC,0.44 [0.42-0.46],0.000e+00,***,Free Cholesterol in Small LDL
LDL-L,0.44 [0.42-0.46],0.000e+00,***,Total-Lipids in LDL
S-VLDL-CE,0.44 [0.42-0.46],3.109e-264,***,Cholesteryl Esters in Small VLDL
M-LDL-CE,0.44 [0.42-0.45],0.000e+00,***,Cholesteryl Esters in Medium LDL
M-LDL-C,0.43 [0.42-0.45],0.000e+00,***,Cholesterol in Medium LDL
LDL-CE,0.43 [0.42-0.45],0.000e+00,***,Cholesteryl Esters in LDL
M-LDL-PL,0.43 [0.41-0.45],0.000e+00,***,Phospholipids in Medium LDL
LDL-C,0.43 [0.42-0.45],0.000e+00,***,LDL Cholesterol
VLDL-C,0.43 [0.41-0.45],0.000e+00,***,VLDL Cholesterol
LA,0.43 [0.41-0.45],0.000e+00,***,Linoleic Acid
Clinical LDL-C,0.43 [0.41-0.44],0.000e+00,***,Clinical LDL Cholesterol
S-LDL-L,0.43 [0.41-0.44],0.000e+00,***,Total-Lipids in Small LDL
S-VLDL-C,0.42 [0.41-0.44],1.030e-294,***,Cholesterol in Small VLDL
XS-VLDL-L,0.42 [0.40-0.44],4.195e-303,***,Total-Lipids in Very Small VLDL
M-VLDL-P,0.42 [0.40-0.44],1.810e-291,***,Concentration of Medium VLDL Particles
L-LDL-L,0.42 [0.40-0.44],0.000e+00,***,Total-Lipids in Large LDL
M-VLDL-PL,0.42 [0.40-0.44],0.000e+00,***,Phospholipids in Medium VLDL
SM,0.42 [0.40-0.44],0.000e+00,***,Sphingomyelins
Non-HDL-C,0.41 [0.40-0.43],0.000e+00,***,Total-Cholesterol Minus HDL-C
L-LDL-CE,0.41 [0.40-0.43],0.000e+00,***,Cholesteryl Esters in Large LDL
L-LDL-C,0.41 [0.40-0.43],0.000e+00,***,Cholesterol in Large LDL
M-LDL-FC,0.41 [0.39-0.43],0.000e+00,***,Free Cholesterol in Medium LDL
Total-C,0.41 [0.40-0.43],0.000e+00,***,Total-Cholesterol
Total-CE,0.41 [0.39-0.42],0.000e+00,***,Total-Esterified Cholesterol
S-LDL-C,0.41 [0.39-0.42],0.000e+00,***,Cholesterol in Small LDL
LDL-PL,0.41 [0.39-0.42],0.000e+00,***,Phospholipids in LDL
S-LDL-CE,0.41 [0.39-0.42],0.000e+00,***,Cholesteryl Esters in Small LDL
M-LDL-P,0.40 [0.38-0.42],0.000e+00,***,Concentration of Medium LDL Particles
S-VLDL-FC,0.40 [0.38-0.42],0.000e+00,***,Free Cholesterol in Small VLDL
S-LDL-P,0.40 [0.38-0.41],0.000e+00,***,Concentration of Small LDL Particles
XS-VLDL-P,0.40 [0.38-0.42],0.000e+00,***,Concentration of Very Small VLDL Particles
ApoB,0.40 [0.38-0.41],0.000e+00,***,Apolipoprotein B
LDL-FC,0.39 [0.38-0.41],0.000e+00,***,Free Cholesterol in LDL
XL-HDL-P,0.39 [0.37-0.42],6.899e-165,***,Concentration of Very Large HDL Particles
VLDL-CE,0.39 [0.37-0.41],0.000e+00,***,Cholesteryl Esters in VLDL
XS-VLDL-FC,0.39 [0.37-0.40],0.000e+00,***,Free Cholesterol in Very Small VLDL
M-VLDL-FC,0.39 [0.37-0.40],0.000e+00,***,Free Cholesterol in Medium VLDL
Total-FC,0.38 [0.37-0.40],0.000e+00,***,Total-Free Cholesterol
Remnant-C,0.38 [0.37-0.40],0.000e+00,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
L-LDL-PL,0.38 [0.36-0.39],0.000e+00,***,Phospholipids in Large LDL
LDL-P,0.38 [0.36-0.39],0.000e+00,***,Concentration of LDL Particles
L-LDL-P,0.37 [0.36-0.39],0.000e+00,***,Concentration of Large LDL Particles
L-LDL-FC,0.37 [0.35-0.38],0.000e+00,***,Free Cholesterol in Large LDL
IDL-L,0.36 [0.35-0.38],0.000e+00,***,Total-Lipids in IDL
M-VLDL-C,0.35 [0.34-0.37],0.000e+00,***,Cholesterol in Medium VLDL
IDL-C,0.35 [0.34-0.37],0.000e+00,***,Cholesterol in IDL
M-VLDL-CE,0.35 [0.33-0.36],0.000e+00,***,Cholesteryl Esters in Medium VLDL
IDL-CE,0.34 [0.33-0.36],0.000e+00,***,Cholesteryl Esters in IDL
XS-VLDL-C,0.34 [0.32-0.36],0.000e+00,***,Cholesterol in Very Small VLDL
IDL-FC,0.34 [0.32-0.35],0.000e+00,***,Free Cholesterol in IDL
IDL-PL,0.33 [0.32-0.35],0.000e+00,***,Phospholipids in IDL
XS-VLDL-CE,0.32 [0.31-0.34],0.000e+00,***,Cholesteryl Esters in Very Small VLDL
IDL-P,0.31 [0.30-0.33],0.000e+00,***,Concentration of IDL Particles
