Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
LDL-PL,"-0.489 [-0.525,-0.453]",2.484e-150,***,Phospholipids in LDL
Clinical LDL-C,"-0.490 [-0.526,-0.454]",3.915e-150,***,Clinical LDL Cholesterol
Total-FC,"-0.497 [-0.533,-0.460]",3.607e-149,***,Total-Free Cholesterol
L-LDL-L,"-0.500 [-0.536,-0.464]",3.692e-155,***,Total-Lipids in Large LDL
L-LDL-PL,"-0.504 [-0.540,-0.468]",2.799e-158,***,Phospholipids in Large LDL
ApoB,"-0.505 [-0.541,-0.469]",2.189e-161,***,Apolipoprotein B
IDL-FC,"-0.511 [-0.548,-0.474]",3.899e-155,***,Free Cholesterol in IDL
Non-HDL-C,"-0.514 [-0.550,-0.477]",2.729e-165,***,Total-Cholesterol Minus HDL-C
XS-VLDL-PL,"-0.521 [-0.558,-0.485]",1.050e-165,***,Phospholipids in Very Small VLDL
Remnant-C,"-0.530 [-0.566,-0.494]",1.050e-175,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
IDL-C,"-0.533 [-0.570,-0.495]",2.970e-168,***,Cholesterol in IDL
IDL-CE,"-0.536 [-0.573,-0.498]",4.182e-170,***,Cholesteryl Esters in IDL
IDL-P,"-0.538 [-0.574,-0.501]",3.842e-180,***,Concentration of IDL Particles
XS-VLDL-FC,"-0.554 [-0.591,-0.517]",7.339e-187,***,Free Cholesterol in Very Small VLDL
IDL-L,"-0.556 [-0.593,-0.519]",2.704e-184,***,Total-Lipids in IDL
IDL-PL,"-0.557 [-0.594,-0.520]",7.859e-184,***,Phospholipids in IDL
XS-VLDL-L,"-0.559 [-0.596,-0.523]",1.849e-190,***,Total-Lipids in Very Small VLDL
XS-VLDL-P,"-0.562 [-0.598,-0.525]",7.553e-194,***,Concentration of Very Small VLDL Particles
XS-VLDL-C,"-0.589 [-0.626,-0.552]",6.391e-207,***,Cholesterol in Very Small VLDL
DHA%,"-0.594 [-0.632,-0.556]",3.654e-201,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
XS-VLDL-CE,"-0.595 [-0.632,-0.558]",1.401e-208,***,Cholesteryl Esters in Very Small VLDL
Omega-3,"-0.725 [-0.762,-0.688]",0.000e+00,***,Omega-3 Fatty Acids
Omega-3%,"-0.726 [-0.763,-0.689]",0.000e+00,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA,"-0.738 [-0.776,-0.700]",0.000e+00,***,Docosahexaenoic Acid
