Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-VLDL-TG,0.97 [0.96-0.98],0.012,*,Triglycerides in Large VLDL
LDL-TG,0.97 [0.96-0.98],0.006,**,Triglycerides in LDL
XL-HDL-C%,0.97 [0.96-0.98],0.013,*,Cholesterol to Total-Lipids in Very Large HDL percentage
LDL-size,0.97 [0.96-0.98],0.006,**,Average Diameter for LDL Particles
L-LDL-TG,0.97 [0.96-0.98],0.001,**,Triglycerides in Large LDL
DHA%,0.97 [0.96-0.98],0.001,**,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-VLDL-P,0.97 [0.96-0.98],8.313e-04,***,Concentration of Large VLDL Particles
His,0.97 [0.96-0.98],2.482e-04,***,Histidine
XL-VLDL-PL%,0.97 [0.96-0.98],7.379e-05,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
XL-VLDL-FC,0.97 [0.96-0.98],1.977e-04,***,Free Cholesterol in Very Large VLDL
L-VLDL-L,0.97 [0.96-0.98],9.398e-06,***,Total-Lipids in Large VLDL
S-LDL-FC%,0.96 [0.96-0.97],4.041e-08,***,Free Cholesterol to Total-Lipids in Small LDL percentage
L-VLDL-FC,0.96 [0.95-0.97],6.822e-07,***,Free Cholesterol in Large VLDL
L-VLDL-C%,0.96 [0.95-0.97],3.504e-08,***,Cholesterol to Total-Lipids in Large VLDL percentage
S-HDL-CE%,0.96 [0.95-0.97],9.543e-09,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
PUFA/MUFA,0.96 [0.95-0.97],3.061e-07,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-VLDL-TG,0.96 [0.95-0.97],2.546e-09,***,Triglycerides in Medium VLDL
M-LDL-FC%,0.96 [0.95-0.97],6.874e-10,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
ApoB/ApoA1,0.96 [0.95-0.97],9.371e-11,***,Apolipoprotein B to Apolipoprotein A1 ratio
M-HDL-CE%,0.96 [0.95-0.97],1.109e-10,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
XL-VLDL-FC%,0.96 [0.95-0.97],2.063e-09,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
LA%,0.96 [0.95-0.97],3.377e-10,***,Linoleic Acid to Total-Fatty Acids percentage
Omega-3%,0.96 [0.95-0.97],4.929e-11,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
HDL-size,0.96 [0.95-0.97],6.625e-08,***,Average Diameter for HDL Particles
L-VLDL-CE%,0.96 [0.95-0.97],6.039e-12,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XL-VLDL-C,0.96 [0.95-0.97],1.159e-13,***,Cholesterol in Very Large VLDL
S-VLDL-P,0.96 [0.95-0.96],3.844e-14,***,Concentration of Small VLDL Particles
L-VLDL-C,0.95 [0.95-0.96],1.639e-14,***,Cholesterol in Large VLDL
MUFA,0.95 [0.94-0.96],3.199e-15,***,Monounsaturated Fatty Acids
XL-HDL-PL,0.95 [0.94-0.96],4.621e-11,***,Phospholipids in Very Large HDL
XL-VLDL-C%,0.95 [0.94-0.96],4.177e-16,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
VLDL-L,0.95 [0.94-0.96],2.275e-18,***,Total-Lipids in VLDL
XL-HDL-FC,0.95 [0.94-0.96],1.132e-14,***,Free Cholesterol in Very Large HDL
XL-VLDL-CE%,0.95 [0.94-0.96],5.364e-17,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
S-VLDL-CE%,0.95 [0.94-0.96],6.465e-21,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
L-HDL-CE%,0.95 [0.94-0.96],1.015e-20,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-HDL-C%,0.95 [0.94-0.96],1.150e-21,***,Cholesterol to Total-Lipids in Small HDL percentage
S-VLDL-L,0.95 [0.94-0.96],9.290e-23,***,Total-Lipids in Small VLDL
IDL-FC%,0.95 [0.94-0.96],5.377e-25,***,Free Cholesterol to Total-Lipids in IDL percentage
L-VLDL-CE,0.95 [0.94-0.96],8.883e-23,***,Cholesteryl Esters in Large VLDL
L-HDL-FC%,0.95 [0.94-0.95],3.992e-25,***,Free Cholesterol to Total-Lipids in Large HDL percentage
XL-VLDL-CE,0.94 [0.94-0.95],8.426e-24,***,Cholesteryl Esters in Very Large VLDL
VLDL-PL,0.94 [0.93-0.95],4.546e-25,***,Phospholipids in VLDL
XS-VLDL-PL,0.94 [0.93-0.95],8.493e-26,***,Phospholipids in Very Small VLDL
M-LDL-CE%,0.94 [0.93-0.95],1.845e-27,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
L-HDL-C%,0.94 [0.93-0.95],1.550e-27,***,Cholesterol to Total-Lipids in Large HDL percentage
XS-VLDL-FC%,0.94 [0.93-0.95],7.386e-32,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Unsaturation,0.94 [0.93-0.95],3.433e-26,***,Degree of Unsaturation
XL-HDL-L,0.94 [0.93-0.95],5.911e-20,***,Total-Lipids in Very Large HDL
