Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-FC%,0.77 [0.75-0.80],2.229e-36,***,Free Cholesterol to Total-Lipids in Large HDL percentage
LDL-size,0.77 [0.74-0.81],3.272e-24,***,Average Diameter for LDL Particles
PUFA,0.77 [0.74-0.81],1.698e-21,***,Polyunsaturated Fatty Acids
XS-VLDL-FC%,0.77 [0.74-0.80],5.158e-36,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-HDL-FC,0.77 [0.73-0.81],3.283e-15,***,Free Cholesterol in Medium HDL
S-LDL-PL,0.77 [0.73-0.80],5.196e-23,***,Phospholipids in Small LDL
XS-VLDL-FC,0.77 [0.73-0.81],1.079e-20,***,Free Cholesterol in Very Small VLDL
ApoA1,0.76 [0.72-0.81],8.342e-18,***,Apolipoprotein A1
Total-L,0.76 [0.73-0.80],3.066e-27,***,Total-Lipids in Lipoprotein Particles
M-LDL-CE,0.76 [0.73-0.80],3.737e-24,***,Cholesteryl Esters in Medium LDL
M-VLDL-FC,0.76 [0.72-0.80],6.786e-23,***,Free Cholesterol in Medium VLDL
M-LDL-P,0.76 [0.72-0.80],1.169e-22,***,Concentration of Medium LDL Particles
PC,0.76 [0.72-0.80],2.417e-23,***,Phosphatidylcholines
S-LDL-L,0.76 [0.72-0.80],3.429e-25,***,Total-Lipids in Small LDL
S-VLDL-FC,0.76 [0.72-0.80],2.615e-23,***,Free Cholesterol in Small VLDL
VLDL-CE,0.76 [0.72-0.79],2.487e-25,***,Cholesteryl Esters in VLDL
PUFA/MUFA,0.76 [0.72-0.79],4.358e-24,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-HDL-C%,0.76 [0.72-0.79],1.235e-29,***,Cholesterol to Total-Lipids in Medium HDL percentage
L-HDL-CE%,0.75 [0.73-0.78],1.655e-47,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-LDL-L,0.75 [0.72-0.79],2.509e-27,***,Total-Lipids in Medium LDL
S-LDL-CE,0.75 [0.72-0.79],6.039e-26,***,Cholesteryl Esters in Small LDL
XXL-VLDL-CE%,0.75 [0.71-0.79],8.082e-22,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-6,0.75 [0.71-0.78],7.306e-29,***,Omega-6 Fatty Acids
M-LDL-FC%,0.75 [0.72-0.78],2.404e-39,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-L,0.75 [0.71-0.79],2.729e-20,***,Total-Lipids in HDL
M-LDL-PL,0.75 [0.71-0.78],2.093e-27,***,Phospholipids in Medium LDL
HDL-P,0.75 [0.71-0.79],5.974e-22,***,Concentration of HDL Particles
XXL-VLDL-C%,0.74 [0.70-0.79],5.089e-20,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LA,0.74 [0.71-0.78],8.233e-32,***,Linoleic Acid
