Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-PL%,"0.049 [0.047,0.051]",0.000e+00,***,Phospholipids to Total-Lipids in Small HDL percentage
M-VLDL-CE,"0.046 [0.045,0.048]",0.000e+00,***,Cholesteryl Esters in Medium VLDL
LDL-L,"0.045 [0.043,0.047]",0.000e+00,***,Total-Lipids in LDL
Non-HDL-C,"0.044 [0.043,0.046]",0.000e+00,***,Total-Cholesterol Minus HDL-C
LDL-CE,"0.044 [0.042,0.046]",0.000e+00,***,Cholesteryl Esters in LDL
LDL-PL,"0.043 [0.042,0.045]",0.000e+00,***,Phospholipids in LDL
IDL-P,"0.043 [0.041,0.045]",0.000e+00,***,Concentration of IDL Particles
L-VLDL-C%,"0.041 [0.039,0.043]",0.000e+00,***,Cholesterol to Total-Lipids in Large VLDL percentage
S-LDL-FC,"0.039 [0.037,0.041]",0.000e+00,***,Free Cholesterol in Small LDL
Omega-3,"0.036 [0.034,0.038]",0.000e+00,***,Omega-3 Fatty Acids
Remnant-C,"0.035 [0.034,0.037]",0.000e+00,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
XS-VLDL-FC%,"0.035 [0.034,0.037]",0.000e+00,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-CE%,"0.035 [0.033,0.037]",2.622e-265,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-CE%,"0.032 [0.030,0.034]",1.690e-260,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Albumin,"0.031 [0.029,0.033]",6.967e-241,***,Albumin
Omega-3%,"0.027 [0.025,0.029]",1.172e-184,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-VLDL-C,"0.026 [0.024,0.028]",2.578e-170,***,Cholesterol in Medium VLDL
S-VLDL-CE%,"0.026 [0.024,0.028]",6.296e-176,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
Acetone,"0.026 [0.024,0.028]",2.149e-179,***,Acetone
SFA,"0.025 [0.024,0.027]",1.758e-180,***,Saturated Fatty Acids
Total-FA,"0.025 [0.023,0.027]",1.001e-174,***,Total-Fatty Acids
M-LDL-C,"0.024 [0.022,0.025]",5.406e-144,***,Cholesterol in Medium LDL
3-Hydroxybutyrate,"0.022 [0.020,0.024]",2.857e-104,***,3-Hydroxybutyrate
XS-VLDL-FC,"0.021 [0.019,0.022]",3.716e-97,***,Free Cholesterol in Very Small VLDL
L-LDL-P,"0.019 [0.017,0.020]",1.503e-85,***,Concentration of Large LDL Particles
M-LDL-L,"0.018 [0.016,0.020]",3.825e-84,***,Total-Lipids in Medium LDL
M-LDL-PL,"0.018 [0.016,0.020]",4.263e-80,***,Phospholipids in Medium LDL
SFA%,"0.017 [0.015,0.019]",3.465e-81,***,Saturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-C,"0.015 [0.013,0.016]",1.061e-52,***,Cholesterol in Small LDL
XS-VLDL-L,"0.014 [0.012,0.016]",2.840e-46,***,Total-Lipids in Very Small VLDL
Acetoacetate,"0.014 [0.012,0.015]",5.300e-44,***,Acetoacetate
M-LDL-CE,"0.013 [0.011,0.015]",6.883e-41,***,Cholesteryl Esters in Medium LDL
ApoB,"0.013 [0.011,0.015]",1.256e-39,***,Apolipoprotein B
XS-VLDL-P,"0.012 [0.011,0.014]",3.008e-33,***,Concentration of Very Small VLDL Particles
LDL-P,"0.012 [0.010,0.014]",1.255e-33,***,Concentration of LDL Particles
L-VLDL-TG%,"0.011 [0.010,0.013]",2.265e-25,***,Triglycerides to Total-Lipids in Large VLDL percentage
Acetate,"0.007 [0.005,0.009]",9.400e-11,***,Acetate
S-LDL-CE%,"0.007 [0.005,0.009]",1.491e-09,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
M-LDL-P,"0.006 [0.004,0.008]",4.982e-06,***,Concentration of Medium LDL Particles
Glu,"0.006 [0.004,0.007]",9.973e-05,***,Glucose
S-LDL-CE,"0.005 [0.003,0.007]",0.006,**,Cholesteryl Esters in Small LDL
