Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
LA,"0.151 [0.135,0.167]",5.501e-69,***,Linoleic Acid
XS-VLDL-TG%,"0.149 [0.132,0.165]",3.942e-63,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-VLDL-PL%,"0.144 [0.124,0.165]",1.453e-36,***,Phospholipids to Total-Lipids in Large VLDL percentage
His,"0.142 [0.126,0.159]",8.768e-61,***,Histidine
M-LDL-C%,"0.141 [0.125,0.158]",1.220e-59,***,Cholesterol to Total-Lipids in Medium LDL percentage
IDL-FC,"0.140 [0.123,0.157]",6.653e-53,***,Free Cholesterol in IDL
XXL-VLDL-TG,"0.138 [0.122,0.154]",9.401e-58,***,Triglycerides in Chylomicrons and Extremely Large VLDL
Sc-ala,"0.137 [0.121,0.154]",6.280e-54,***,Spectrometer-corrected alanine
TG/PG,"0.133 [0.115,0.150]",3.657e-46,***,Triglycerides to Phosphoglycerides ratio
SFA%,"0.133 [0.117,0.148]",5.809e-58,***,Saturated Fatty Acids to Total-Fatty Acids percentage
IDL-L,"0.131 [0.114,0.148]",1.012e-47,***,Total-Lipids in IDL
IDL-PL,"0.125 [0.108,0.143]",3.286e-41,***,Phospholipids in IDL
HDL-FC,"0.125 [0.105,0.145]",2.650e-28,***,Free Cholesterol in HDL
L-VLDL-FC%,"0.122 [0.103,0.140]",5.326e-33,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
Ala,"0.122 [0.105,0.138]",6.364e-42,***,Alanine
IDL-C,"0.121 [0.104,0.138]",8.479e-40,***,Cholesterol in IDL
IDL-CE,"0.117 [0.100,0.134]",1.930e-36,***,Cholesteryl Esters in IDL
XS-VLDL-P,"0.117 [0.100,0.134]",6.347e-35,***,Concentration of Very Small VLDL Particles
Citrate,"0.116 [0.098,0.133]",1.780e-34,***,Citrate
XS-VLDL-FC,"0.113 [0.096,0.130]",4.166e-32,***,Free Cholesterol in Very Small VLDL
XS-VLDL-L,"0.112 [0.094,0.129]",5.982e-32,***,Total-Lipids in Very Small VLDL
IDL-P,"0.105 [0.088,0.122]",4.198e-28,***,Concentration of IDL Particles
XS-VLDL-PL,"0.104 [0.087,0.121]",2.871e-27,***,Phospholipids in Very Small VLDL
XL-HDL-TG,"0.101 [0.084,0.117]",3.337e-28,***,Triglycerides in Very Large HDL
Val,"0.095 [0.078,0.113]",1.775e-21,***,Valine
S-HDL-CE%,"0.086 [0.070,0.103]",1.259e-19,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
L-LDL-C%,"0.085 [0.069,0.101]",7.468e-20,***,Cholesterol to Total-Lipids in Large LDL percentage
Acetoacetate,"0.084 [0.068,0.101]",8.464e-18,***,Acetoacetate
Glu,"0.082 [0.066,0.098]",2.150e-18,***,Glucose
M-HDL-FC%,"0.080 [0.063,0.097]",6.746e-14,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-HDL-C%,"0.080 [0.064,0.096]",1.301e-16,***,Cholesterol to Total-Lipids in Small HDL percentage
M-VLDL-TG%,"0.073 [0.056,0.091]",7.155e-11,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XL-VLDL-TG%,"0.072 [0.053,0.092]",5.159e-08,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-HDL-TG,"0.068 [0.050,0.086]",3.871e-08,***,Triglycerides in Large HDL
S-LDL-TG%,"0.062 [0.045,0.078]",3.911e-08,***,Triglycerides to Total-Lipids in Small LDL percentage
L-HDL-PL%,"0.061 [0.045,0.077]",1.776e-08,***,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-C,"0.061 [0.044,0.079]",1.738e-06,***,Cholesterol in Very Small VLDL
ApoB/ApoA1,"0.058 [0.041,0.074]",1.847e-06,***,Apolipoprotein B to Apolipoprotein A1 ratio
S-HDL-TG%,"0.054 [0.036,0.072]",8.734e-04,***,Triglycerides to Total-Lipids in Small HDL percentage
XXL-VLDL-FC%,"0.052 [0.034,0.070]",0.002,**,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-TG%,"0.052 [0.035,0.069]",7.922e-04,***,Triglycerides to Total-Lipids in Medium HDL percentage
M-VLDL-FC%,"-0.049 [-0.066,-0.033]",8.955e-04,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
LDL-size,"-0.051 [-0.067,-0.035]",2.396e-04,***,Average Diameter for LDL Particles
Creatinine,"-0.057 [-0.074,-0.039]",9.912e-05,***,Creatinine
L-VLDL-CE%,"-0.062 [-0.080,-0.045]",6.534e-07,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
Ile,"-0.074 [-0.090,-0.057]",1.101e-12,***,Isoleucine
XS-VLDL-PL%,"-0.074 [-0.090,-0.057]",6.178e-13,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
PUFA%,"-0.075 [-0.091,-0.059]",5.901e-15,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-CE%,"-0.085 [-0.100,-0.069]",1.301e-21,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
