Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-FC,0.93 [0.92-0.94],3.901e-28,***,Free Cholesterol in Very Large VLDL
L-VLDL-P,0.93 [0.91-0.94],1.521e-29,***,Concentration of Large VLDL Particles
L-VLDL-PL,0.93 [0.91-0.94],6.489e-30,***,Phospholipids in Large VLDL
XXL-VLDL-P,0.93 [0.91-0.94],8.406e-30,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-C,0.93 [0.91-0.94],2.774e-30,***,Cholesterol in Chylomicrons and Extremely Large VLDL
L-VLDL-L,0.92 [0.91-0.94],1.341e-31,***,Total-Lipids in Large VLDL
XXL-VLDL-PL,0.92 [0.91-0.94],3.648e-31,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-PL,0.92 [0.91-0.93],6.517e-32,***,Phospholipids in Very Large VLDL
XXL-VLDL-CE,0.92 [0.91-0.93],3.695e-32,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
L-VLDL-FC,0.92 [0.91-0.93],1.016e-32,***,Free Cholesterol in Large VLDL
L-VLDL-TG,0.92 [0.91-0.93],1.859e-33,***,Triglycerides in Large VLDL
XL-VLDL-P,0.92 [0.91-0.93],1.035e-33,***,Concentration of Very Large VLDL Particles
ApoB/ApoA1,0.92 [0.91-0.93],1.077e-37,***,Apolipoprotein B to Apolipoprotein A1 ratio
XXL-VLDL-L,0.92 [0.91-0.93],2.232e-35,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-L,0.92 [0.91-0.93],1.465e-35,***,Total-Lipids in Very Large VLDL
XXL-VLDL-TG,0.92 [0.91-0.93],5.038e-36,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG,0.92 [0.91-0.93],1.384e-36,***,Triglycerides in Very Large VLDL
L-HDL-TG%,0.91 [0.90-0.93],8.925e-42,***,Triglycerides to Total-Lipids in Large HDL percentage
Ile,0.91 [0.90-0.92],3.397e-44,***,Isoleucine
XL-HDL-TG%,0.90 [0.89-0.91],1.193e-56,***,Triglycerides to Total-Lipids in Very Large HDL percentage
TG/PG,0.89 [0.88-0.90],8.807e-74,***,Triglycerides to Phosphoglycerides ratio
Val,0.88 [0.87-0.89],5.604e-80,***,Valine
Total-BCAA,0.88 [0.87-0.89],5.604e-89,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
VLDL-size,0.88 [0.87-0.89],8.941e-92,***,Average Diameter for VLDL Particles
Leu,0.87 [0.86-0.88],6.628e-108,***,Leucine
XL-HDL-C%,0.86 [0.85-0.87],2.042e-124,***,Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-FC%,0.83 [0.81-0.84],1.765e-188,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Creatinine,0.78 [0.77-0.79],0.000e+00,***,Creatinine
