Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-VLDL-C,0.68 [0.65-0.71],1.658e-61,***,Cholesterol in Large VLDL
M-HDL-CE,0.68 [0.65-0.71],5.711e-66,***,Cholesteryl Esters in Medium HDL
XL-VLDL-PL%,0.67 [0.65-0.69],9.460e-137,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C,0.67 [0.64-0.70],4.530e-65,***,Cholesterol in Very Large VLDL
XXL-VLDL-CE%,0.67 [0.64-0.70],9.189e-73,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-CE%,0.66 [0.64-0.69],7.300e-89,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
IDL-FC%,0.66 [0.64-0.68],2.357e-119,***,Free Cholesterol to Total-Lipids in IDL percentage
M-HDL-C,0.66 [0.63-0.69],5.131e-76,***,Cholesterol in Medium HDL
L-HDL-C%,0.65 [0.63-0.67],3.171e-178,***,Cholesterol to Total-Lipids in Large HDL percentage
S-HDL-C,0.65 [0.62-0.67],2.434e-96,***,Cholesterol in Small HDL
M-HDL-P,0.64 [0.61-0.67],9.325e-82,***,Concentration of Medium HDL Particles
S-VLDL-P,0.64 [0.61-0.67],4.432e-80,***,Concentration of Small VLDL Particles
S-HDL-P,0.63 [0.61-0.66],2.498e-100,***,Concentration of Small HDL Particles
XS-VLDL-FC%,0.62 [0.60-0.63],4.334e-206,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
HDL-PL,0.61 [0.58-0.64],9.964e-106,***,Phospholipids in HDL
SFA,0.61 [0.58-0.63],4.896e-127,***,Saturated Fatty Acids
HDL-size,0.60 [0.56-0.63],1.037e-79,***,Average Diameter for HDL Particles
S-VLDL-L,0.59 [0.57-0.62],3.240e-115,***,Total-Lipids in Small VLDL
S-LDL-CE%,0.59 [0.57-0.61],1.918e-162,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
VLDL-PL,0.59 [0.56-0.62],9.312e-120,***,Phospholipids in VLDL
S-HDL-FC,0.59 [0.56-0.61],1.409e-137,***,Free Cholesterol in Small HDL
ApoA1,0.59 [0.56-0.61],4.403e-128,***,Apolipoprotein A1
Total-FA,0.59 [0.56-0.61],4.025e-153,***,Total-Fatty Acids
M-HDL-FC,0.58 [0.56-0.61],1.262e-112,***,Free Cholesterol in Medium HDL
L-HDL-FC%,0.58 [0.57-0.60],0.000e+00,***,Free Cholesterol to Total-Lipids in Large HDL percentage
LA%,0.58 [0.56-0.60],5.441e-181,***,Linoleic Acid to Total-Fatty Acids percentage
L-VLDL-CE,0.57 [0.55-0.60],2.351e-119,***,Cholesteryl Esters in Large VLDL
HDL-L,0.57 [0.55-0.60],1.337e-136,***,Total-Lipids in HDL
M-VLDL-CE%,0.57 [0.56-0.58],0.000e+00,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-HDL-PL,0.57 [0.54-0.60],2.424e-93,***,Phospholipids in Large HDL
XL-VLDL-CE,0.56 [0.54-0.59],2.828e-123,***,Cholesteryl Esters in Very Large VLDL
HDL-P,0.56 [0.53-0.58],1.143e-150,***,Concentration of HDL Particles
HDL-CE,0.54 [0.52-0.57],7.535e-143,***,Cholesteryl Esters in HDL
ApoB/ApoA1,0.53 [0.51-0.56],4.199e-168,***,Apolipoprotein B to Apolipoprotein A1 ratio
L-VLDL-C%,0.53 [0.51-0.55],9.770e-197,***,Cholesterol to Total-Lipids in Large VLDL percentage
L-HDL-L,0.52 [0.50-0.55],1.299e-121,***,Total-Lipids in Large HDL
M-HDL-FC%,0.52 [0.51-0.54],3.442e-300,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-LDL-FC%,0.52 [0.51-0.54],0.000e+00,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-L,0.52 [0.50-0.54],2.143e-185,***,Total-Lipids in Medium VLDL
HDL-C,0.52 [0.50-0.55],1.401e-160,***,HDL Cholesterol
S-VLDL-CE%,0.52 [0.50-0.54],0.000e+00,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
VLDL-FC,0.52 [0.50-0.54],2.706e-173,***,Free Cholesterol in VLDL
M-LDL-C%,0.51 [0.50-0.53],0.000e+00,***,Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-C%,0.51 [0.49-0.52],0.000e+00,***,Cholesterol to Total-Lipids in Medium VLDL percentage
L-VLDL-CE%,0.50 [0.48-0.52],9.401e-242,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
S-HDL-FC%,0.50 [0.48-0.53],1.834e-193,***,Free Cholesterol to Total-Lipids in Small HDL percentage
VLDL-P,0.50 [0.48-0.53],1.536e-173,***,Concentration of VLDL Particles
Phosphoglyc,0.50 [0.48-0.52],1.175e-268,***,Phosphoglycerides
Total-P,0.49 [0.47-0.52],7.512e-221,***,Total-Concentration of Lipoprotein Particles
S-LDL-C%,0.49 [0.48-0.51],0.000e+00,***,Cholesterol to Total-Lipids in Small LDL percentage
IDL-C%,0.49 [0.48-0.51],0.000e+00,***,Cholesterol to Total-Lipids in IDL percentage
L-LDL-C%,0.49 [0.47-0.50],0.000e+00,***,Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-CE,0.49 [0.46-0.52],2.362e-125,***,Cholesteryl Esters in Large HDL
XL-VLDL-CE%,0.49 [0.46-0.51],3.668e-218,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
PC,0.48 [0.46-0.50],1.581e-290,***,Phosphatidylcholines
IDL-CE%,0.48 [0.46-0.49],0.000e+00,***,Cholesteryl Esters to Total-Lipids in IDL percentage
