Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-VLDL-CE,0.72 [0.71-0.73],0.000e+00,***,Cholesteryl Esters in Small VLDL
PC,0.72 [0.71-0.73],0.000e+00,***,Phosphatidylcholines
M-LDL-C%,0.71 [0.71-0.72],0.000e+00,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.71 [0.70-0.72],0.000e+00,***,Cholesterol to Total-Lipids in Small LDL percentage
M-VLDL-FC%,0.71 [0.70-0.72],0.000e+00,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-PL,0.71 [0.70-0.72],0.000e+00,***,Phospholipids in Small VLDL
IDL-C%,0.71 [0.70-0.72],0.000e+00,***,Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-L,0.71 [0.70-0.72],0.000e+00,***,Total-Lipids in Very Small VLDL
IDL-CE%,0.70 [0.70-0.71],0.000e+00,***,Cholesteryl Esters to Total-Lipids in IDL percentage
L-LDL-C%,0.70 [0.69-0.71],0.000e+00,***,Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-P,0.70 [0.69-0.71],0.000e+00,***,Concentration of Very Small VLDL Particles
S-VLDL-C,0.70 [0.69-0.71],0.000e+00,***,Cholesterol in Small VLDL
Cholines,0.70 [0.69-0.71],0.000e+00,***,Total-Cholines
PUFA,0.70 [0.69-0.71],0.000e+00,***,Polyunsaturated Fatty Acids
S-VLDL-FC%,0.70 [0.69-0.70],0.000e+00,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-PL%,0.69 [0.69-0.70],0.000e+00,***,Phospholipids to Total-Lipids in Small VLDL percentage
M-VLDL-P,0.69 [0.68-0.70],0.000e+00,***,Concentration of Medium VLDL Particles
M-VLDL-PL%,0.69 [0.69-0.70],0.000e+00,***,Phospholipids to Total-Lipids in Medium VLDL percentage
XS-VLDL-C%,0.69 [0.68-0.70],0.000e+00,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
VLDL-C,0.69 [0.68-0.70],0.000e+00,***,VLDL Cholesterol
XS-VLDL-FC,0.69 [0.68-0.70],0.000e+00,***,Free Cholesterol in Very Small VLDL
XS-VLDL-CE%,0.69 [0.68-0.70],0.000e+00,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-VLDL-PL,0.69 [0.68-0.70],0.000e+00,***,Phospholipids in Medium VLDL
Omega-6,0.68 [0.67-0.69],0.000e+00,***,Omega-6 Fatty Acids
S-VLDL-FC,0.68 [0.67-0.69],0.000e+00,***,Free Cholesterol in Small VLDL
Total-PL,0.68 [0.67-0.68],0.000e+00,***,Total-Phospholipids in Lipoprotein Particles
M-LDL-CE,0.67 [0.66-0.68],0.000e+00,***,Cholesteryl Esters in Medium LDL
VLDL-CE,0.67 [0.66-0.68],0.000e+00,***,Cholesteryl Esters in VLDL
S-LDL-PL,0.67 [0.66-0.68],0.000e+00,***,Phospholipids in Small LDL
M-LDL-PL,0.67 [0.66-0.68],0.000e+00,***,Phospholipids in Medium LDL
M-LDL-L,0.67 [0.66-0.68],0.000e+00,***,Total-Lipids in Medium LDL
Total-L,0.67 [0.66-0.68],0.000e+00,***,Total-Lipids in Lipoprotein Particles
S-LDL-P,0.67 [0.66-0.68],0.000e+00,***,Concentration of Small LDL Particles
M-LDL-P,0.67 [0.66-0.68],0.000e+00,***,Concentration of Medium LDL Particles
M-VLDL-FC,0.67 [0.66-0.68],0.000e+00,***,Free Cholesterol in Medium VLDL
SM,0.67 [0.66-0.68],0.000e+00,***,Sphingomyelins
