Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC,0.88 [0.85-0.91],2.284e-10,***,Free Cholesterol in Very Large HDL
L-HDL-L,0.88 [0.85-0.91],2.396e-09,***,Total-Lipids in Large HDL
S-LDL-FC%,0.88 [0.85-0.90],2.430e-19,***,Free Cholesterol to Total-Lipids in Small LDL percentage
M-VLDL-FC%,0.87 [0.85-0.90],1.767e-16,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
L-HDL-CE%,0.87 [0.85-0.90],1.693e-18,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XL-HDL-L,0.87 [0.84-0.90],2.603e-10,***,Total-Lipids in Very Large HDL
XL-HDL-P,0.87 [0.84-0.90],2.620e-10,***,Concentration of Very Large HDL Particles
Omega-6%,0.87 [0.85-0.90],1.568e-17,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-HDL-FC%,0.87 [0.84-0.90],4.176e-14,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-HDL-C%,0.87 [0.85-0.89],2.631e-17,***,Cholesterol to Total-Lipids in Medium HDL percentage
L-HDL-FC,0.87 [0.84-0.90],2.634e-10,***,Free Cholesterol in Large HDL
XL-VLDL-C%,0.87 [0.84-0.90],8.489e-15,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
L-HDL-P,0.87 [0.84-0.90],2.290e-10,***,Concentration of Large HDL Particles
M-VLDL-CE%,0.87 [0.84-0.89],1.806e-22,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XL-VLDL-CE%,0.87 [0.84-0.89],1.927e-16,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-HDL-C%,0.87 [0.84-0.89],8.412e-21,***,Cholesterol to Total-Lipids in Large HDL percentage
M-VLDL-C%,0.86 [0.84-0.89],9.896e-22,***,Cholesterol to Total-Lipids in Medium VLDL percentage
Unsaturation,0.86 [0.84-0.89],9.404e-18,***,Degree of Unsaturation
M-LDL-FC%,0.86 [0.84-0.88],2.986e-22,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-C%,0.86 [0.84-0.88],5.938e-23,***,Cholesterol to Total-Lipids in Large LDL percentage
IDL-CE%,0.86 [0.83-0.88],7.740e-26,***,Cholesteryl Esters to Total-Lipids in IDL percentage
PUFA%,0.86 [0.83-0.88],1.083e-22,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-C,0.86 [0.83-0.89],1.038e-13,***,Cholesterol in Large HDL
L-HDL-CE,0.85 [0.82-0.88],2.903e-14,***,Cholesteryl Esters in Large HDL
XL-HDL-C,0.85 [0.82-0.88],4.247e-15,***,Cholesterol in Very Large HDL
S-VLDL-FC%,0.85 [0.83-0.88],4.851e-25,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-PL%,0.85 [0.83-0.87],1.093e-24,***,Phospholipids to Total-Lipids in Small VLDL percentage
XL-HDL-CE,0.85 [0.82-0.88],1.204e-15,***,Cholesteryl Esters in Very Large HDL
LA%,0.85 [0.82-0.87],3.045e-25,***,Linoleic Acid to Total-Fatty Acids percentage
L-LDL-FC%,0.85 [0.82-0.87],4.622e-29,***,Free Cholesterol to Total-Lipids in Large LDL percentage
IDL-C%,0.84 [0.82-0.87],1.058e-32,***,Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-C%,0.84 [0.82-0.87],1.431e-29,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.84 [0.82-0.86],1.005e-30,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
PUFA/MUFA,0.83 [0.81-0.86],3.209e-28,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
