Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
S-LDL-FC,"0.141 [0.104,0.178]",1.316e-08,***,Free Cholesterol in Small LDL
XS-VLDL-CE,"0.137 [0.100,0.175]",1.526e-07,***,Cholesteryl Esters in Very Small VLDL
Non-HDL-C,"0.134 [0.096,0.172]",1.218e-06,***,Total-Cholesterol Minus HDL-C
M-HDL-P,"0.134 [0.095,0.172]",2.773e-06,***,Concentration of Medium HDL Particles
His,"0.134 [0.096,0.171]",5.326e-07,***,Histidine
XL-HDL-CE%,"0.133 [0.090,0.176]",2.389e-04,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
S-HDL-C%,"0.133 [0.094,0.171]",2.718e-06,***,Cholesterol to Total-Lipids in Small HDL percentage
LDL-L,"0.132 [0.094,0.170]",1.926e-06,***,Total-Lipids in LDL
LDL-CE,"0.128 [0.090,0.166]",7.484e-06,***,Cholesteryl Esters in LDL
IDL-P,"0.127 [0.090,0.163]",2.170e-06,***,Concentration of IDL Particles
LDL-PL,"0.126 [0.089,0.164]",6.783e-06,***,Phospholipids in LDL
SFA%,"0.126 [0.086,0.166]",1.959e-04,***,Saturated Fatty Acids to Total-Fatty Acids percentage
Omega-3%,"0.124 [0.085,0.162]",9.985e-05,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-VLDL-CE,"0.122 [0.085,0.159]",2.932e-05,***,Cholesteryl Esters in Medium VLDL
Phosphoglyc,"0.121 [0.081,0.161]",7.256e-04,***,Phosphoglycerides
L-VLDL-CE%,"0.119 [0.080,0.158]",5.897e-04,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-HDL-L,"0.117 [0.077,0.157]",0.002,**,Total-Lipids in Medium HDL
XS-VLDL-C,"0.116 [0.079,0.153]",2.759e-04,***,Cholesterol in Very Small VLDL
XL-VLDL-FC%,"0.115 [0.079,0.151]",1.376e-04,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Total-L,"0.115 [0.076,0.154]",0.002,**,Total-Lipids in Lipoprotein Particles
Glu,"0.114 [0.075,0.153]",0.002,**,Glucose
