Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-L,0.60 [0.57-0.62],7.644e-114,***,Total-Lipids in Small HDL
M-LDL-CE%,0.58 [0.55-0.60],3.764e-143,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-HDL-PL,0.57 [0.55-0.60],2.384e-116,***,Phospholipids in Medium HDL
S-HDL-C,0.57 [0.55-0.60],1.056e-130,***,Cholesterol in Small HDL
XS-VLDL-FC%,0.57 [0.55-0.59],2.313e-234,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-HDL-TG,0.57 [0.54-0.60],1.386e-90,***,Triglycerides in Large HDL
M-HDL-CE,0.57 [0.54-0.60],1.674e-115,***,Cholesteryl Esters in Medium HDL
MUFA,0.56 [0.54-0.59],2.843e-117,***,Monounsaturated Fatty Acids
L-VLDL-C,0.56 [0.53-0.59],1.376e-105,***,Cholesterol in Large VLDL
M-HDL-L,0.56 [0.53-0.58],1.606e-133,***,Total-Lipids in Medium HDL
M-VLDL-CE%,0.56 [0.54-0.57],0.000e+00,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-HDL-P,0.55 [0.53-0.58],9.100e-140,***,Concentration of Small HDL Particles
M-HDL-C,0.55 [0.52-0.57],1.177e-132,***,Cholesterol in Medium HDL
VLDL-L,0.54 [0.52-0.57],1.407e-137,***,Total-Lipids in VLDL
XL-VLDL-C,0.53 [0.51-0.56],3.692e-116,***,Cholesterol in Very Large VLDL
XL-HDL-TG,0.53 [0.51-0.56],2.434e-110,***,Triglycerides in Very Large HDL
S-VLDL-CE%,0.53 [0.51-0.55],7.653e-248,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
L-VLDL-C%,0.53 [0.50-0.55],4.624e-171,***,Cholesterol to Total-Lipids in Large VLDL percentage
S-VLDL-P,0.52 [0.50-0.55],4.743e-123,***,Concentration of Small VLDL Particles
L-HDL-FC%,0.52 [0.51-0.54],0.000e+00,***,Free Cholesterol to Total-Lipids in Large HDL percentage
LA%,0.51 [0.49-0.53],8.784e-231,***,Linoleic Acid to Total-Fatty Acids percentage
L-LDL-FC%,0.51 [0.49-0.53],6.051e-304,***,Free Cholesterol to Total-Lipids in Large LDL percentage
ApoB/ApoA1,0.51 [0.48-0.53],2.347e-158,***,Apolipoprotein B to Apolipoprotein A1 ratio
M-HDL-P,0.51 [0.48-0.53],6.328e-151,***,Concentration of Medium HDL Particles
XL-VLDL-CE%,0.50 [0.47-0.52],8.993e-175,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-VLDL-CE%,0.49 [0.47-0.52],2.424e-215,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-LDL-C%,0.49 [0.47-0.50],0.000e+00,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-CE%,0.49 [0.47-0.50],3.197e-272,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
M-VLDL-C%,0.48 [0.47-0.50],0.000e+00,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-L,0.48 [0.46-0.51],3.099e-171,***,Total-Lipids in Small VLDL
HDL-PL,0.48 [0.45-0.50],1.634e-196,***,Phospholipids in HDL
S-HDL-FC,0.47 [0.45-0.50],2.457e-219,***,Free Cholesterol in Small HDL
HDL-size,0.47 [0.45-0.50],1.663e-135,***,Average Diameter for HDL Particles
L-LDL-C%,0.47 [0.45-0.48],0.000e+00,***,Cholesterol to Total-Lipids in Large LDL percentage
L-VLDL-CE,0.46 [0.44-0.49],3.809e-171,***,Cholesteryl Esters in Large VLDL
S-VLDL-C%,0.46 [0.45-0.48],0.000e+00,***,Cholesterol to Total-Lipids in Small VLDL percentage
IDL-C%,0.46 [0.45-0.48],0.000e+00,***,Cholesterol to Total-Lipids in IDL percentage
ApoA1,0.46 [0.44-0.48],5.151e-221,***,Apolipoprotein A1
S-LDL-C%,0.46 [0.44-0.47],0.000e+00,***,Cholesterol to Total-Lipids in Small LDL percentage
XL-VLDL-C%,0.46 [0.43-0.48],3.264e-191,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-HDL-FC,0.46 [0.43-0.48],9.186e-194,***,Free Cholesterol in Medium HDL
XL-VLDL-CE,0.45 [0.43-0.48],5.625e-177,***,Cholesteryl Esters in Very Large VLDL
VLDL-PL,0.45 [0.43-0.48],1.060e-198,***,Phospholipids in VLDL
IDL-CE%,0.45 [0.43-0.47],0.000e+00,***,Cholesteryl Esters to Total-Lipids in IDL percentage
L-HDL-PL,0.45 [0.42-0.48],1.172e-153,***,Phospholipids in Large HDL
HDL-L,0.45 [0.43-0.47],1.198e-233,***,Total-Lipids in HDL
M-HDL-FC%,0.44 [0.43-0.46],0.000e+00,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
HDL-P,0.44 [0.42-0.46],2.020e-238,***,Concentration of HDL Particles
HDL-CE,0.44 [0.42-0.46],4.850e-211,***,Cholesteryl Esters in HDL
XL-VLDL-FC%,0.43 [0.41-0.46],2.928e-224,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
M-VLDL-FC%,0.43 [0.42-0.45],0.000e+00,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
SFA,0.43 [0.41-0.45],8.098e-281,***,Saturated Fatty Acids
S-HDL-FC%,0.43 [0.41-0.45],1.835e-246,***,Free Cholesterol to Total-Lipids in Small HDL percentage
