Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-PL%,0.93 [0.92-0.95],2.966e-15,***,Phospholipids to Total-Lipids in Medium VLDL percentage
XL-VLDL-CE%,0.93 [0.92-0.95],3.424e-15,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,0.93 [0.92-0.95],1.573e-15,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-LDL-C%,0.93 [0.92-0.95],1.523e-17,***,Cholesterol to Total-Lipids in Medium LDL percentage
IDL-FC%,0.93 [0.92-0.95],1.174e-16,***,Free Cholesterol to Total-Lipids in IDL percentage
S-HDL-C%,0.93 [0.92-0.94],1.261e-18,***,Cholesterol to Total-Lipids in Small HDL percentage
S-VLDL-C%,0.93 [0.92-0.94],4.911e-19,***,Cholesterol to Total-Lipids in Small VLDL percentage
IDL-CE%,0.93 [0.92-0.94],4.509e-19,***,Cholesteryl Esters to Total-Lipids in IDL percentage
XS-VLDL-FC%,0.93 [0.92-0.94],2.213e-17,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-HDL-FC%,0.93 [0.91-0.94],1.614e-13,***,Free Cholesterol to Total-Lipids in Large HDL percentage
M-VLDL-FC%,0.93 [0.91-0.94],5.482e-20,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
S-LDL-FC%,0.93 [0.91-0.94],1.179e-21,***,Free Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-FC%,0.92 [0.91-0.93],1.532e-23,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA/MUFA,0.92 [0.90-0.93],1.501e-20,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-VLDL-PL%,0.92 [0.91-0.93],2.797e-26,***,Phospholipids to Total-Lipids in Small VLDL percentage
M-VLDL-C%,0.92 [0.90-0.93],5.009e-25,***,Cholesterol to Total-Lipids in Medium VLDL percentage
Omega-6%,0.92 [0.90-0.93],5.944e-23,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-VLDL-CE%,0.92 [0.90-0.93],2.127e-25,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-VLDL-FC%,0.92 [0.90-0.93],3.202e-27,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-C%,0.92 [0.90-0.93],1.437e-25,***,Cholesterol to Total-Lipids in Large LDL percentage
IDL-C%,0.91 [0.90-0.93],1.416e-29,***,Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-CE%,0.91 [0.90-0.93],1.170e-26,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
PUFA%,0.91 [0.90-0.93],1.193e-24,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-C%,0.91 [0.90-0.93],1.813e-27,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-HDL-CE%,0.91 [0.90-0.93],1.520e-25,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-LDL-FC%,0.91 [0.90-0.92],4.809e-32,***,Free Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-C%,0.91 [0.89-0.92],1.359e-28,***,Cholesterol to Total-Lipids in Large HDL percentage
LA%,0.90 [0.89-0.92],3.101e-35,***,Linoleic Acid to Total-Fatty Acids percentage
