Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-C,0.94 [0.93-0.96],9.081e-09,***,Cholesterol in IDL
XXL-VLDL-FC%,0.94 [0.93-0.96],1.611e-08,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-C%,0.94 [0.93-0.96],6.718e-10,***,Cholesterol to Total-Lipids in Large VLDL percentage
L-LDL-PL%,0.94 [0.93-0.95],2.006e-11,***,Phospholipids to Total-Lipids in Large LDL percentage
Albumin,0.94 [0.92-0.95],1.152e-10,***,Albumin
XL-HDL-FC,0.94 [0.92-0.95],5.857e-11,***,Free Cholesterol in Very Large HDL
L-HDL-FC%,0.94 [0.92-0.96],2.546e-06,***,Free Cholesterol to Total-Lipids in Large HDL percentage
IDL-FC,0.94 [0.92-0.95],3.011e-11,***,Free Cholesterol in IDL
XL-HDL-PL,0.93 [0.92-0.95],1.719e-12,***,Phospholipids in Very Large HDL
XL-HDL-P,0.93 [0.92-0.95],7.885e-13,***,Concentration of Very Large HDL Particles
L-HDL-PL,0.93 [0.91-0.95],3.035e-12,***,Phospholipids in Large HDL
M-VLDL-PL%,0.93 [0.91-0.94],7.691e-15,***,Phospholipids to Total-Lipids in Medium VLDL percentage
XL-HDL-L,0.93 [0.91-0.94],3.933e-15,***,Total-Lipids in Very Large HDL
Citrate,0.92 [0.91-0.94],2.774e-18,***,Citrate
L-HDL-FC,0.92 [0.91-0.94],3.030e-16,***,Free Cholesterol in Large HDL
HDL-size,0.92 [0.91-0.94],2.846e-15,***,Average Diameter for HDL Particles
XL-VLDL-FC%,0.92 [0.90-0.93],8.053e-23,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
L-HDL-P,0.92 [0.90-0.93],5.702e-19,***,Concentration of Large HDL Particles
Omega-3%,0.92 [0.90-0.93],7.551e-22,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA,0.92 [0.90-0.93],1.396e-20,***,Docosahexaenoic Acid
L-VLDL-CE%,0.92 [0.90-0.93],1.812e-22,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-HDL-L,0.92 [0.90-0.93],9.522e-19,***,Total-Lipids in Large HDL
HDL-C,0.92 [0.90-0.93],2.946e-19,***,HDL Cholesterol
XL-HDL-C,0.92 [0.90-0.93],6.870e-22,***,Cholesterol in Very Large HDL
S-VLDL-C%,0.91 [0.90-0.93],1.233e-25,***,Cholesterol to Total-Lipids in Small VLDL percentage
HDL-CE,0.91 [0.90-0.93],2.390e-22,***,Cholesteryl Esters in HDL
XL-HDL-CE,0.91 [0.90-0.93],2.357e-24,***,Cholesteryl Esters in Very Large HDL
M-VLDL-FC%,0.90 [0.89-0.92],1.940e-30,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
L-HDL-C,0.90 [0.89-0.92],3.332e-27,***,Cholesterol in Large HDL
S-HDL-CE%,0.90 [0.89-0.92],1.156e-36,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XL-HDL-CE%,0.90 [0.89-0.92],5.072e-29,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-HDL-CE,0.90 [0.88-0.91],1.589e-29,***,Cholesteryl Esters in Large HDL
XS-VLDL-FC%,0.90 [0.88-0.91],6.336e-34,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-HDL-FC%,0.90 [0.88-0.91],6.590e-27,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
IDL-CE%,0.90 [0.88-0.91],1.742e-39,***,Cholesteryl Esters to Total-Lipids in IDL percentage
S-HDL-C%,0.89 [0.88-0.91],3.827e-44,***,Cholesterol to Total-Lipids in Small HDL percentage
XL-VLDL-C%,0.89 [0.88-0.91],3.666e-41,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-LDL-C%,0.89 [0.88-0.90],1.002e-46,***,Cholesterol to Total-Lipids in Small LDL percentage
XL-VLDL-CE%,0.89 [0.88-0.90],1.968e-43,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-VLDL-C%,0.89 [0.87-0.90],1.941e-42,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-LDL-FC%,0.89 [0.87-0.90],4.067e-52,***,Free Cholesterol to Total-Lipids in Small LDL percentage
M-VLDL-CE%,0.89 [0.87-0.90],8.121e-45,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-VLDL-PL%,0.89 [0.87-0.90],6.424e-48,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,0.88 [0.87-0.90],4.641e-49,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
DHA%,0.88 [0.87-0.89],5.950e-46,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
IDL-FC%,0.88 [0.87-0.89],5.502e-53,***,Free Cholesterol to Total-Lipids in IDL percentage
M-HDL-CE%,0.88 [0.86-0.89],3.115e-55,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-LDL-C%,0.87 [0.86-0.89],5.739e-68,***,Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-FC%,0.87 [0.86-0.89],2.077e-56,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-C%,0.87 [0.86-0.88],6.365e-62,***,Cholesterol to Total-Lipids in Medium HDL percentage
L-LDL-C%,0.87 [0.86-0.88],8.134e-60,***,Cholesterol to Total-Lipids in Large LDL percentage
L-LDL-FC%,0.87 [0.86-0.88],1.196e-64,***,Free Cholesterol to Total-Lipids in Large LDL percentage
IDL-C%,0.87 [0.85-0.88],6.382e-68,***,Cholesterol to Total-Lipids in IDL percentage
L-HDL-C%,0.86 [0.84-0.87],3.312e-63,***,Cholesterol to Total-Lipids in Large HDL percentage
XS-VLDL-C%,0.86 [0.84-0.87],4.146e-71,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.86 [0.84-0.87],1.813e-71,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-HDL-CE%,0.86 [0.84-0.87],9.375e-67,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
LA%,0.84 [0.83-0.86],4.651e-86,***,Linoleic Acid to Total-Fatty Acids percentage
Omega-6%,0.84 [0.83-0.86],4.027e-87,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Unsaturation,0.83 [0.81-0.84],1.009e-108,***,Degree of Unsaturation
PUFA%,0.82 [0.80-0.83],3.402e-126,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
PUFA/MUFA,0.81 [0.79-0.82],2.894e-132,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
