Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
S-VLDL-FC,"0.919 [0.917,0.922]",0.000e+00,***,Free Cholesterol in Small VLDL
M-LDL-L,"0.919 [0.916,0.921]",0.000e+00,***,Total-Lipids in Medium LDL
M-LDL-C,"0.918 [0.916,0.921]",0.000e+00,***,Cholesterol in Medium LDL
VLDL-CE,"0.917 [0.914,0.920]",0.000e+00,***,Cholesteryl Esters in VLDL
M-LDL-PL,"0.911 [0.909,0.914]",0.000e+00,***,Phospholipids in Medium LDL
M-LDL-CE,"0.911 [0.908,0.914]",0.000e+00,***,Cholesteryl Esters in Medium LDL
XS-VLDL-FC,"0.911 [0.908,0.913]",0.000e+00,***,Free Cholesterol in Very Small VLDL
S-LDL-PL,"0.909 [0.906,0.912]",0.000e+00,***,Phospholipids in Small LDL
SM,"0.907 [0.904,0.910]",0.000e+00,***,Sphingomyelins
Total-PL,"0.905 [0.902,0.908]",0.000e+00,***,Total-Phospholipids in Lipoprotein Particles
M-LDL-P,"0.905 [0.902,0.907]",0.000e+00,***,Concentration of Medium LDL Particles
XS-VLDL-P,"0.904 [0.901,0.907]",0.000e+00,***,Concentration of Very Small VLDL Particles
M-VLDL-PL,"0.895 [0.892,0.898]",0.000e+00,***,Phospholipids in Medium VLDL
XS-VLDL-L,"0.894 [0.891,0.897]",0.000e+00,***,Total-Lipids in Very Small VLDL
M-LDL-FC,"0.892 [0.889,0.894]",0.000e+00,***,Free Cholesterol in Medium LDL
VLDL-C,"0.887 [0.884,0.890]",0.000e+00,***,VLDL Cholesterol
S-VLDL-C,"0.885 [0.882,0.888]",0.000e+00,***,Cholesterol in Small VLDL
S-VLDL-PL,"0.879 [0.876,0.882]",0.000e+00,***,Phospholipids in Small VLDL
M-VLDL-P,"0.875 [0.872,0.878]",0.000e+00,***,Concentration of Medium VLDL Particles
S-VLDL-CE,"0.857 [0.854,0.860]",0.000e+00,***,Cholesteryl Esters in Small VLDL
Omega-6,"0.856 [0.853,0.860]",0.000e+00,***,Omega-6 Fatty Acids
XS-VLDL-PL,"0.852 [0.848,0.855]",0.000e+00,***,Phospholipids in Very Small VLDL
PUFA,"0.848 [0.845,0.851]",0.000e+00,***,Polyunsaturated Fatty Acids
S-LDL-FC,"0.845 [0.842,0.848]",0.000e+00,***,Free Cholesterol in Small LDL
VLDL-P,"0.837 [0.834,0.840]",0.000e+00,***,Concentration of VLDL Particles
LA,"0.828 [0.825,0.831]",0.000e+00,***,Linoleic Acid
VLDL-FC,"0.824 [0.821,0.828]",0.000e+00,***,Free Cholesterol in VLDL
M-VLDL-L,"0.822 [0.819,0.825]",0.000e+00,***,Total-Lipids in Medium VLDL
Cholines,"0.815 [0.811,0.818]",0.000e+00,***,Total-Cholines
S-VLDL-L,"0.774 [0.770,0.777]",0.000e+00,***,Total-Lipids in Small VLDL
VLDL-PL,"0.771 [0.768,0.775]",0.000e+00,***,Phospholipids in VLDL
Total-FA,"0.769 [0.766,0.773]",0.000e+00,***,Total-Fatty Acids
PC,"0.767 [0.763,0.771]",0.000e+00,***,Phosphatidylcholines
Phosphoglyc,"0.763 [0.760,0.767]",0.000e+00,***,Phosphoglycerides
