Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-CE,0.36 [0.29-0.45],1.370e-14,***,Cholesteryl Esters in Very Large VLDL
VLDL-FC,0.36 [0.29-0.44],2.578e-17,***,Free Cholesterol in VLDL
SM,0.35 [0.29-0.42],4.055e-25,***,Sphingomyelins
S-VLDL-PL,0.34 [0.28-0.42],4.743e-19,***,Phospholipids in Small VLDL
S-LDL-PL,0.34 [0.28-0.41],1.160e-24,***,Phospholipids in Small LDL
S-VLDL-C,0.33 [0.27-0.41],2.502e-20,***,Cholesterol in Small VLDL
VLDL-C,0.33 [0.27-0.40],1.963e-24,***,VLDL Cholesterol
LDL-L,0.33 [0.28-0.38],9.267e-37,***,Total-Lipids in LDL
S-LDL-FC,0.33 [0.27-0.39],3.315e-28,***,Free Cholesterol in Small LDL
Total-C,0.32 [0.28-0.38],4.796e-40,***,Total-Cholesterol
XS-VLDL-C,0.32 [0.27-0.39],6.005e-24,***,Cholesterol in Very Small VLDL
Total-CE,0.32 [0.28-0.38],3.665e-39,***,Total-Esterified Cholesterol
Clinical LDL-C,0.32 [0.27-0.37],2.614e-42,***,Clinical LDL Cholesterol
L-LDL-L,0.32 [0.27-0.37],2.285e-36,***,Total-Lipids in Large LDL
LDL-C,0.31 [0.27-0.37],5.339e-38,***,LDL Cholesterol
Non-HDL-C,0.31 [0.27-0.37],1.501e-40,***,Total-Cholesterol Minus HDL-C
M-LDL-L,0.31 [0.26-0.37],1.033e-31,***,Total-Lipids in Medium LDL
LDL-CE,0.31 [0.26-0.37],3.089e-36,***,Cholesteryl Esters in LDL
XS-VLDL-CE,0.31 [0.25-0.37],4.078e-26,***,Cholesteryl Esters in Very Small VLDL
L-LDL-C,0.31 [0.26-0.36],1.038e-36,***,Cholesterol in Large LDL
IDL-L,0.30 [0.26-0.36],6.144e-36,***,Total-Lipids in IDL
L-LDL-CE,0.30 [0.26-0.36],9.310e-35,***,Cholesteryl Esters in Large LDL
VLDL-CE,0.30 [0.25-0.37],4.621e-27,***,Cholesteryl Esters in VLDL
Total-FC,0.30 [0.25-0.36],2.378e-37,***,Total-Free Cholesterol
M-LDL-PL,0.30 [0.25-0.36],1.031e-28,***,Phospholipids in Medium LDL
S-LDL-L,0.30 [0.25-0.36],2.018e-29,***,Total-Lipids in Small LDL
M-VLDL-PL,0.30 [0.24-0.37],5.027e-24,***,Phospholipids in Medium VLDL
Remnant-C,0.30 [0.25-0.35],3.561e-37,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-C,0.29 [0.24-0.35],2.808e-33,***,Cholesterol in Medium LDL
ApoB,0.29 [0.24-0.35],3.266e-32,***,Apolipoprotein B
LDL-PL,0.29 [0.24-0.35],1.261e-34,***,Phospholipids in LDL
IDL-C,0.29 [0.24-0.35],2.703e-37,***,Cholesterol in IDL
M-LDL-CE,0.29 [0.24-0.35],1.997e-31,***,Cholesteryl Esters in Medium LDL
LDL-FC,0.29 [0.24-0.34],5.280e-35,***,Free Cholesterol in LDL
S-VLDL-FC,0.29 [0.23-0.36],7.204e-25,***,Free Cholesterol in Small VLDL
IDL-CE,0.29 [0.24-0.34],3.366e-37,***,Cholesteryl Esters in IDL
M-VLDL-P,0.28 [0.23-0.36],3.280e-22,***,Concentration of Medium VLDL Particles
M-LDL-FC,0.28 [0.23-0.35],1.338e-31,***,Free Cholesterol in Medium LDL
IDL-PL,0.28 [0.23-0.35],1.500e-31,***,Phospholipids in IDL
