Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-FC%,0.89 [0.88-0.90],2.335e-82,***,Free Cholesterol to Total-Lipids in Large LDL percentage
PC,0.89 [0.88-0.90],2.586e-77,***,Phosphatidylcholines
XS-VLDL-CE,0.89 [0.88-0.90],1.272e-82,***,Cholesteryl Esters in Very Small VLDL
L-LDL-P,0.89 [0.87-0.90],4.557e-89,***,Concentration of Large LDL Particles
LA,0.88 [0.87-0.89],4.591e-90,***,Linoleic Acid
Total-P,0.88 [0.87-0.90],6.626e-81,***,Total-Concentration of Lipoprotein Particles
Omega-6,0.88 [0.87-0.89],2.115e-89,***,Omega-6 Fatty Acids
LDL-P,0.88 [0.87-0.89],1.362e-93,***,Concentration of LDL Particles
M-LDL-P,0.88 [0.87-0.89],1.512e-93,***,Concentration of Medium LDL Particles
S-LDL-PL,0.88 [0.87-0.89],1.230e-95,***,Phospholipids in Small LDL
Cholines,0.88 [0.87-0.89],1.271e-85,***,Total-Cholines
ApoB,0.88 [0.87-0.89],8.932e-101,***,Apolipoprotein B
M-VLDL-C,0.88 [0.87-0.89],3.637e-100,***,Cholesterol in Medium VLDL
M-HDL-FC%,0.88 [0.87-0.89],1.767e-80,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-LDL-CE,0.88 [0.87-0.89],1.056e-101,***,Cholesteryl Esters in Small LDL
S-LDL-L,0.88 [0.87-0.89],5.410e-104,***,Total-Lipids in Small LDL
M-LDL-CE,0.88 [0.87-0.89],7.409e-104,***,Cholesteryl Esters in Medium LDL
SM,0.88 [0.87-0.89],4.133e-93,***,Sphingomyelins
Total-L,0.88 [0.87-0.89],1.096e-103,***,Total-Lipids in Lipoprotein Particles
PUFA,0.88 [0.87-0.89],8.387e-100,***,Polyunsaturated Fatty Acids
Total-PL,0.88 [0.86-0.89],6.604e-100,***,Total-Phospholipids in Lipoprotein Particles
S-VLDL-PL%,0.87 [0.86-0.89],8.896e-102,***,Phospholipids to Total-Lipids in Small VLDL percentage
M-LDL-PL,0.87 [0.86-0.88],4.777e-110,***,Phospholipids in Medium LDL
S-VLDL-FC%,0.87 [0.86-0.88],1.136e-105,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
M-LDL-L,0.87 [0.86-0.88],8.414e-112,***,Total-Lipids in Medium LDL
Remnant-C,0.87 [0.86-0.88],1.627e-113,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
XS-VLDL-C%,0.87 [0.86-0.88],3.989e-105,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
